time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,close,8.25,8.25,8.25,8.25,8.50,8.50,8.50,8.50,8.75,8.75,8.75,8.75,9.00,9.00,9.00,9.00,9.25,9.25,9.25,9.25,9.50,9.50,9.50,9.50,9.75,9.75,9.75,9.75,10.00,10.00,10.00,10.00,10.50,10.50,10.50,10.50,11.00,11.00,11.00,11.00,11.50,11.50,11.50,11.50,12.00,12.00,12.00,12.00,12.50,12.50,12.50,12.50,13.00,13.00,13.00,13.00,13.50,13.50,13.50,13.50,14.00,14.00,14.00,14.00,14.50,14.50,14.50,14.50,15.00,15.00,15.00,15.00,15.50,15.50,15.50,15.50,8.25,8.25,8.25,8.25,8.50,8.50,8.50,8.50,8.75,8.75,8.75,8.75,9.00,9.00,9.00,9.00,9.25,9.25,9.25,9.25,9.50,9.50,9.50,9.50,9.75,9.75,9.75,9.75,10.00,10.00,10.00,10.00,10.50,10.50,10.50,10.50,11.00,11.00,11.00,11.00,11.50,11.50,11.50,11.50,12.00,12.00,12.00,12.00,12.50,12.50,12.50,12.50,13.00,13.00,13.00,13.00,13.50,13.50,13.50,13.50,14.00,14.00,14.00,14.00,14.50,14.50,14.50,14.50,15.00,15.00,15.00,15.00,15.50,15.50,15.50,15.50,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.50,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.50,17.50,17.50,17.50,17.50,17.50,17.50,17.50,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-06-30 16:00:00,10.72,2.75,0,0,0.44,2.54,0,0,0.43,2.33,0,0,0.42,2.12,0,0,0.41,1.93,0,0,0.4,1.74,0,0,0.39,1.57,0,0,0.39,1.41,0,0,0.38,1.12,0,0,0.38,0.87,2,2,0.37,0.67,0,0,0.37,0.51,0,0,0.37,0.38,0,0,0.37,0.28,100,100,0.36,0.2,0,0,0.36,0.15,0,0,0.37,0.11,0,0,0.37,0.08,0,0,0.37,0.05,0,0,0.36,0.12,4,4,0.39,0.16,0,0,0.39,0.2,0,0,0.39,0.25,0,0,0.39,0.31,0,0,0.38,0.37,20,20,0.38,0.44,150,150,0.37,0.53,0,0,0.37,0.73,0,0,0.36,0.99,3,3,0.36,1.29,0,0,0.36,1.64,0,0,0.36,2.02,0,0,0.36,2.44,0,0,0.36,2.88,0,0,0.37,3.34,0,0,0.38,3.81,0,0,0.38,4.31,0,0,0.41,4.8,0,0,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-03 16:00:00,10.98,3.0,0,0,0.46,2.78,0,0,0.45,2.56,0,0,0.43,2.36,0,0,0.43,2.15,0,0,0.41,1.96,0,0,0.41,1.78,0,0,0.4,1.6,0,0,0.39,1.28,0,0,0.38,1.0,562,564,0.37,0.78,10,10,0.37,0.6,0,0,0.37,0.46,1,1,0.37,0.35,5,105,0.37,0.26,0,0,0.37,0.19,0,0,0.37,0.14,0,0,0.37,0.1,0,0,0.37,0.08,0,0,0.38,0.11,0,4,0.41,0.14,0,0,0.4,0.17,0,0,0.4,0.21,0,0,0.39,0.25,0,0,0.38,0.31,0,20,0.38,0.37,0,150,0.37,0.45,0,0,0.37,0.62,549,549,0.36,0.84,356,359,0.35,1.12,2,2,0.35,1.45,0,0,0.35,1.82,0,0,0.36,2.22,0,0,0.36,2.63,0,0,0.35,3.1,0,0,0.37,3.54,0,0,0.35,4.02,0,0,,4.52,0,0,,3.23,0.0,0.0,0.48,0.08,0.0,0.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-04 16:00:00,11.12,3.1,0,0,0.43,2.86,0,0,0.4,2.64,0,0,0.39,2.42,0,0,0.38,2.22,0,0,0.38,2.02,0,0,0.37,1.83,0,0,0.37,1.66,0,0,0.37,1.33,0,0,0.36,1.05,53,617,0.36,0.84,0,10,0.37,0.64,0,0,0.36,0.5,1,2,0.37,0.39,0,105,0.37,0.29,0,0,0.37,0.22,0,0,0.37,0.16,0,0,0.37,0.12,0,0,0.37,0.09,0,0,0.38,0.06,0,4,0.36,0.08,0,0,0.36,0.11,0,0,0.36,0.14,0,0,0.36,0.19,0,0,0.36,0.24,0,20,0.36,0.31,0,150,0.36,0.39,0,0,0.36,0.57,0,549,0.36,0.79,106,465,0.36,1.06,0,2,0.36,1.38,0,0,0.36,1.75,0,0,0.37,2.14,0,0,0.38,2.57,0,0,0.39,3.02,0,0,0.4,3.48,0,0,0.41,3.92,0,0,0.4,4.41,0,0,0.42,3.33,0.0,0.0,0.44,0.04,0.0,0.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-05 16:00:00,11.12,3.13,0,0,0.46,2.89,0,0,0.43,2.67,0,0,0.42,2.45,0,0,0.41,2.25,0,0,0.4,2.04,0,0,0.39,1.86,0,0,0.39,1.68,0,0,0.38,1.35,0,0,0.37,1.07,2,619,0.37,0.84,56,58,0.37,0.66,0,0,0.37,0.52,0,2,0.38,0.4,0,105,0.38,0.3,0,0,0.38,0.23,0,0,0.38,0.18,0,0,0.39,0.14,0,0,0.39,0.1,0,0,0.39,0.07,0,4,0.38,0.09,0,0,0.37,0.13,0,0,0.38,0.16,0,0,0.37,0.21,0,0,0.37,0.27,0,20,0.38,0.32,50,200,0.37,0.39,0,0,0.36,0.57,0,549,0.36,0.78,30,495,0.36,1.05,50,52,0.36,1.37,0,0,0.36,1.72,0,0,0.36,2.11,0,0,0.36,2.54,0,0,0.37,2.98,0,0,0.38,3.44,0,0,0.39,3.91,0,0,0.39,4.4,0,0,0.41,3.35,0.0,0.0,0.47,0.05,0.0,0.0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-06 16:00:00,11.14,3.1,0,0,0.41,2.86,0,0,0.39,2.65,0,0,0.39,2.45,0,0,0.4,2.22,0,0,0.37,2.04,0,0,0.38,1.85,0,0,0.38,1.68,0,0,0.38,1.35,0,0,0.37,1.06,113,718,0.36,0.83,120,126,0.36,0.64,61,61,0.36,0.5,650,552,0.37,0.39,120,220,0.37,0.3,0,0,0.38,0.23,0,0,0.38,0.17,0,0,0.38,0.13,0,0,0.38,0.1,0,0,0.39,0.07,0,4,0.38,0.09,0,0,0.38,0.12,5,5,0.37,0.16,0,0,0.38,0.21,0,0,0.38,0.26,0,20,0.37,0.32,0,200,0.37,0.39,4,4,0.37,0.56,0,549,0.36,0.78,23,499,0.36,1.04,19,62,0.36,1.36,0,0,0.36,1.72,0,0,0.37,2.11,0,0,0.37,2.53,0,0,0.38,3.03,0,0,0.42,3.45,0,0,0.41,3.91,0,0,0.41,4.41,0,0,0.44,3.34,0.0,0.0,0.44,0.05,0.0,0.0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-07 16:00:00,10.8,2.84,0,0,0.46,2.62,0,0,0.45,2.39,0,0,0.42,2.13,0,0,0.38,1.98,0,0,0.4,1.81,0,0,0.41,1.61,0,0,0.39,1.44,0,0,0.38,1.14,0,0,0.38,0.89,48,720,0.37,0.69,3,128,0.37,0.52,101,161,0.37,0.39,200,752,0.37,0.29,105,220,0.37,0.21,0,0,0.37,0.15,2,2,0.37,0.11,0,0,0.37,0.08,0,0,0.37,0.06,4,4,0.38,0.1,0,4,0.39,0.13,0,0,0.39,0.17,0,5,0.39,0.21,0,0,0.38,0.26,0,0,0.37,0.32,0,20,0.37,0.39,0,200,0.37,0.47,0,4,0.36,0.67,0,549,0.36,0.91,506,999,0.35,1.21,0,62,0.35,1.55,0,0,0.35,1.94,0,0,0.36,2.36,0,0,0.37,2.79,0,0,0.37,3.22,0,0,0.34,3.71,0,0,0.36,4.2,0,0,,4.7,0,0,,3.07,0.0,0.0,0.49,0.07,0.0,0.0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-10 16:00:00,10.66,2.68,0,0,0.44,2.46,0,0,0.43,2.22,0,0,0.39,2.01,0,0,0.38,1.86,0,0,0.4,1.68,0,0,0.4,1.49,0,0,0.39,1.33,0,0,0.38,1.04,0,0,0.38,0.8,3,723,0.37,0.59,3,128,0.36,0.45,90,251,0.37,0.33,0,752,0.37,0.24,0,220,0.37,0.17,0,0,0.36,0.12,0,2,0.36,0.09,0,0,0.37,0.06,0,0,0.37,0.04,0,4,0.36,0.11,0,4,0.39,0.15,0,0,0.4,0.19,0,5,0.39,0.24,0,0,0.39,0.29,0,0,0.38,0.35,0,20,0.37,0.42,0,200,0.37,0.51,0,4,0.37,0.71,0,549,0.36,0.96,30,999,0.35,1.28,0,62,0.35,1.65,0,0,0.36,2.03,0,0,0.36,2.45,0,0,0.36,2.92,0,0,0.38,3.38,0,0,0.38,3.85,0,0,0.37,4.35,0,0,0.4,4.85,0,0,0.43,2.9,0.0,0.0,0.45,0.09,6.0,6.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-11 16:00:00,10.88,2.85,0,0,0.42,2.63,0,0,0.41,2.46,0,0,0.44,2.25,0,0,0.42,1.99,0,0,0.38,1.82,0,0,0.39,1.62,0,0,0.37,1.45,0,0,0.37,1.14,0,0,0.36,0.87,193,863,0.35,0.68,287,407,0.36,0.52,24,275,0.36,0.4,0,752,0.37,0.3,310,352,0.37,0.23,0,0,0.38,0.17,0,2,0.38,0.13,0,0,0.39,0.1,0,0,0.39,0.08,0,4,0.4,0.09,0,4,0.39,0.12,0,0,0.39,0.15,0,5,0.38,0.2,0,0,0.39,0.24,1,1,0.38,0.3,0,20,0.38,0.37,3,203,0.37,0.44,0,4,0.37,0.63,3,552,0.36,0.87,302,1198,0.36,1.16,290,352,0.36,1.51,0,0,0.36,1.89,0,0,0.37,2.3,0,0,0.37,2.73,0,0,0.38,3.18,0,0,0.38,3.68,0,0,0.42,4.16,0,0,0.43,4.65,0,0,0.45,3.08,0.0,0.0,0.43,0.07,0.0,6.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
