time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P
time,close,14.00,14.00,14.00,14.00,14.50,14.50,14.50,14.50,15.00,15.00,15.00,15.00,15.50,15.50,15.50,15.50,16.00,16.00,16.00,16.00,16.50,16.50,16.50,16.50,17.00,17.00,17.00,17.00,17.50,17.50,17.50,17.50,18.00,18.00,18.00,18.00,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,14.00,14.00,14.00,14.00,14.50,14.50,14.50,14.50,15.00,15.00,15.00,15.00,15.50,15.50,15.50,15.50,16.00,16.00,16.00,16.00,16.50,16.50,16.50,16.50,17.00,17.00,17.00,17.00,17.50,17.50,17.50,17.50,18.00,18.00,18.00,18.00,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,13.50,13.50,13.50,13.50,13.50,13.50,13.50,13.50,12.50,12.50,12.50,12.50,13.00,13.00,13.00,13.00,12.50,12.50,12.50,12.50,13.00,13.00,13.00,13.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-11-13 16:00:00,18.64,4.91,0,0,0.35,4.46,0,0,0.35,4.02,0,0,0.35,3.6,0,0,0.35,3.21,0,0,0.35,2.83,0,0,0.35,2.49,0,0,0.35,2.17,0,0,0.35,1.93,25,25,0.36,1.66,0,90,0.36,1.42,60,107,0.36,1.2,30,70,0.36,1.01,0,15,0.36,0.7,0,100,0.35,0.48,489,491,0.35,0.32,5,5,0.35,0.21,0,0,0.35,0.13,0,0,0.35,0.08,0,0,0.35,0.06,0,0,0.36,0.08,0,0,0.35,0.12,0,0,0.35,0.18,5,5,0.35,0.26,0,2,0.35,0.36,59,59,0.35,0.49,310,320,0.35,0.64,0,7,0.35,0.81,0,0,0.35,0.99,15,32,0.35,1.2,90,98,0.34,1.45,93,93,0.34,1.76,0,1,0.34,2.11,0,0,0.35,2.81,0,0,0.35,3.61,0,0,0.35,4.48,0,0,0.35,5.4,0,0,0.35,6.36,0,0,,7.36,0,0,,8.36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-14 16:00:00,18.72,4.98,0,0,0.34,4.53,0,0,0.35,4.09,0,0,0.35,3.66,0,0,0.34,3.26,0,0,0.34,2.89,0,0,0.35,2.53,0,0,0.34,2.21,0,0,0.35,1.96,0,25,0.36,1.64,0,90,0.35,1.39,0,107,0.34,1.16,0,70,0.34,0.98,0,15,0.34,0.68,0,100,0.34,0.46,409,900,0.34,0.31,0,5,0.34,0.21,0,0,0.35,0.14,0,0,0.35,0.08,0,0,0.34,0.06,0,0,0.36,0.07,0,0,0.35,0.11,0,0,0.35,0.17,0,5,0.35,0.24,0,2,0.35,0.34,340,399,0.35,0.46,60,360,0.35,0.61,27,34,0.35,0.78,6,6,0.35,0.98,0,32,0.35,1.2,0,98,0.35,1.46,0,93,0.35,1.71,0,1,0.34,2.05,0,0,0.35,2.75,0,0,0.35,3.54,0,0,0.35,4.4,0,0,0.35,5.32,0,0,0.35,6.28,0,0,,7.28,0,0,,8.28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-17 16:00:00,18.48,4.75,0,0,0.35,4.3,0,0,0.35,3.86,0,0,0.35,3.45,0,0,0.35,3.06,0,0,0.35,2.69,0,0,0.35,2.35,0,0,0.35,2.04,0,0,0.35,1.8,0,25,0.36,1.54,15,105,0.36,1.29,0,107,0.36,1.09,0,70,0.36,0.89,3,20,0.35,0.61,0,100,0.35,0.4,0,985,0.35,0.28,0,5,0.35,0.18,0,0,0.35,0.11,0,0,0.35,0.07,0,0,0.35,0.05,0,0,0.36,0.09,0,0,0.36,0.13,0,0,0.35,0.19,0,5,0.35,0.27,120,157,0.35,0.38,85,664,0.35,0.51,0,360,0.36,0.67,8,42,0.36,0.86,0,6,0.36,1.05,15,47,0.35,1.26,0,113,0.34,1.52,0,99,0.34,1.81,0,1,0.34,2.19,0,0,0.35,2.92,0,0,0.35,3.73,0,0,0.35,4.61,0,0,0.35,5.54,0,0,0.35,6.52,0,0,,7.52,0,0,,8.52,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-21 16:00:00,18.26,4.53,0,0,0.36,4.09,0,0,0.36,3.66,0,0,0.36,3.25,0,0,0.36,2.87,0,0,0.36,2.51,0,0,0.36,2.19,0,0,0.36,1.94,0,0,0.37,1.62,0,25,0.36,1.38,15,120,0.36,1.15,0,107,0.36,0.95,0,70,0.35,0.79,1,21,0.35,0.53,0,100,0.35,0.35,20,1050,0.35,0.24,69,74,0.36,0.15,0,0,0.36,0.1,70,70,0.36,0.06,0,0,0.36,0.04,0,0,0.37,0.1,0,0,0.36,0.14,0,0,0.36,0.22,0,5,0.36,0.31,15,172,0.36,0.43,0,664,0.36,0.57,0,360,0.36,0.74,12,57,0.36,0.94,0,6,0.37,1.14,0,47,0.36,1.39,11,113,0.35,1.63,0,99,0.34,2.0,0,1,0.36,2.34,0,0,0.36,3.09,0,0,0.36,3.91,0,0,0.36,4.81,0,0,0.36,5.76,0,0,0.36,6.74,0,0,,7.74,0,0,,8.74,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-22 16:00:00,18.14,4.41,0,0,0.35,3.96,0,0,0.35,3.54,0,0,0.35,3.13,0,0,0.35,2.75,0,0,0.35,2.4,0,0,0.35,2.09,0,0,0.36,1.76,0,0,0.35,1.51,0,25,0.35,1.25,0,120,0.34,1.04,0,107,0.34,0.86,0,70,0.34,0.71,2,23,0.34,0.47,0,100,0.34,0.31,170,980,0.35,0.2,0,74,0.35,0.13,0,0,0.35,0.08,0,70,0.35,0.05,0,0,0.36,0.03,0,0,0.36,0.09,0,0,0.35,0.14,0,0,0.35,0.21,0,5,0.35,0.31,30,202,0.36,0.43,90,724,0.36,0.57,0,360,0.35,0.75,8,65,0.36,0.95,9,13,0.36,1.19,0,47,0.36,1.45,0,113,0.36,1.77,0,99,0.36,2.03,0,1,0.35,2.39,0,0,0.35,3.15,0,0,0.35,4.0,0,0,0.35,4.91,0,0,0.35,5.87,0,0,0.36,6.86,0,0,,7.86,0,0,,8.86,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-28 16:00:00,18.12,4.36,0,0,0.34,3.91,0,0,0.34,3.48,0,0,0.35,3.07,0,0,0.35,2.69,0,0,0.35,2.33,0,0,0.35,2.0,0,0,0.35,1.75,0,0,0.36,1.47,0,25,0.36,1.23,0,120,0.35,1.02,0,121,0.35,0.84,0,85,0.35,0.67,11,79,0.35,0.44,0,100,0.35,0.28,0,980,0.35,0.17,0,79,0.35,0.1,0,0,0.35,0.06,0,70,0.35,0.03,0,0,0.34,0.02,0,0,0.35,0.08,0,0,0.35,0.12,0,0,0.34,0.19,0,10,0.35,0.28,0,202,0.35,0.39,10,750,0.35,0.54,0,360,0.35,0.71,16,65,0.35,0.9,0,17,0.35,1.11,0,47,0.34,1.36,0,116,0.34,1.66,0,99,0.34,2.0,0,1,0.35,2.36,0,0,0.35,3.13,0,0,0.35,3.99,0,0,0.35,4.91,0,0,0.34,5.88,0,0,,6.88,0,0,,7.88,0,0,,8.88,0,0,,4.83,0.0,0.0,0.35,0.05,0.0,10.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-30 16:00:00,17.46,3.74,0,0,0.35,3.31,0,0,0.35,2.99,0,0,0.39,2.54,0,0,0.36,2.18,0,0,0.35,1.87,0,0,0.36,1.57,8,8,0.35,1.3,93,93,0.35,1.06,0,42,0.34,0.86,0,150,0.34,0.7,127,201,0.34,0.56,86,148,0.34,0.45,132,143,0.35,0.28,0,100,0.35,0.18,144,836,0.35,0.11,10,79,0.36,0.06,0,0,0.35,0.03,0,70,0.34,0.02,0,0,0.35,0.01,0,0,0.35,0.13,120,120,0.36,0.19,250,250,0.35,0.28,79,89,0.35,0.4,354,556,0.35,0.55,118,788,0.36,0.73,0,360,0.36,0.93,0,65,0.35,1.16,42,45,0.35,1.43,165,136,0.35,1.71,0,116,0.34,2.05,0,99,0.34,2.42,0,1,0.34,2.81,0,0,0.34,3.67,0,0,0.35,4.58,0,0,0.35,5.54,0,0,,6.54,0,0,,7.54,0,0,,8.54,0,0,,9.54,0,0,,4.19,0.0,0.0,0.35,0.08,0.0,20.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-04 16:00:00,16.98,3.3,0,0,0.35,2.89,0,0,0.36,2.58,0,0,0.39,2.2,0,0,0.38,1.85,0,0,0.37,1.53,0,0,0.36,1.26,0,8,0.35,1.02,0,108,0.35,0.83,15,57,0.35,0.67,40,163,0.35,0.53,0,201,0.35,0.42,0,148,0.35,0.33,0,153,0.35,0.2,0,100,0.35,0.12,1,804,0.36,0.07,0,79,0.36,0.04,0,0,0.36,0.03,0,70,0.38,0.02,0,0,0.39,0.01,0,0,0.38,0.17,0,120,0.36,0.25,0,250,0.36,0.37,4,93,0.36,0.51,35,539,0.36,0.69,0,788,0.36,0.9,0,360,0.37,1.12,64,56,0.36,1.38,0,60,0.35,1.67,30,248,0.35,2.0,0,116,0.35,2.37,0,99,0.35,2.76,0,1,0.35,3.18,0,0,0.35,4.09,0,0,0.36,5.03,0,0,0.35,6.02,0,0,,7.02,0,0,,8.02,0,0,,9.02,0,0,,10.02,0,0,,3.74,0.0,0.0,0.36,0.11,0.0,20.0,0.36,4.66,0.0,0.0,0.36,4.19,0.0,0.0,0.35,0.04,12.0,12.0,0.36,0.07,0.0,0.0,0.37,,,,,,,,
