time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,close,15.00,15.00,15.00,15.00,15.50,15.50,15.50,15.50,16.00,16.00,16.00,16.00,16.50,16.50,16.50,16.50,17.00,17.00,17.00,17.00,17.50,17.50,17.50,17.50,18.00,18.00,18.00,18.00,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,15.00,15.00,15.00,15.00,15.50,15.50,15.50,15.50,16.00,16.00,16.00,16.00,16.50,16.50,16.50,16.50,17.00,17.00,17.00,17.00,17.50,17.50,17.50,17.50,18.00,18.00,18.00,18.00,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,14.00,14.00,14.00,14.00,14.50,14.50,14.50,14.50,14.00,14.00,14.00,14.00,14.50,14.50,14.50,14.50,13.00,13.00,13.00,13.00,13.50,13.50,13.50,13.50,13.00,13.00,13.00,13.00,13.50,13.50,13.50,13.50,12.50,12.50,12.50,12.50,12.50,12.50,12.50,12.50,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-09-06 16:00:00,18.96,5.76,0,0,0.42,5.45,0,0,0.42,5.15,0,0,0.42,4.87,0,0,0.42,4.59,0,0,0.42,4.33,0,0,0.42,4.09,0,0,0.42,3.85,0,0,0.42,3.59,0,0,0.41,3.42,0,0,0.42,3.22,0,0,0.42,2.85,0,0,0.42,2.52,0,0,0.42,2.22,0,0,0.42,1.96,0,0,0.42,1.73,0,0,0.42,1.52,0,0,0.42,1.34,0,0,0.42,1.18,0,0,0.42,1.04,0,0,0.42,1.16,0,0,0.42,1.3,0,0,0.42,1.48,0,0,0.42,1.68,0,0,0.42,1.89,0,0,0.42,2.11,0,0,0.42,2.36,0,0,0.42,2.61,0,0,0.42,2.91,0,0,0.42,3.15,0,0,0.42,3.44,0,0,0.42,4.06,0,0,0.42,4.71,0,0,0.42,5.41,0,0,0.42,6.15,0,0,0.42,6.92,0,0,0.42,7.73,0,0,0.42,8.56,0,0,0.42,9.42,0,0,0.42,10.3,0,0,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-12 16:00:00,19.0,5.77,0,0,0.42,5.46,0,0,0.42,5.16,0,0,0.42,4.87,0,0,0.42,4.6,0,0,0.42,4.34,0,0,0.42,4.09,0,0,0.42,3.85,0,0,0.42,3.68,0,0,0.42,3.42,0,0,0.42,3.21,0,0,0.42,2.84,0,0,0.42,2.51,0,0,0.42,2.22,0,0,0.42,1.95,0,0,0.42,1.72,6,6,0.42,1.52,0,0,0.42,1.33,0,0,0.42,1.17,0,0,0.42,1.03,0,0,0.42,1.11,0,0,0.42,1.28,0,0,0.42,1.45,0,0,0.42,1.66,0,0,0.42,1.87,0,0,0.42,2.09,0,0,0.42,2.33,0,0,0.42,2.58,0,0,0.42,2.81,0,0,0.41,3.12,0,0,0.42,3.41,0,0,0.42,4.02,0,0,0.42,4.68,0,0,0.42,5.38,0,0,0.42,6.11,0,0,0.42,6.88,0,0,0.42,7.69,0,0,0.42,8.52,0,0,0.42,9.38,0,0,0.42,10.26,0,0,0.42,6.44,0.0,0.0,0.42,6.1,0.0,0.0,0.42,0.84,0.0,2.0,0.42,0.95,0.0,0.0,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-16 16:00:00,17.88,4.7,0,0,0.41,4.4,0,0,0.41,4.12,0,0,0.41,3.86,0,0,0.41,3.61,0,0,0.41,3.37,0,0,0.41,3.16,0,0,0.41,2.93,0,0,0.41,2.73,0,0,0.41,2.55,0,0,0.41,2.37,0,0,0.41,2.05,0,0,0.41,1.77,0,0,0.41,1.53,0,0,0.41,1.32,0,0,0.41,1.14,0,6,0.41,0.98,0,0,0.41,0.84,0,0,0.41,0.72,0,0,0.41,0.6,0,1,0.41,1.23,0,6,0.41,1.42,0,0,0.41,1.63,0,0,0.41,1.84,0,0,0.41,2.08,0,0,0.41,2.33,0,0,0.41,2.58,0,2,0.41,2.88,0,0,0.41,3.17,0,0,0.41,3.47,0,0,0.41,3.8,0,0,0.41,4.46,0,0,0.41,5.19,0,0,0.41,5.95,0,0,0.41,6.75,0,0,0.41,7.58,0,0,0.41,8.44,0,0,0.41,9.33,0,0,0.41,10.25,0,0,0.41,11.18,0,0,0.41,5.33,0.0,0.0,0.41,5.01,0.0,0.0,0.41,0.89,0.0,2.0,0.41,1.06,0.0,0.0,0.41,6.03,0.0,0.0,0.41,5.67,0.0,0.0,0.41,0.64,0.0,0.0,0.42,0.75,0.0,0.0,0.41,,,,,,,,,,,,,,,,
2023-11-13 16:00:00,18.64,5.08,0,0,0.38,4.75,0,0,0.38,4.44,0,0,0.38,4.14,0,0,0.38,3.86,0,0,0.39,3.59,0,0,0.38,3.34,0,0,0.38,3.17,0,0,0.4,2.88,0,0,0.39,2.67,0,0,0.39,2.47,0,0,0.38,2.11,0,0,0.38,1.8,0,0,0.38,1.53,0,0,0.38,1.3,0,0,0.38,1.1,0,6,0.38,0.94,0,0,0.39,0.79,0,0,0.38,0.67,0,0,0.38,0.56,0,1,0.38,0.85,0,6,0.38,1.01,0,0,0.38,1.18,0,0,0.39,1.37,0,0,0.38,1.57,0,0,0.38,1.79,0,0,0.38,2.05,0,2,0.39,2.24,0,0,0.38,2.55,0,0,0.38,2.84,0,0,0.38,3.13,0,0,0.39,3.77,0,0,0.38,4.46,0,0,0.38,5.19,0,0,0.38,5.98,0,0,0.39,6.79,0,0,0.38,7.65,0,0,0.38,8.54,0,0,0.39,9.46,0,0,0.39,10.4,0,0,0.39,5.78,0.0,0.0,0.38,5.42,0.0,0.0,0.38,0.59,0.0,2.0,0.39,0.71,0.0,0.0,0.38,6.54,0.0,0.0,0.38,6.16,0.0,0.0,0.39,0.38,0.0,20.0,0.38,0.48,0.0,0.0,0.38,6.94,0.0,0.0,0.38,0.31,28.0,28.0,0.39,,,,,,,,
2023-11-14 16:00:00,18.72,5.13,0,0,0.38,4.8,0,0,0.38,4.48,0,0,0.38,4.18,0,0,0.38,3.9,0,0,0.38,3.63,0,0,0.38,3.37,0,0,0.38,3.11,0,0,0.38,2.9,0,0,0.38,2.69,0,0,0.38,2.49,0,0,0.38,2.13,0,0,0.38,1.82,0,0,0.38,1.55,0,0,0.38,1.31,0,0,0.38,1.11,0,6,0.38,0.94,0,0,0.38,0.8,0,0,0.38,0.67,0,0,0.38,0.55,0,1,0.38,0.82,0,6,0.38,0.98,0,0,0.38,1.15,0,0,0.38,1.33,0,0,0.38,1.54,0,0,0.38,1.75,0,0,0.38,1.99,0,2,0.38,2.25,0,0,0.38,2.5,0,0,0.38,2.78,0,0,0.38,3.07,0,0,0.38,3.71,0,0,0.38,4.39,0,0,0.38,5.12,0,0,0.38,5.9,0,0,0.38,6.72,0,0,0.38,7.58,0,0,0.38,8.46,0,0,0.38,9.38,0,0,0.38,10.32,0,0,0.38,5.84,0.0,0.0,0.38,5.48,0.0,0.0,0.38,0.56,0.0,2.0,0.38,0.69,0.0,0.0,0.38,6.61,0.0,0.0,0.38,6.22,0.0,0.0,0.38,0.36,0.0,20.0,0.38,0.46,0.0,0.0,0.38,7.01,0.0,0.0,0.38,0.3,0.0,28.0,0.39,,,,,,,,
2023-11-17 16:00:00,18.48,4.93,0,0,0.38,4.61,0,0,0.38,4.3,0,0,0.38,4.0,0,0,0.38,3.72,0,0,0.38,3.46,0,0,0.38,3.21,0,0,0.38,3.04,0,0,0.39,2.76,0,0,0.38,2.55,0,0,0.38,2.36,0,0,0.38,2.01,0,0,0.38,1.71,0,0,0.38,1.45,0,0,0.38,1.23,0,0,0.38,1.04,0,6,0.38,0.87,0,0,0.38,0.74,0,0,0.38,0.62,0,0,0.38,0.51,0,1,0.38,0.87,0,6,0.38,1.03,0,0,0.38,1.2,0,0,0.38,1.4,0,0,0.38,1.61,0,0,0.38,1.83,0,0,0.38,2.08,0,2,0.38,2.29,0,0,0.38,2.61,0,0,0.38,2.89,0,0,0.38,3.19,0,0,0.38,3.84,0,0,0.38,4.54,0,0,0.38,5.28,0,0,0.38,6.08,0,0,0.38,6.91,0,0,0.39,7.77,0,0,0.38,8.67,0,0,0.38,9.59,0,0,0.38,10.55,0,0,0.39,5.63,0.0,0.0,0.38,5.27,0.0,0.0,0.38,0.6,0.0,2.0,0.38,0.73,0.0,0.0,0.38,6.39,0.0,0.0,0.39,6.0,0.0,0.0,0.38,0.39,0.0,20.0,0.38,0.49,0.0,0.0,0.38,6.78,0.0,0.0,0.38,0.32,0.0,28.0,0.39,,,,,,,,
2023-11-21 16:00:00,18.26,4.75,0,0,0.39,4.43,0,0,0.39,4.12,0,0,0.39,3.84,0,0,0.39,3.56,0,0,0.39,3.31,0,0,0.39,3.06,0,0,0.39,2.85,0,0,0.39,2.62,0,0,0.39,2.42,0,0,0.39,2.24,0,0,0.39,1.9,0,0,0.39,1.61,0,0,0.39,1.36,0,0,0.39,1.15,0,0,0.39,0.97,0,6,0.39,0.82,0,0,0.39,0.68,0,0,0.39,0.57,0,0,0.39,0.47,0,1,0.38,0.92,0,6,0.39,1.08,0,0,0.39,1.26,0,0,0.39,1.47,0,0,0.39,1.67,0,0,0.39,1.91,0,0,0.39,2.16,0,2,0.39,2.41,0,0,0.38,2.71,0,0,0.39,2.99,0,0,0.39,3.31,0,0,0.39,3.96,0,0,0.39,4.68,0,0,0.39,5.44,0,0,0.39,6.24,0,0,0.39,7.08,0,0,0.39,7.95,0,0,0.39,8.86,0,0,0.39,9.8,0,0,0.39,10.76,0,0,0.39,5.43,0.0,0.0,0.38,5.08,0.0,0.0,0.39,0.64,0.0,2.0,0.39,0.77,0.0,0.0,0.39,6.18,0.0,0.0,0.39,5.8,0.0,0.0,0.39,0.42,0.0,20.0,0.39,0.52,0.0,0.0,0.39,6.58,0.0,0.0,0.39,0.34,0.0,28.0,0.39,,,,,,,,
2023-11-22 16:00:00,18.14,4.65,0,0,0.39,4.33,0,0,0.39,4.03,0,0,0.39,3.75,0,0,0.39,3.48,0,0,0.39,3.22,0,0,0.39,2.96,0,0,0.38,2.76,0,0,0.39,2.55,0,0,0.39,2.35,0,0,0.39,2.17,0,0,0.39,1.84,0,0,0.39,1.56,0,0,0.39,1.32,0,0,0.39,1.11,0,0,0.39,0.93,0,6,0.39,0.78,0,0,0.39,0.66,0,0,0.39,0.55,0,0,0.39,0.45,0,1,0.38,0.94,0,6,0.39,1.11,0,0,0.39,1.3,0,0,0.39,1.5,0,0,0.39,1.71,0,0,0.39,1.96,0,0,0.39,2.22,0,2,0.39,2.47,0,0,0.39,2.76,0,0,0.39,3.05,0,0,0.39,3.37,0,0,0.39,4.03,0,0,0.39,4.76,0,0,0.39,5.52,0,0,0.39,6.33,0,0,0.39,7.18,0,0,0.39,8.05,0,0,0.39,8.97,0,0,0.39,9.9,0,0,0.38,10.87,0,0,0.38,5.33,0.0,0.0,0.39,4.98,0.0,0.0,0.39,0.65,0.0,2.0,0.39,0.79,0.0,0.0,0.39,6.07,0.0,0.0,0.39,5.69,0.0,0.0,0.39,0.43,0.0,20.0,0.39,0.53,0.0,0.0,0.39,6.47,0.0,0.0,0.39,0.35,2.0,30.0,0.39,,,,,,,,
