time,inst_ids
2023-01-03 16:00:00,"PIC2301,PIC2303,PIC2302,PIC2304,PIC2309,PIC2306,PIC2312,"
2023-01-05 16:00:00,"PIC2301,PIC2302,PIC2304,PIC2303,PIC2312,PIC2309,PIC2306,"
2023-01-06 16:00:00,"PIC2301,PIC2303,PIC2302,PIC2309,PIC2312,PIC2304,PIC2306,"
2023-01-09 16:00:00,"PIC2301,PIC2302,PIC2303,PIC2304,PIC2306,PIC2312,PIC2309,"
2023-01-13 16:00:00,"PIC2309,PIC2306,PIC2303,PIC2301,PIC2304,PIC2302,PIC2312,"
2023-03-13 16:00:00,"PIC2304,PIC2303,PIC2305,PIC2312,PIC2306,PIC2403,PIC2309,"
2023-03-14 16:00:00,"PIC2304,PIC2303,PIC2305,PIC2306,PIC2312,PIC2403,PIC2309,"
2023-03-28 16:00:00,"PIC2304,PIC2303,PIC2306,PIC2305,PIC2309,PIC2312,PIC2403,"
2023-03-30 16:00:00,"PIC2304,PIC2303,PIC2305,PIC2306,PIC2309,PIC2312,PIC2403,"
2023-03-31 16:00:00,"PIC2304,PIC2306,PIC2305,PIC2403,PIC2312,PIC2309,PIC2307,"
2023-04-12 16:00:00,"PIC2304,PIC2305,PIC2306,PIC2309,PIC2307,PIC2312,PIC2403,"
2023-04-13 16:00:00,"PIC2304,PIC2306,PIC2305,PIC2307,PIC2403,PIC2312,PIC2309,"
2023-04-14 16:00:00,"PIC2304,PIC2305,PIC2307,PIC2403,PIC2312,PIC2309,PIC2306,"
2023-04-17 16:00:00,"PIC2304,PIC2305,PIC2307,PIC2403,PIC2312,PIC2309,PIC2306,"
2023-04-18 16:00:00,"PIC2304,PIC2305,PIC2306,PIC2307,PIC2403,PIC2312,PIC2309,"
2023-04-19 16:00:00,"PIC2305,PIC2304,PIC2306,PIC2307,PIC2403,PIC2312,PIC2309,"
2023-04-20 16:00:00,"PIC2304,PIC2305,PIC2306,PIC2307,PIC2309,PIC2312,PIC2403,"
2023-04-27 16:00:00,"PIC2305,PIC2307,PIC2304,PIC2306,PIC2309,PIC2403,PIC2312,"
2023-05-04 16:00:00,"PIC2305,PIC2306,PIC2307,PIC2403,PIC2312,PIC2309,PIC2308,"
2023-05-08 16:00:00,"PIC2305,PIC2306,PIC2307,PIC2308,PIC2403,PIC2312,PIC2309,"
2023-05-10 16:00:00,"PIC2306,PIC2305,PIC2307,PIC2308,PIC2309,PIC2403,PIC2312,"
2023-05-11 16:00:00,"PIC2307,PIC2308,PIC2305,PIC2306,PIC2403,PIC2312,PIC2309,"
2023-06-02 16:00:00,"PIC2306,PIC2309,PIC2307,PIC2308,PIC2312,PIC2406,PIC2403,"
2023-06-14 16:00:00,"PIC2306,PIC2308,PIC2307,PIC2309,PIC2403,PIC2406,PIC2312,"
2023-06-15 16:00:00,"PIC2307,PIC2306,PIC2308,PIC2309,PIC2406,PIC2403,PIC2312,"
2023-06-29 16:00:00,"PIC2306,PIC2308,PIC2309,PIC2307,PIC2406,PIC2403,PIC2312,"
2023-07-28 16:00:00,"PIC2309,PIC2308,PIC2307,PIC2310,PIC2406,PIC2403,PIC2312,"
