time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,close,17.00,17.00,17.00,17.00,17.50,17.50,17.50,17.50,18.00,18.00,18.00,18.00,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,31.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,35.00,35.00,35.00,35.00,36.00,36.00,36.00,36.00,37.00,37.00,37.00,37.00,38.00,38.00,38.00,38.00,17.00,17.00,17.00,17.00,17.50,17.50,17.50,17.50,18.00,18.00,18.00,18.00,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,31.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,35.00,35.00,35.00,35.00,36.00,36.00,36.00,36.00,37.00,37.00,37.00,37.00,38.00,38.00,38.00,38.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,41.00,41.00,41.00,41.00,41.00,41.00,41.00,41.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,42.00,43.00,43.00,43.00,43.00,43.00,43.00,43.00,43.00
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-01-03 16:00:00,26.9,10.52,0,0,0.66,10.08,0,0,0.65,9.62,0,0,0.63,9.2,0,0,0.63,8.77,0,0,0.62,8.4,0,0,0.62,7.99,0,0,0.62,7.1,0,0,0.57,6.39,0,0,0.57,5.72,0,0,0.57,5.11,0,0,0.57,4.52,0,0,0.57,3.99,0,0,0.56,3.51,0,0,0.56,3.09,0,0,0.56,2.72,0,0,0.56,2.39,17,17,0.56,2.11,0,0,0.57,1.87,0,0,0.57,1.66,5,5,0.58,1.45,0,0,0.58,1.27,0,0,0.58,1.11,0,0,0.58,0.97,0,0,0.58,0.83,0,0,0.58,0.2,0,0,0.56,0.26,0,0,0.57,0.32,0,0,0.57,0.39,0,0,0.57,0.47,0,0,0.57,0.55,0,0,0.57,0.66,0,0,0.57,0.88,0,0,0.57,1.17,0,0,0.57,1.47,0,0,0.56,1.81,0,0,0.56,2.24,0,0,0.56,2.69,0,0,0.55,3.22,0,0,0.56,3.81,0,0,0.56,4.46,0,0,0.56,5.13,0,0,0.57,5.89,0,0,0.58,6.63,0,0,0.58,7.42,0,0,0.59,8.21,0,0,0.58,9.06,0,0,0.59,9.88,0,0,0.59,10.76,0,0,0.6,11.67,0,0,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-04 16:00:00,28.05,11.53,0,0,0.61,11.07,0,0,0.6,10.62,0,0,0.6,10.17,0,0,0.59,9.74,0,0,0.59,9.32,0,0,0.59,8.84,0,0,0.56,7.94,0,0,0.53,7.25,0,0,0.55,6.52,0,0,0.55,5.8,0,0,0.54,5.09,0,0,0.52,4.64,0,0,0.55,4.1,0,0,0.54,3.64,0,0,0.55,3.2,0,0,0.55,2.82,0,17,0.55,2.5,0,0,0.55,2.21,0,0,0.55,1.95,0,5,0.56,1.75,0,0,0.57,1.53,0,0,0.57,1.33,0,0,0.56,1.16,0,0,0.57,1.01,0,0,0.57,0.12,0,0,0.54,0.16,0,0,0.55,0.2,0,0,0.55,0.26,0,0,0.55,0.32,0,0,0.55,0.38,0,0,0.55,0.47,0,0,0.56,0.65,0,0,0.55,0.88,0,0,0.56,1.17,0,0,0.56,1.51,0,0,0.56,1.89,0,0,0.56,2.32,0,0,0.57,2.78,0,0,0.56,3.3,0,0,0.57,3.88,0,0,0.57,4.51,0,0,0.57,5.21,0,0,0.58,5.87,0,0,0.58,6.66,0,0,0.59,7.37,0,0,0.58,8.2,0,0,0.59,9.03,0,0,0.6,9.89,0,0,0.61,10.75,0,0,0.61,0.85,0.0,0.0,0.56,11.64,0.0,0.0,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05 16:00:00,27.8,11.4,0,0,0.68,10.94,0,0,0.66,10.42,0,0,0.62,10.03,0,0,0.63,9.54,0,0,0.6,9.14,0,0,0.61,8.71,0,0,0.6,7.84,0,0,0.57,7.07,0,0,0.56,6.36,0,0,0.56,5.6,0,0,0.54,5.07,0,0,0.56,4.25,0,0,0.51,3.94,0,0,0.55,3.47,0,0,0.55,3.09,0,0,0.55,2.7,0,17,0.55,2.38,0,0,0.55,2.1,0,0,0.56,1.85,0,5,0.56,1.64,0,0,0.56,1.47,0,0,0.57,1.3,0,0,0.58,1.19,0,0,0.59,1.07,0,0,0.59,0.07,0,0,0.49,0.1,0,0,0.49,0.13,0,0,0.49,0.18,0,0,0.5,0.22,0,0,0.5,0.29,0,0,0.5,0.36,0,0,0.51,0.53,0,0,0.51,0.77,0,0,0.52,1.06,0,0,0.52,1.41,0,0,0.53,1.81,0,0,0.54,2.27,0,0,0.54,2.77,0,0,0.55,3.28,0,0,0.55,3.89,0,0,0.55,4.5,0,0,0.55,5.18,0,0,0.55,5.94,0,0,0.56,6.7,0,0,0.57,7.5,0,0,0.58,8.26,0,0,0.57,9.1,0,0,0.58,10.01,0,0,0.59,10.89,0,0,0.6,0.96,0.0,0.0,0.6,11.74,0.0,0.0,0.59,0.86,0.0,0.0,0.6,12.77,0.0,0.0,0.63,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-06 16:00:00,27.0,10.56,0,0,0.63,10.11,0,0,0.62,9.66,0,0,0.61,9.31,0,0,0.64,8.81,0,0,0.6,8.45,0,0,0.62,7.89,0,0,0.56,7.16,0,0,0.57,6.43,0,0,0.57,5.73,0,0,0.56,5.09,0,0,0.56,4.43,0,0,0.54,3.85,0,0,0.53,3.39,0,0,0.54,2.97,0,0,0.54,2.6,0,0,0.54,2.27,0,17,0.54,1.98,2,1,0.54,1.74,0,0,0.55,1.53,17,18,0.55,1.33,30,30,0.56,1.14,0,0,0.55,0.98,0,0,0.55,0.85,0,0,0.56,0.73,0,0,0.56,0.18,0,0,0.56,0.23,0,0,0.56,0.28,0,0,0.56,0.35,0,0,0.57,0.42,0,0,0.56,0.5,0,0,0.56,0.6,0,0,0.56,0.81,0,0,0.56,1.08,0,0,0.56,1.39,0,0,0.56,1.75,0,0,0.56,2.15,0,0,0.56,2.6,15,15,0.55,3.1,0,0,0.55,3.67,15,15,0.55,4.3,0,0,0.56,4.99,0,0,0.56,5.66,0,0,0.56,6.38,0,0,0.56,7.17,0,0,0.56,8.02,0,0,0.57,8.84,0,0,0.57,9.73,0,0,0.58,10.59,0,0,0.58,11.51,0,0,0.6,0.6,0.0,0.0,0.55,12.4,0.0,0.0,0.59,0.52,0.0,0.0,0.55,13.36,0.0,0.0,0.61,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-09 16:00:00,28.0,11.36,0,0,0.54,10.91,0,0,0.55,10.46,0,0,0.55,10.01,0,0,0.55,9.57,0,0,0.55,9.14,0,0,0.55,8.75,0,0,0.56,7.91,0,0,0.55,7.1,0,0,0.54,6.41,0,0,0.55,5.72,0,0,0.54,5.1,0,0,0.55,4.51,0,0,0.54,3.97,0,0,0.54,3.49,0,0,0.54,3.06,0,0,0.54,2.69,6,23,0.54,2.37,17,18,0.55,2.08,0,0,0.55,1.83,0,18,0.55,1.57,17,47,0.55,1.35,0,0,0.55,1.15,0,0,0.55,0.98,5,5,0.54,0.83,0,0,0.54,0.1,0,0,0.53,0.12,0,0,0.53,0.16,0,0,0.53,0.21,0,0,0.54,0.27,0,0,0.54,0.33,0,0,0.54,0.4,0,0,0.54,0.58,0,0,0.54,0.8,0,0,0.55,1.09,0,0,0.55,1.42,0,0,0.55,1.8,0,0,0.56,2.24,0,15,0.56,2.7,0,0,0.56,3.25,85,100,0.57,3.79,0,0,0.56,4.41,0,0,0.56,5.11,0,0,0.57,5.81,0,0,0.57,6.57,0,0,0.58,7.35,0,0,0.58,8.16,0,0,0.59,9.0,0,0,0.6,9.86,0,0,0.6,10.75,0,0,0.61,0.69,0.0,0.0,0.54,11.65,0.0,0.0,0.62,0.58,0.0,0.0,0.53,12.57,0.0,0.0,0.63,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-10 16:00:00,29.35,12.76,0,0,0.63,12.29,0,0,0.62,11.82,0,0,0.6,11.36,0,0,0.6,10.98,0,0,0.63,10.53,0,0,0.62,10.09,0,0,0.61,9.19,0,0,0.58,8.33,0,0,0.56,7.54,0,0,0.56,6.8,0,0,0.55,6.14,0,0,0.56,5.46,0,0,0.55,4.84,0,0,0.54,4.29,0,0,0.54,3.79,0,0,0.54,3.34,0,23,0.54,2.96,0,18,0.54,2.62,0,0,0.55,2.27,0,18,0.54,2.01,0,47,0.55,1.79,15,15,0.55,1.58,17,17,0.56,1.42,45,45,0.56,1.25,0,0,0.57,0.07,0,0,0.54,0.09,0,0,0.54,0.11,0,0,0.53,0.14,0,0,0.53,0.19,0,0,0.54,0.23,0,0,0.54,0.29,0,0,0.54,0.42,0,0,0.54,0.59,0,0,0.54,0.81,16,16,0.54,1.07,16,16,0.54,1.39,120,120,0.55,1.73,134,149,0.55,2.13,0,0,0.54,2.58,0,100,0.54,3.08,0,0,0.54,3.63,0,0,0.54,4.24,0,0,0.55,4.88,0,0,0.55,5.52,0,0,0.54,6.36,0,0,0.56,7.07,0,0,0.56,7.89,0,0,0.57,8.7,0,0,0.57,9.54,0,0,0.58,1.11,0.0,0.0,0.57,10.41,0.0,0.0,0.58,0.99,13.0,13.0,0.57,11.3,0.0,0.0,0.59,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-11 16:00:00,28.4,11.93,0,0,0.69,11.41,0,0,0.64,10.99,0,0,0.65,10.53,0,0,0.63,10.03,0,0,0.6,9.59,0,0,0.59,9.05,0,0,0.54,8.27,0,0,0.56,7.43,0,0,0.54,6.62,0,0,0.53,5.9,0,0,0.52,5.17,0,0,0.51,4.56,0,0,0.51,4.03,0,0,0.51,3.51,0,0,0.51,3.03,0,0,0.51,2.62,0,23,0.51,2.28,0,18,0.51,1.99,0,0,0.51,1.7,0,18,0.51,1.43,27,68,0.51,1.21,0,15,0.51,1.01,0,17,0.5,0.84,0,45,0.5,0.7,0,0,0.5,0.07,0,0,0.52,0.09,0,0,0.51,0.12,0,0,0.52,0.15,0,0,0.51,0.2,0,0,0.52,0.25,0,0,0.52,0.31,0,0,0.52,0.45,0,0,0.52,0.64,0,0,0.52,0.87,0,16,0.52,1.14,0,16,0.52,1.48,0,120,0.52,1.85,0,149,0.52,2.26,0,0,0.51,2.75,0,100,0.51,3.31,0,0,0.51,3.88,0,0,0.51,4.43,0,0,0.5,5.15,0,0,0.5,5.98,0,0,0.52,6.79,0,0,0.54,7.6,0,0,0.54,8.45,0,0,0.55,9.33,0,0,0.56,10.15,0,0,0.55,0.58,0.0,0.0,0.49,11.09,0.0,0.0,0.57,0.46,0.0,13.0,0.49,11.99,0.0,0.0,0.57,0.38,0.0,0.0,0.49,12.92,0.0,0.0,0.58,,,,,,,,,,,,,,,,
2023-01-12 16:00:00,28.1,11.36,0,0,0.4,10.98,0,0,0.54,10.52,0,0,0.54,10.06,0,0,0.53,9.6,0,0,0.53,9.2,0,0,0.55,8.76,0,0,0.54,7.81,0,0,0.49,6.98,0,0,0.49,6.2,0,0,0.48,5.42,0,0,0.47,4.82,0,0,0.48,4.19,0,0,0.48,3.62,0,0,0.48,3.14,0,0,0.48,2.71,0,0,0.48,2.33,0,23,0.48,2.0,45,45,0.49,1.74,15,15,0.49,1.49,108,123,0.5,1.29,15,83,0.5,1.09,0,15,0.5,0.92,0,17,0.5,0.78,0,45,0.5,0.65,0,0,0.5,0.04,0,0,0.47,0.06,0,0,0.47,0.08,0,0,0.47,0.11,0,0,0.47,0.15,0,0,0.48,0.19,0,0,0.48,0.24,0,0,0.48,0.38,0,0,0.48,0.56,0,0,0.49,0.79,0,16,0.49,1.07,60,76,0.49,1.42,150,270,0.49,1.83,468,602,0.5,2.28,0,0,0.5,2.78,0,100,0.5,3.37,0,0,0.5,3.97,0,0,0.5,4.56,0,0,0.49,5.41,0,0,0.52,6.18,0,0,0.53,6.96,0,0,0.53,7.77,0,0,0.53,8.64,0,0,0.54,9.52,0,0,0.55,10.37,0,0,0.55,0.53,0.0,0.0,0.5,11.29,0.0,0.0,0.55,0.44,3.0,10.0,0.5,12.28,0.0,0.0,0.58,0.37,0.0,0.0,0.5,13.21,0.0,0.0,0.59,,,,,,,,,,,,,,,,
