time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P
time,close,62.50,62.50,62.50,62.50,65.00,65.00,65.00,65.00,67.50,67.50,67.50,67.50,70.00,70.00,70.00,70.00,72.50,72.50,72.50,72.50,75.00,75.00,75.00,75.00,77.50,77.50,77.50,77.50,80.00,80.00,80.00,80.00,82.50,82.50,82.50,82.50,85.00,85.00,85.00,85.00,87.50,87.50,87.50,87.50,90.00,90.00,90.00,90.00,92.50,92.50,92.50,92.50,95.00,95.00,95.00,95.00,97.50,97.50,97.50,97.50,100.00,100.00,100.00,100.00,102.50,102.50,102.50,102.50,105.00,105.00,105.00,105.00,107.50,107.50,107.50,107.50,110.00,110.00,110.00,110.00,112.50,112.50,112.50,112.50,115.00,115.00,115.00,115.00,117.50,117.50,117.50,117.50,120.00,120.00,120.00,120.00,122.50,122.50,122.50,122.50,125.00,125.00,125.00,125.00,127.50,127.50,127.50,127.50,130.00,130.00,130.00,130.00,62.50,62.50,62.50,62.50,65.00,65.00,65.00,65.00,67.50,67.50,67.50,67.50,70.00,70.00,70.00,70.00,72.50,72.50,72.50,72.50,75.00,75.00,75.00,75.00,77.50,77.50,77.50,77.50,80.00,80.00,80.00,80.00,82.50,82.50,82.50,82.50,85.00,85.00,85.00,85.00,87.50,87.50,87.50,87.50,90.00,90.00,90.00,90.00,92.50,92.50,92.50,92.50,95.00,95.00,95.00,95.00,97.50,97.50,97.50,97.50,100.00,100.00,100.00,100.00,102.50,102.50,102.50,102.50,105.00,105.00,105.00,105.00,107.50,107.50,107.50,107.50,110.00,110.00,110.00,110.00,112.50,112.50,112.50,112.50,115.00,115.00,115.00,115.00,117.50,117.50,117.50,117.50,120.00,120.00,120.00,120.00,122.50,122.50,122.50,122.50,125.00,125.00,125.00,125.00,127.50,127.50,127.50,127.50,130.00,130.00,130.00,130.00,132.50,132.50,132.50,132.50,132.50,132.50,132.50,132.50
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-01-03 16:00:00,109.2,46.92,0,50,0.64,44.43,0,37,0.62,41.93,0,0,,39.44,0,0,,36.95,0,0,,34.46,0,0,,31.97,0,0,0.35,29.48,0,15,0.36,26.99,0,60,0.34,24.5,0,73,0.32,22.01,1,62,0.29,19.52,2,108,0.26,17.03,0,246,0.23,14.57,0,264,0.24,11.79,2,190,,9.88,0,222,0.25,7.67,1,74,0.24,5.66,2,133,0.24,3.95,133,120,0.23,2.74,183,221,0.24,1.7,16,76,0.24,1.08,51,38,0.25,0.62,16,42,0.25,0.33,55,72,0.25,0.17,0,5,0.25,0.08,0,10,0.25,0.04,0,0,0.25,0.01,0,10,0.23,0.01,0,4,0.72,0.01,0,27,0.68,0.01,0,36,0.63,0.01,0,64,0.58,0.01,0,96,0.54,0.01,0,65,0.5,0.01,0,48,0.46,0.01,0,101,0.42,0.01,0,87,0.38,0.01,0,192,0.34,0.01,10,290,0.31,0.01,30,325,0.27,0.02,45,194,0.26,0.05,8,100,0.25,0.12,16,80,0.24,0.3,63,396,0.25,0.63,85,242,0.25,1.2,20,184,0.25,2.02,784,549,0.24,3.21,78,195,0.24,4.76,0,0,0.25,6.65,0,0,0.25,8.76,0,15,0.26,11.02,0,1,0.27,13.71,0,0,0.35,15.8,0,0,,18.3,0,0,,20.8,0,0,,,,,,,,,
2023-01-04 16:00:00,108.5,46.22,0,50,,43.73,0,37,,41.24,0,0,,38.75,0,0,,36.26,0,0,,33.77,0,0,0.36,31.28,0,0,0.38,28.79,0,15,0.36,26.3,0,60,0.34,23.81,0,73,0.31,21.32,0,62,0.28,18.83,0,108,0.25,16.34,1,246,0.22,13.74,0,264,,11.32,0,190,,9.2,1,221,0.25,6.99,1,74,0.23,5.0,15,125,0.23,3.32,115,130,0.22,2.12,157,229,0.22,1.28,74,95,0.23,0.74,11,37,0.23,0.38,0,42,0.23,0.18,20,62,0.23,0.08,5,10,0.23,0.04,0,10,0.23,0.02,0,0,0.24,0.01,0,10,0.25,0.01,0,4,0.73,0.01,0,27,0.68,0.01,0,36,0.63,0.01,0,64,0.59,0.01,0,96,0.54,0.01,0,65,0.5,0.01,0,48,0.46,0.01,0,101,0.42,0.01,0,87,0.38,0.01,0,192,0.34,0.01,0,290,0.31,0.01,10,315,0.27,0.01,7,197,0.23,0.04,3,99,0.24,0.1,0,80,0.23,0.26,43,391,0.23,0.59,63,214,0.23,1.18,45,181,0.23,2.1,291,602,0.23,3.32,68,208,0.23,5.01,0,0,0.23,7.0,0,0,0.24,9.2,0,15,0.24,11.54,0,1,0.24,14.24,0,0,0.34,16.5,0,0,,19.0,0,0,,21.5,0,0,,0.01,0.0,0.0,0.27,24.0,0.0,0.0,
2023-01-05 16:00:00,110.7,48.42,0,50,0.7,45.92,0,37,,43.43,0,0,,40.94,0,0,,38.45,0,0,,35.96,0,0,0.42,33.47,0,0,0.42,30.98,0,15,0.41,28.49,0,60,0.38,25.99,0,73,,23.5,0,62,,21.01,0,108,,18.52,1,245,,16.04,0,264,0.23,13.59,2,188,0.24,11.17,0,221,0.23,8.86,0,74,0.23,6.6,2,124,0.21,4.71,15,130,0.22,3.12,103,255,0.22,1.94,68,118,0.22,1.15,67,74,0.22,0.64,1,42,0.22,0.32,18,76,0.22,0.15,2,12,0.22,0.07,0,10,0.23,0.03,0,0,0.23,0.01,0,10,0.22,0.01,0,4,0.77,0.01,0,27,0.72,0.01,0,36,0.67,0.01,0,64,0.62,0.01,40,123,0.58,0.01,0,65,0.54,0.01,0,48,0.49,0.01,2,100,0.45,0.01,0,87,0.41,0.01,0,192,0.37,0.01,0,290,0.34,0.01,0,315,0.3,0.01,0,197,0.26,0.01,24,90,0.23,0.04,17,95,0.23,0.1,8,386,0.22,0.27,7,208,0.22,0.61,1,182,0.22,1.23,508,341,0.23,2.2,261,299,0.23,3.53,159,39,0.23,5.23,115,115,0.23,7.28,0,15,0.24,9.5,1,1,0.25,11.88,0,0,0.26,14.35,0,0,0.29,16.8,0,0,,19.3,0,0,,0.01,0.0,0.0,0.25,21.8,0.0,0.0,
2023-01-06 16:00:00,109.2,46.91,0,50,0.67,44.42,0,37,0.66,41.92,0,0,,39.43,0,0,,36.94,0,0,,34.45,0,0,0.43,31.96,0,0,0.43,29.47,0,15,0.41,26.97,0,60,,24.48,0,73,,21.99,0,62,,19.56,0,108,0.36,17.01,2,243,0.22,14.58,0,264,0.28,12.14,5,183,0.26,9.9,2,219,0.28,7.6,0,74,0.25,5.48,0,124,0.23,3.69,62,179,0.22,2.3,216,354,0.22,1.32,35,126,0.22,0.69,3,74,0.22,0.33,0,42,0.22,0.15,2,76,0.22,0.06,15,27,0.22,0.03,15,25,0.22,0.01,0,0,0.22,0.01,0,10,0.25,0.01,0,4,0.77,0.01,0,27,0.72,0.01,0,36,0.67,0.01,0,64,0.62,0.01,0,123,0.57,0.01,0,65,0.53,0.01,0,48,0.49,0.01,0,100,0.44,0.01,0,87,0.4,0.01,0,192,0.37,0.01,0,290,0.33,0.01,0,315,0.29,0.01,0,197,0.25,0.01,28,99,0.21,0.04,20,95,0.22,0.13,12,376,0.21,0.36,24,225,0.22,0.8,66,181,0.22,1.5,323,433,0.21,2.63,722,370,0.21,4.16,35,61,0.2,6.02,0,115,0.19,8.4,0,15,0.21,10.82,0,1,0.23,13.3,0,0,,15.8,0,0,,18.3,0,0,,20.8,0,0,,0.01,0.0,0.0,0.27,23.3,0.0,0.0,
2023-01-09 16:00:00,109.2,46.88,0,50,,44.39,0,37,0.63,41.9,0,0,0.65,39.4,0,0,,36.91,0,0,,34.42,0,0,0.49,31.93,0,0,0.48,29.43,0,15,,26.94,0,60,0.31,24.45,0,73,0.35,21.95,0,62,,19.46,2,108,,16.97,0,243,0.22,14.44,1,263,,11.96,0,183,,9.83,1,220,0.29,7.4,1,73,0.24,5.36,1,123,0.24,3.55,85,262,0.23,2.13,206,310,0.22,1.19,92,158,0.22,0.6,42,92,0.22,0.27,18,47,0.22,0.11,6,78,0.22,0.04,0,27,0.22,0.02,0,25,0.23,0.01,0,0,0.24,0.01,0,10,0.27,0.01,0,4,0.82,0.01,0,27,0.77,0.01,0,36,0.71,0.01,0,64,0.66,0.01,0,123,0.61,0.01,0,65,0.57,0.01,0,48,0.52,0.01,0,100,0.47,0.01,0,87,0.43,0.01,0,192,0.39,0.01,0,290,0.35,0.01,0,315,0.31,0.01,0,197,0.27,0.01,0,99,0.23,0.03,4,91,0.22,0.1,28,376,0.22,0.3,38,190,0.22,0.72,97,205,0.22,1.49,504,450,0.22,2.56,512,275,0.21,4.13,39,74,0.21,6.09,0,115,0.21,8.38,0,15,0.22,10.97,0,1,0.29,13.44,0,0,0.33,15.8,0,0,,18.3,0,0,,20.8,0,0,,0.01,0.0,0.0,0.29,23.3,0.0,0.0,
2023-01-10 16:00:00,108.6,46.27,0,50,,43.78,0,37,0.52,41.29,0,0,0.65,38.79,0,0,,36.3,0,0,,33.81,0,0,0.5,31.31,0,0,,28.82,0,15,,26.33,0,60,0.37,23.84,0,73,0.36,21.34,0,62,,18.85,0,108,0.24,16.36,0,243,0.24,13.74,0,263,,11.3,0,183,,8.86,4,219,,6.59,0,73,0.19,4.49,0,123,0.19,2.81,18,274,0.2,1.6,67,289,0.2,0.81,3,160,0.2,0.39,1,92,0.21,0.15,0,47,0.21,0.06,0,78,0.21,0.02,0,27,0.21,0.01,0,25,0.22,0.01,0,0,0.25,0.01,0,10,0.28,0.01,0,4,0.83,0.01,0,27,0.78,0.01,0,36,0.72,0.01,0,64,0.67,0.01,0,123,0.62,0.01,0,65,0.57,0.01,0,48,0.52,0.01,0,100,0.48,0.01,0,87,0.43,0.01,0,192,0.39,0.01,0,290,0.35,0.01,0,315,0.31,0.01,0,197,0.27,0.01,3,99,0.23,0.03,0,91,0.22,0.09,0,376,0.21,0.28,0,190,0.21,0.73,58,214,0.21,1.55,467,401,0.21,2.86,130,260,0.21,4.62,15,74,0.22,6.77,150,167,0.24,9.11,0,15,0.27,11.56,16,16,0.31,14.06,0,0,0.35,16.4,0,0,,18.9,0,0,,21.4,0,0,,0.01,0.0,0.0,0.31,23.9,0.0,0.0,
2023-01-11 16:00:00,106.4,44.06,0,50,,41.57,0,37,,39.08,0,0,0.63,36.58,0,0,,34.09,0,0,,31.6,0,0,0.49,29.1,0,0,,26.61,0,15,,24.12,0,60,0.37,21.62,0,73,,19.13,0,62,,16.64,0,108,0.25,14.47,0,243,0.43,12.01,0,263,0.37,9.47,0,183,0.3,6.95,10,209,0.23,4.75,0,73,0.21,2.9,11,123,0.2,1.53,60,259,0.19,0.74,50,299,0.2,0.3,26,153,0.19,0.1,6,91,0.19,0.03,0,47,0.19,0.01,0,78,0.2,0.01,0,27,0.23,0.01,0,25,0.26,0.01,0,0,0.29,0.01,0,10,0.32,0.01,0,4,0.83,0.01,0,27,0.77,0.01,0,36,0.71,0.01,0,64,0.66,0.01,0,123,0.61,0.01,0,65,0.56,0.01,0,48,0.51,0.01,0,100,0.46,0.01,0,87,0.42,0.01,0,192,0.37,0.01,0,290,0.33,0.01,0,315,0.28,0.01,0,197,0.24,0.01,1,100,0.2,0.04,0,91,0.19,0.16,0,376,0.19,0.5,5,190,0.19,1.18,135,266,0.19,2.4,325,561,0.19,4.1,268,413,0.19,6.23,0,74,0.2,8.6,0,167,,11.1,0,0,,13.6,0,0,,16.1,0,0,,18.6,0,0,,21.1,0,0,,23.6,0,0,,0.01,0.0,0.0,0.35,26.1,0.0,0.0,
2023-01-12 16:00:00,108.6,46.26,0,50,0.81,43.76,0,37,,41.27,0,0,0.65,38.77,0,0,,36.28,0,0,,33.79,0,0,0.54,31.29,0,0,,28.8,0,15,0.4,26.31,0,60,0.42,23.81,0,73,,21.32,0,62,0.31,18.82,0,108,,16.33,0,243,,13.65,0,263,,11.34,1,182,,8.77,0,209,,6.61,0,73,0.21,4.4,0,123,0.19,2.63,30,259,0.19,1.41,23,292,0.19,0.66,2,153,0.2,0.28,2,92,0.2,0.1,30,52,0.2,0.03,0,78,0.2,0.01,2,29,0.21,0.01,0,25,0.24,0.01,0,0,0.27,0.01,0,10,0.3,0.01,0,4,0.88,0.01,0,27,0.82,0.01,0,36,0.76,0.01,0,64,0.71,0.01,0,123,0.65,0.01,0,65,0.6,0.01,0,48,0.55,0.01,0,100,0.5,0.01,0,87,0.46,0.01,0,192,0.41,0.01,0,290,0.37,0.01,0,315,0.32,0.01,0,197,0.28,0.01,0,100,0.24,0.02,6,92,0.22,0.06,11,376,0.2,0.21,0,190,0.2,0.6,101,251,0.2,1.39,341,523,0.2,2.67,260,237,0.2,4.45,0,74,0.21,6.58,50,149,0.22,9.12,0,0,0.28,11.58,0,0,0.33,14.09,0,0,0.38,16.4,0,0,,18.9,0,0,,21.4,0,0,,0.01,0.0,0.0,0.33,23.9,0.0,0.0,
