time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,close,13.00,13.00,13.00,13.00,13.50,13.50,13.50,13.50,14.00,14.00,14.00,14.00,14.50,14.50,14.50,14.50,15.00,15.00,15.00,15.00,15.50,15.50,15.50,15.50,16.00,16.00,16.00,16.00,16.50,16.50,16.50,16.50,17.00,17.00,17.00,17.00,17.50,17.50,17.50,17.50,18.00,18.00,18.00,18.00,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,13.00,13.00,13.00,13.00,13.50,13.50,13.50,13.50,14.00,14.00,14.00,14.00,14.50,14.50,14.50,14.50,15.00,15.00,15.00,15.00,15.50,15.50,15.50,15.50,16.00,16.00,16.00,16.00,16.50,16.50,16.50,16.50,17.00,17.00,17.00,17.00,17.50,17.50,17.50,17.50,18.00,18.00,18.00,18.00,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-04-04 16:00:00,20.85,8.31,0,0,0.69,7.83,0,0,0.65,7.37,0,0,0.63,6.91,0,0,0.61,6.47,0,0,0.59,6.04,0,0,0.57,5.62,0,0,0.56,5.22,0,0,0.55,4.84,0,0,0.54,4.48,0,0,0.54,4.13,0,0,0.53,3.8,0,0,0.52,3.49,0,0,0.52,3.2,0,0,0.52,2.93,0,0,0.52,2.44,1,1,0.51,2.02,36,17,0.51,1.65,15,15,0.51,1.35,30,34,0.51,1.09,50,140,0.5,0.88,0,0,0.5,0.71,9,9,0.5,0.57,0,0,0.5,0.45,0,0,0.5,0.36,4,12,0.5,0.09,4,4,0.51,0.12,0,0,0.5,0.16,0,0,0.5,0.22,0,0,0.5,0.27,0,52,0.5,0.34,0,0,0.49,0.44,1,29,0.49,0.54,0,0,0.49,0.66,0,7,0.49,0.8,0,4,0.49,0.96,2,2,0.49,1.12,0,0,0.49,1.32,27,16,0.49,1.52,152,152,0.49,1.75,45,45,0.49,2.25,15,15,0.48,2.85,0,0,0.49,3.54,0,0,0.49,4.26,0,0,0.5,5.08,0,0,0.52,5.9,0,0,0.52,6.76,0,0,0.53,7.61,0,0,0.53,8.51,0,0,0.54,9.47,0,0,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-06 16:00:00,22.45,9.56,0,0,,9.13,0,0,0.47,8.62,0,0,0.41,8.19,0,0,0.48,7.78,0,0,0.51,7.33,0,0,0.51,6.88,0,0,0.5,6.45,0,0,0.49,6.03,0,0,0.49,5.63,0,0,0.49,5.22,0,0,0.48,4.84,0,0,0.48,4.52,0,0,0.49,4.19,0,0,0.49,3.89,0,0,0.49,3.37,1,0,0.51,2.88,0,17,0.51,2.48,0,15,0.52,2.11,0,34,0.53,1.81,2,142,0.53,1.51,0,0,0.53,1.26,0,9,0.53,1.04,60,60,0.53,0.86,42,42,0.53,0.71,1,12,0.53,0.06,0,4,0.53,0.08,0,0,0.52,0.11,0,0,0.53,0.15,0,0,0.53,0.2,0,52,0.53,0.25,0,0,0.52,0.31,0,29,0.52,0.39,0,0,0.52,0.48,0,7,0.52,0.58,0,4,0.52,0.7,0,2,0.52,0.84,0,0,0.52,0.98,0,16,0.51,1.15,0,152,0.51,1.32,100,140,0.51,1.74,30,45,0.51,2.24,22,22,0.51,2.83,0,0,0.52,3.53,0,0,0.54,4.21,0,0,0.55,4.91,0,0,0.55,5.7,0,0,0.56,6.53,0,0,0.57,7.38,0,0,0.58,8.26,0,0,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-11 16:00:00,21.8,9.0,0,0,0.54,8.52,0,0,0.52,8.1,0,0,0.56,7.63,0,0,0.54,7.09,0,0,0.47,6.69,0,0,0.5,6.22,0,0,0.48,5.79,0,0,0.47,5.37,0,0,0.47,5.1,0,0,0.51,4.66,0,0,0.49,4.36,0,0,0.5,4.04,0,0,0.51,3.73,0,0,0.51,3.4,0,0,0.5,2.92,0,0,0.51,2.49,5,19,0.52,2.11,0,15,0.53,1.79,14,34,0.54,1.48,0,142,0.53,1.22,0,0,0.53,1.0,0,9,0.53,0.82,0,60,0.53,0.66,0,42,0.53,0.54,0,12,0.53,0.07,0,4,0.53,0.09,0,0,0.52,0.12,4,4,0.52,0.16,0,0,0.52,0.21,30,82,0.52,0.27,0,0,0.52,0.35,0,29,0.52,0.44,0,0,0.52,0.54,0,7,0.52,0.65,0,4,0.52,0.79,76,65,0.52,0.93,0,0,0.52,1.1,0,16,0.51,1.28,0,152,0.52,1.48,0,140,0.51,1.94,0,45,0.51,2.51,1,23,0.53,3.14,0,0,0.53,3.83,0,0,0.54,4.57,0,0,0.55,5.33,0,0,0.56,6.15,4,4,0.57,7.0,0,0,0.58,7.87,0,0,0.59,8.79,0,0,0.61,0.42,0.0,0.0,0.52,9.72,0.0,0.0,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-12 16:00:00,23.05,10.14,0,0,,9.66,0,0,,9.22,0,0,0.46,8.76,0,0,0.48,8.25,0,0,0.44,7.87,0,0,0.51,7.38,0,0,0.48,6.87,0,0,0.44,6.44,0,0,0.45,6.03,0,0,0.46,5.63,0,0,0.46,5.27,0,0,0.47,4.93,0,0,0.48,4.58,0,0,0.49,4.25,0,0,0.49,3.64,0,0,0.49,3.12,2,17,0.5,2.68,0,15,0.51,2.28,0,34,0.52,1.97,177,209,0.53,1.64,4,4,0.53,1.36,0,9,0.52,1.12,83,93,0.52,0.93,0,42,0.52,0.76,0,12,0.52,0.04,0,4,0.53,0.06,0,0,0.53,0.08,0,4,0.53,0.1,0,0,0.52,0.14,0,82,0.52,0.18,0,0,0.52,0.23,0,29,0.52,0.28,0,0,0.51,0.36,0,7,0.51,0.44,0,4,0.51,0.55,0,65,0.51,0.66,15,15,0.51,0.79,0,16,0.51,0.93,50,202,0.51,1.1,0,140,0.51,1.46,0,45,0.51,1.91,0,23,0.51,2.47,30,30,0.52,3.08,0,0,0.53,3.77,0,0,0.54,4.46,0,0,0.54,5.21,0,4,0.55,6.01,0,0,0.56,6.83,0,0,0.56,7.7,0,0,0.58,0.62,0.0,0.0,0.52,8.6,0.0,0.0,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-13 16:00:00,22.3,9.53,0,0,0.6,9.05,0,0,0.58,8.57,0,0,0.56,8.14,0,0,0.58,7.63,0,0,0.53,7.18,0,0,0.52,6.75,0,0,0.52,6.32,0,0,0.52,5.85,0,0,0.49,5.49,0,0,0.51,5.09,0,0,0.5,4.72,0,0,0.5,4.34,0,0,0.49,3.95,0,0,0.47,3.68,0,0,0.49,3.13,0,0,0.49,2.64,6,23,0.5,2.21,0,15,0.5,1.82,90,124,0.5,1.49,4,209,0.5,1.21,19,15,0.5,0.98,0,9,0.5,0.78,0,93,0.49,0.63,0,42,0.49,0.5,0,12,0.49,0.04,0,4,0.51,0.05,0,0,0.49,0.07,0,4,0.49,0.1,0,0,0.49,0.14,0,82,0.49,0.18,0,0,0.49,0.23,0,29,0.49,0.29,0,0,0.48,0.37,0,7,0.48,0.47,0,4,0.48,0.57,0,65,0.48,0.7,0,15,0.48,0.83,0,16,0.48,1.0,0,202,0.48,1.16,0,140,0.48,1.57,0,45,0.48,2.04,173,175,0.47,2.59,0,30,0.47,3.26,4,4,0.49,3.97,0,0,0.49,4.78,0,0,0.51,5.61,0,4,0.53,6.44,0,0,0.54,7.32,0,0,0.55,8.22,0,0,0.56,0.4,0.0,0.0,0.49,9.16,0.0,0.0,0.58,0.3,0.0,0.0,0.49,10.09,0.0,0.0,0.59,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-14 16:00:00,23.9,11.0,0,0,,10.51,0,0,,10.03,0,0,,9.56,0,0,0.43,9.08,0,0,0.44,8.62,0,0,0.46,8.16,0,0,0.47,7.66,0,0,0.43,7.24,0,0,0.46,6.79,0,0,0.45,6.37,0,0,0.46,5.97,0,0,0.47,5.56,0,0,0.46,5.18,0,0,0.46,4.83,0,0,0.47,4.18,0,0,0.48,3.6,6,17,0.49,3.07,30,31,0.49,2.62,4,128,0.5,2.26,2,211,0.51,1.94,81,81,0.52,1.64,0,9,0.52,1.37,0,93,0.52,1.13,0,42,0.52,0.93,1,13,0.52,0.03,0,4,0.54,0.04,0,0,0.53,0.05,0,4,0.52,0.07,0,0,0.52,0.1,0,82,0.52,0.13,0,0,0.52,0.17,0,29,0.52,0.22,0,0,0.52,0.28,0,7,0.52,0.36,0,4,0.52,0.41,0,65,0.51,0.51,0,15,0.51,0.61,0,16,0.5,0.74,25,202,0.51,0.87,0,140,0.5,1.2,15,60,0.51,1.6,0,175,0.51,2.08,26,56,0.51,2.64,0,4,0.52,3.26,0,0,0.53,3.91,0,0,0.53,4.61,0,4,0.54,5.36,0,0,0.54,6.16,0,0,0.55,6.99,0,0,0.56,0.77,36.0,36.0,0.52,7.86,0.0,0.0,0.57,0.63,26.0,26.0,0.52,8.76,0.0,0.0,0.58,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17 16:00:00,24.65,12.0,0,0,0.82,11.52,0,0,0.79,11.03,0,0,0.76,10.56,0,0,0.73,10.08,0,0,0.71,9.61,0,0,0.68,9.15,0,0,0.67,8.69,0,0,0.65,8.23,0,0,0.63,7.79,0,0,0.61,7.35,0,0,0.6,6.93,0,0,0.59,6.51,0,0,0.58,6.11,0,0,0.57,5.73,0,0,0.56,5.0,0,0,0.55,4.35,0,17,0.55,3.68,0,31,0.53,3.18,14,128,0.53,2.74,2,211,0.53,2.36,36,117,0.54,1.99,0,9,0.54,1.68,0,93,0.54,1.4,0,42,0.53,1.17,1,14,0.53,0.02,0,4,0.54,0.03,0,0,0.54,0.04,0,4,0.53,0.06,0,0,0.53,0.08,0,82,0.53,0.11,0,0,0.53,0.14,0,29,0.53,0.18,0,0,0.53,0.24,0,7,0.53,0.3,0,4,0.53,0.37,0,65,0.53,0.44,0,15,0.52,0.53,0,16,0.52,0.63,4,202,0.52,0.75,0,140,0.52,1.03,0,60,0.52,1.37,3,172,0.52,1.77,0,56,0.51,2.24,0,4,0.51,2.8,0,0,0.52,3.43,0,0,0.53,4.09,0,4,0.53,4.82,0,0,0.54,5.58,0,0,0.54,6.39,0,0,0.55,0.97,0.0,36.0,0.53,7.23,0.0,0.0,0.56,0.81,1.0,27.0,0.53,8.09,0.0,0.0,0.57,0.67,0.0,0.0,0.53,8.98,0.0,0.0,0.58,,,,,,,,,,,,,,,,
2023-04-18 16:00:00,23.7,10.9,0,0,0.64,10.42,0,0,0.62,9.94,0,0,0.6,9.46,0,0,0.59,8.97,0,0,0.56,8.49,0,0,0.54,8.03,0,0,0.53,7.55,0,0,0.51,7.15,0,0,0.53,6.7,0,0,0.51,6.26,0,0,0.5,5.88,0,0,0.51,5.47,0,0,0.5,5.09,0,0,0.5,4.72,0,0,0.5,4.05,0,0,0.49,3.44,0,17,0.49,2.93,4,31,0.5,2.5,0,128,0.51,2.14,6,213,0.52,1.8,0,117,0.52,1.49,0,9,0.52,1.23,0,93,0.52,1.01,0,42,0.52,0.82,0,14,0.51,0.02,0,4,0.51,0.03,0,0,0.51,0.05,0,4,0.52,0.07,0,0,0.52,0.09,0,82,0.51,0.12,0,0,0.51,0.16,0,29,0.51,0.21,0,0,0.51,0.27,0,7,0.51,0.33,0,4,0.51,0.4,0,65,0.5,0.5,0,15,0.5,0.6,4,20,0.5,0.73,0,202,0.5,0.86,2,140,0.5,1.19,0,60,0.5,1.58,0,172,0.5,2.03,1,56,0.5,2.62,4,8,0.51,3.25,0,0,0.52,3.92,0,0,0.52,4.66,0,4,0.53,5.44,0,0,0.54,6.26,0,0,0.55,7.11,0,0,0.56,0.67,0.0,36.0,0.51,7.98,0.0,0.0,0.57,0.54,0.0,27.0,0.51,8.9,0.0,0.0,0.59,0.44,0.0,0.0,0.51,9.81,0.0,0.0,0.6,0.34,1.0,1.0,0.51,10.78,0.0,0.0,0.63,,,,,,,,
