time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,close,15.50,15.50,15.50,15.50,16.00,16.00,16.00,16.00,16.50,16.50,16.50,16.50,17.00,17.00,17.00,17.00,17.50,17.50,17.50,17.50,18.00,18.00,18.00,18.00,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,15.50,15.50,15.50,15.50,16.00,16.00,16.00,16.00,16.50,16.50,16.50,16.50,17.00,17.00,17.00,17.00,17.50,17.50,17.50,17.50,18.00,18.00,18.00,18.00,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,14.50,14.50,14.50,14.50,14.50,14.50,14.50,14.50,14.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00,13.50,13.50,13.50,13.50,13.50,13.50,13.50,13.50,13.00,13.00,13.00,13.00,13.00,13.00,13.00,13.00,12.50,12.50,12.50,12.50,12.50,12.50,12.50,12.50,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-07-05 16:00:00,20.25,5.28,0,0,0.45,4.87,0,0,0.45,4.49,0,0,0.45,4.13,0,0,0.45,3.78,0,0,0.45,3.44,0,0,0.45,3.13,0,0,0.45,2.8,0,5,0.44,2.53,0,0,0.44,2.29,0,0,0.44,1.88,0,0,0.45,1.52,0,2,0.45,1.2,0,0,0.45,0.94,0,0,0.45,0.73,0,1,0.45,0.57,0,0,0.45,0.43,0,0,0.45,0.33,0,0,0.45,0.25,0,8,0.45,0.19,4,8,0.45,0.29,0,0,0.44,0.38,0,0,0.44,0.48,0,0,0.44,0.61,0,12,0.44,0.74,0,1,0.44,0.91,0,3,0.44,1.08,0,0,0.43,1.28,6,4,0.43,1.5,0,0,0.43,1.74,0,1,0.43,2.31,0,0,0.44,2.98,0,0,0.45,3.71,0,0,0.46,4.5,0,0,0.47,5.32,0,0,0.48,6.18,0,0,0.48,7.06,0,0,0.49,7.96,0,0,0.49,8.89,0,0,0.5,9.82,0,0,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-07 16:00:00,19.7,4.68,0,0,0.4,4.26,0,0,0.4,3.96,0,0,0.43,3.55,0,0,0.41,3.25,0,0,0.42,2.94,0,0,0.43,2.65,0,0,0.43,2.39,0,0,0.43,2.14,0,0,0.43,1.92,0,0,0.43,1.57,0,0,0.45,1.24,0,2,0.45,0.96,0,0,0.45,0.74,0,0,0.44,0.57,0,1,0.45,0.43,0,0,0.44,0.32,0,0,0.44,0.24,0,0,0.44,0.18,0,8,0.44,0.13,0,18,0.44,0.35,0,0,0.44,0.44,0,0,0.43,0.56,0,0,0.43,0.69,0,12,0.43,0.85,0,3,0.43,1.03,0,3,0.43,1.24,0,30,0.43,1.48,4,4,0.44,1.74,0,0,0.44,2.02,1,0,0.44,2.66,0,0,0.46,3.35,0,0,0.46,4.1,0,0,0.47,4.92,0,0,0.48,5.78,0,0,0.49,6.69,0,0,0.51,7.62,0,0,0.53,8.56,0,0,0.55,9.55,0,0,0.58,10.48,0,0,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-10 16:00:00,19.64,4.7,0,0,0.44,4.34,0,0,0.46,3.95,0,0,0.45,3.55,0,0,0.43,3.24,0,0,0.44,2.93,0,0,0.44,2.63,0,0,0.44,2.36,0,0,0.44,2.13,0,0,0.44,1.91,34,34,0.45,1.53,0,0,0.45,1.19,15,15,0.45,0.92,0,0,0.45,0.7,0,0,0.44,0.53,0,1,0.44,0.4,0,0,0.44,0.3,0,0,0.44,0.22,0,0,0.44,0.16,0,8,0.44,0.12,0,18,0.44,0.34,0,0,0.44,0.43,0,0,0.43,0.55,0,0,0.43,0.69,0,12,0.43,0.85,0,3,0.43,1.02,0,3,0.43,1.22,0,30,0.43,1.45,0,4,0.43,1.72,0,0,0.44,1.98,0,0,0.43,2.63,29,29,0.45,3.33,0,0,0.45,4.13,0,0,0.47,4.95,0,0,0.48,5.78,0,0,0.48,6.68,0,0,0.5,7.58,0,0,0.5,8.51,0,0,0.51,9.46,0,0,0.51,10.4,0,0,0.5,5.12,0.0,0.0,0.45,0.26,0.0,0.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-14 16:00:00,20.15,5.17,0,0,0.46,4.75,0,0,0.46,4.4,0,0,0.47,3.9,0,0,0.42,3.56,0,0,0.43,3.21,0,0,0.43,2.9,0,0,0.43,2.59,0,0,0.42,2.35,0,0,0.43,2.11,0,34,0.43,1.68,0,0,0.44,1.31,15,30,0.44,1.01,15,15,0.43,0.76,23,23,0.43,0.58,13,13,0.43,0.43,0,0,0.43,0.32,0,0,0.43,0.23,0,6,0.43,0.17,0,8,0.43,0.13,8,28,0.43,0.24,0,0,0.42,0.31,1,1,0.42,0.41,0,0,0.42,0.53,0,16,0.42,0.65,0,4,0.42,0.81,0,3,0.42,0.99,0,31,0.42,1.18,0,4,0.42,1.4,0,4,0.42,1.65,0,4,0.42,2.23,0,29,0.42,2.93,0,0,0.44,3.67,0,0,0.45,4.49,0,0,0.46,5.33,0,0,0.47,6.2,0,0,0.48,7.1,0,0,0.49,8.01,0,0,0.49,8.94,0,0,0.49,9.9,0,0,0.49,5.63,0.0,0.0,0.49,0.18,0.0,0.0,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-18 16:00:00,19.62,4.54,0,0,0.4,4.13,0,0,0.4,3.74,0,0,0.4,3.34,0,0,0.39,3.0,0,0,0.39,2.69,3,3,0.4,2.41,0,0,0.4,2.16,0,0,0.41,1.91,0,0,0.41,1.7,0,34,0.42,1.36,0,0,0.43,1.04,0,30,0.43,0.78,38,25,0.43,0.58,0,23,0.43,0.43,0,13,0.43,0.31,0,0,0.43,0.22,0,0,0.42,0.16,0,6,0.43,0.11,0,8,0.42,0.08,15,43,0.43,0.27,0,0,0.42,0.36,0,1,0.42,0.47,1,1,0.42,0.6,4,20,0.42,0.75,0,4,0.42,0.92,9,12,0.42,1.13,0,31,0.42,1.36,0,4,0.42,1.62,0,4,0.43,1.91,0,4,0.43,2.56,0,29,0.44,3.26,0,0,0.45,4.04,0,0,0.46,4.87,0,0,0.47,5.76,0,0,0.48,6.69,0,0,0.51,7.64,0,0,0.53,8.58,0,0,0.55,9.54,0,0,0.56,10.5,0,0,0.58,4.97,0.0,0.0,0.4,0.2,0.0,0.0,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-20 16:00:00,19.26,4.34,0,0,0.46,3.97,0,0,0.46,3.5,0,0,0.42,3.16,0,0,0.43,2.83,0,0,0.43,2.5,0,3,0.42,2.22,0,0,0.42,1.98,0,0,0.43,1.74,0,0,0.42,1.54,0,34,0.43,1.17,0,0,0.43,0.87,8,30,0.42,0.64,8,18,0.42,0.47,0,23,0.42,0.33,0,13,0.42,0.24,0,0,0.42,0.17,0,0,0.42,0.12,0,6,0.42,0.08,0,8,0.42,0.06,0,43,0.42,0.3,0,0,0.42,0.39,0,1,0.41,0.51,0,1,0.41,0.65,0,22,0.41,0.81,0,4,0.41,0.99,0,12,0.41,1.2,0,31,0.41,1.43,1,5,0.41,1.71,0,0,0.41,2.01,0,4,0.42,2.69,0,29,0.43,3.42,0,0,0.43,4.23,0,0,0.44,5.08,0,0,0.45,5.96,0,0,0.45,6.84,0,0,0.44,7.79,0,0,0.45,8.74,0,0,,9.74,0,0,,10.74,0,0,,4.76,0.0,0.0,0.47,0.22,30.0,30.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24 16:00:00,18.48,3.53,0,0,0.4,3.15,0,0,0.4,2.8,0,0,0.4,2.46,0,0,0.4,2.16,0,0,0.4,1.91,0,4,0.41,1.68,6,0,0.41,1.48,0,0,0.42,1.3,0,0,0.42,1.13,0,34,0.43,0.82,0,0,0.42,0.59,0,30,0.42,0.42,11,29,0.42,0.29,0,38,0.42,0.2,0,28,0.42,0.14,8,8,0.42,0.1,0,0,0.42,0.07,0,6,0.43,0.05,0,8,0.43,0.03,0,43,0.42,0.38,1,1,0.41,0.51,0,0,0.41,0.65,4,5,0.41,0.82,0,22,0.41,1.02,0,4,0.41,1.26,0,12,0.41,1.53,0,31,0.42,1.82,0,5,0.42,2.15,1,1,0.43,2.48,0,4,0.43,3.21,0,29,0.44,4.02,0,0,0.45,4.89,0,0,0.47,5.8,0,0,0.49,6.7,0,0,0.49,7.67,0,0,0.52,8.59,0,0,0.51,9.58,0,0,0.54,10.55,0,0,0.55,11.55,0,0,0.58,3.93,0.0,0.0,0.41,0.29,0.0,32.0,0.41,4.36,0.0,0.0,0.41,0.21,0.0,0.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-25 16:00:00,18.92,3.91,0,0,0.41,3.52,0,0,0.41,3.18,0,0,0.42,2.8,0,0,0.41,2.47,0,0,0.4,2.19,0,4,0.41,1.92,0,0,0.41,1.7,0,0,0.42,1.5,0,0,0.42,1.3,23,39,0.42,0.95,11,11,0.42,0.69,36,53,0.42,0.49,22,37,0.41,0.35,15,45,0.42,0.24,0,28,0.41,0.17,0,8,0.42,0.11,0,0,0.41,0.08,0,6,0.42,0.05,0,8,0.41,0.04,0,43,0.42,0.3,0,1,0.4,0.4,155,155,0.4,0.53,15,20,0.4,0.68,16,38,0.4,0.85,15,15,0.4,1.04,10,21,0.4,1.27,0,31,0.4,1.53,0,5,0.4,1.82,0,1,0.41,2.16,0,4,0.42,2.86,0,29,0.42,3.62,0,0,0.43,4.45,0,0,0.44,5.36,0,0,0.46,6.23,0,0,0.45,7.17,0,0,0.46,8.12,0,0,0.46,9.08,0,0,,10.08,0,0,,11.08,0,0,,4.37,0.0,0.0,0.44,0.22,10.0,42.0,0.4,4.81,0.0,0.0,0.45,0.16,0.0,0.0,0.41,5.26,0.0,0.0,0.46,0.1,0.0,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
