time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,close,17.50,17.50,17.50,17.50,18.00,18.00,18.00,18.00,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,31.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,17.50,17.50,17.50,17.50,18.00,18.00,18.00,18.00,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,31.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,17.00,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,15.50,15.50,15.50,15.50,15.50,15.50,15.50,15.50,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,14.50,14.50,14.50,14.50,14.50,14.50,14.50,14.50
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-10-31 16:00:00,23.3,6.43,0,0,0.47,6.01,0,0,0.47,5.65,0,0,0.48,5.26,0,0,0.47,4.85,0,0,0.46,4.5,0,0,0.46,3.81,0,0,0.45,3.22,0,0,0.45,2.71,0,0,0.45,2.25,0,0,0.45,1.87,0,0,0.45,1.53,0,0,0.45,1.25,0,0,0.45,1.01,0,0,0.45,0.81,0,0,0.45,0.65,0,0,0.45,0.51,0,0,0.44,0.41,0,0,0.44,0.32,0,0,0.44,0.31,0,0,0.44,0.38,6,6,0.44,0.46,4,4,0.43,0.57,0,0,0.44,0.69,0,0,0.43,0.83,0,0,0.44,1.14,0,0,0.43,1.55,0,0,0.43,2.01,2,2,0.43,2.56,0,0,0.43,3.19,0,0,0.44,3.88,0,0,0.44,4.59,0,0,0.44,5.38,0,0,0.44,6.22,0,0,0.45,7.08,0,0,0.45,7.97,0,0,0.46,8.88,0,0,0.46,9.84,0,0,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-01 16:00:00,24.0,7.05,0,0,0.47,6.63,0,0,0.47,6.19,0,0,0.46,5.78,0,0,0.45,5.39,0,0,0.45,5.0,0,0,0.45,4.31,0,0,0.45,3.67,0,0,0.44,3.1,0,0,0.44,2.6,0,0,0.44,2.19,9,9,0.45,1.79,0,0,0.44,1.49,52,50,0.45,1.21,0,0,0.44,0.98,0,0,0.44,0.79,0,0,0.44,0.63,0,0,0.44,0.51,0,0,0.44,0.4,0,0,0.44,0.24,0,0,0.44,0.3,0,6,0.44,0.38,1,5,0.44,0.47,0,0,0.44,0.57,0,0,0.44,0.69,10,10,0.44,0.97,0,0,0.43,1.31,0,0,0.43,1.73,0,2,0.43,2.22,0,0,0.43,2.81,0,0,0.44,3.44,0,0,0.44,4.16,0,0,0.44,4.91,0,0,0.45,5.71,0,0,0.45,6.54,0,0,0.46,7.41,0,0,0.46,8.31,0,0,0.47,9.23,0,0,0.48,7.5,0.0,0.0,0.48,0.18,0.0,0.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-02 16:00:00,23.85,6.76,0,0,0.39,6.33,0,0,0.39,5.92,0,0,0.4,5.5,0,0,0.4,5.1,0,0,0.4,4.79,0,0,0.42,4.06,0,0,0.41,3.43,0,0,0.42,2.88,0,0,0.42,2.38,0,0,0.42,2.0,69,69,0.43,1.65,0,0,0.43,1.36,0,50,0.43,1.12,60,53,0.44,0.9,0,0,0.44,0.72,0,0,0.44,0.57,0,0,0.43,0.45,0,0,0.43,0.35,0,0,0.43,0.23,0,0,0.43,0.29,0,6,0.43,0.37,0,5,0.43,0.47,2,2,0.43,0.57,0,0,0.43,0.7,0,10,0.43,0.98,0,0,0.43,1.35,0,0,0.43,1.81,0,2,0.44,2.32,0,0,0.44,2.91,12,12,0.44,3.57,0,0,0.45,4.27,0,0,0.45,5.04,0,0,0.46,5.86,0,0,0.47,6.72,0,0,0.48,7.6,0,0,0.49,8.54,0,0,0.51,9.47,0,0,0.52,7.21,0.0,0.0,0.38,0.17,0.0,0.0,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-03 16:00:00,24.5,7.45,0,0,0.44,7.0,0,0,0.43,6.57,0,0,0.43,6.15,0,0,0.43,5.73,0,0,0.42,5.28,0,0,0.41,4.59,0,0,0.42,3.9,0,0,0.42,3.3,0,0,0.42,2.77,0,0,0.42,2.3,1,69,0.42,1.91,0,0,0.42,1.58,0,50,0.43,1.3,15,68,0.43,1.06,0,0,0.43,0.85,0,0,0.43,0.68,0,0,0.43,0.54,0,0,0.43,0.42,4,4,0.43,0.17,0,0,0.43,0.22,0,6,0.43,0.29,4,9,0.43,0.36,0,2,0.43,0.45,0,0,0.43,0.56,0,10,0.43,0.8,0,0,0.43,1.11,0,0,0.42,1.49,0,2,0.42,1.95,0,0,0.42,2.49,0,12,0.43,3.09,0,0,0.43,3.79,0,0,0.44,4.5,0,0,0.44,5.29,0,0,0.45,6.11,0,0,0.45,6.97,0,0,0.46,7.94,0,0,0.49,8.85,0,0,0.5,7.9,0.0,0.0,0.44,0.13,0.0,0.0,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-06 16:00:00,24.35,7.3,0,0,0.44,6.8,0,0,0.41,6.36,0,0,0.41,5.95,0,0,0.41,5.49,0,0,0.39,5.1,0,0,0.4,4.45,0,0,0.42,3.77,0,0,0.42,3.16,0,0,0.42,2.63,0,0,0.42,2.16,0,69,0.42,1.77,0,0,0.42,1.45,0,50,0.42,1.19,58,99,0.42,0.95,41,41,0.42,0.76,0,0,0.42,0.6,0,0,0.42,0.47,0,0,0.42,0.37,0,4,0.42,0.16,0,0,0.42,0.21,0,6,0.42,0.28,0,9,0.42,0.35,12,14,0.42,0.44,0,0,0.42,0.54,0,10,0.42,0.8,1,1,0.42,1.12,0,0,0.42,1.5,2,4,0.42,1.96,0,0,0.42,2.5,0,12,0.42,3.13,0,0,0.43,3.8,0,0,0.43,4.54,0,0,0.43,5.33,0,0,0.44,6.17,0,0,0.44,7.04,0,0,0.45,7.93,0,0,0.45,8.95,0,0,0.49,7.75,0.0,0.0,0.44,0.12,0.0,0.0,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-07 16:00:00,24.0,6.81,0,0,0.33,6.43,0,0,0.39,6.04,0,0,0.41,5.6,0,0,0.4,5.13,0,0,0.38,4.75,0,0,0.38,4.05,0,0,0.39,3.4,0,0,0.4,2.83,0,0,0.4,2.34,0,0,0.4,1.92,0,69,0.41,1.57,0,0,0.41,1.26,79,37,0.41,1.05,18,115,0.42,0.84,0,41,0.42,0.66,0,0,0.42,0.52,0,0,0.42,0.4,0,0,0.42,0.31,0,4,0.42,0.18,0,0,0.42,0.23,0,6,0.42,0.3,0,9,0.42,0.38,0,14,0.42,0.48,0,0,0.42,0.59,0,10,0.42,0.87,0,1,0.42,1.22,0,0,0.42,1.65,0,4,0.43,2.14,0,0,0.43,2.72,0,12,0.43,3.37,0,0,0.44,4.09,0,0,0.44,4.85,0,0,0.45,5.67,0,0,0.46,6.53,0,0,0.47,7.38,0,0,0.47,8.3,0,0,0.48,9.27,0,0,0.5,7.33,0.0,0.0,0.38,0.13,0.0,0.0,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-08 16:00:00,23.9,6.95,0,0,0.48,6.45,0,0,0.45,6.09,0,0,0.47,5.68,0,0,0.46,5.18,0,0,0.43,4.8,0,0,0.43,4.12,0,0,0.43,3.48,0,0,0.43,2.89,110,110,0.43,2.39,110,110,0.43,1.96,1,69,0.43,1.61,0,0,0.43,1.3,0,37,0.43,1.03,0,115,0.43,0.82,2,43,0.43,0.64,0,0,0.42,0.5,0,0,0.42,0.39,0,0,0.42,0.3,0,4,0.42,0.19,0,0,0.42,0.24,0,6,0.42,0.32,0,9,0.43,0.4,1,15,0.42,0.5,0,0,0.42,0.61,3,13,0.42,0.86,0,1,0.42,1.19,0,0,0.41,1.61,100,100,0.41,2.11,100,100,0.42,2.67,0,12,0.41,3.31,0,0,0.41,4.07,0,0,0.43,4.83,0,0,0.43,5.65,0,0,0.44,6.51,0,0,0.44,7.4,0,0,0.45,8.26,0,0,0.44,9.18,0,0,0.43,7.38,0.0,0.0,0.48,0.14,0.0,0.0,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-09 16:00:00,23.4,6.4,0,0,0.44,5.89,0,0,0.4,5.43,0,0,0.38,5.05,0,0,0.4,4.74,0,0,0.42,4.36,0,0,0.42,3.63,0,0,0.41,3.01,0,0,0.41,2.47,0,110,0.41,2.01,0,110,0.41,1.6,201,200,0.41,1.32,0,0,0.42,1.05,0,37,0.42,0.82,15,115,0.41,0.64,0,43,0.42,0.49,0,0,0.41,0.38,0,0,0.41,0.29,0,0,0.41,0.22,0,4,0.41,0.2,0,0,0.41,0.27,0,6,0.42,0.34,0,9,0.41,0.44,5,20,0.42,0.54,0,0,0.41,0.65,0,13,0.41,0.95,1,2,0.41,1.31,0,0,0.41,1.77,0,100,0.41,2.32,10,110,0.41,2.91,0,12,0.41,3.61,0,0,0.42,4.35,0,0,0.42,5.16,0,0,0.42,6.0,0,0,0.43,6.95,0,0,0.46,7.86,0,0,0.46,8.75,0,0,0.46,9.7,0,0,0.47,6.88,0.0,0.0,0.46,0.15,0.0,0.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
