time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,close,14.50,14.50,14.50,14.50,15.00,15.00,15.00,15.00,15.50,15.50,15.50,15.50,16.00,16.00,16.00,16.00,16.50,16.50,16.50,16.50,17.00,17.00,17.00,17.00,17.50,17.50,17.50,17.50,18.00,18.00,18.00,18.00,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,14.50,14.50,14.50,14.50,15.00,15.00,15.00,15.00,15.50,15.50,15.50,15.50,16.00,16.00,16.00,16.00,16.50,16.50,16.50,16.50,17.00,17.00,17.00,17.00,17.50,17.50,17.50,17.50,18.00,18.00,18.00,18.00,18.50,18.50,18.50,18.50,19.00,19.00,19.00,19.00,19.50,19.50,19.50,19.50,20.00,20.00,20.00,20.00,21.00,21.00,21.00,21.00,22.00,22.00,22.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.00,24.00,25.00,25.00,25.00,25.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,27.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,13.50,13.50,13.50,13.50,13.50,13.50,13.50,13.50,13.00,13.00,13.00,13.00,13.00,13.00,13.00,13.00,12.50,12.50,12.50,12.50,12.50,12.50,12.50,12.50,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-05-31 16:00:00,18.48,4.21,0,0,0.18,3.75,0,0,0.18,3.32,0,0,0.18,2.92,0,0,0.18,2.55,0,0,0.18,2.21,0,0,0.18,1.91,0,0,0.18,1.63,0,0,0.18,1.39,0,0,0.18,1.17,0,0,0.18,0.98,0,0,0.18,0.82,0,0,0.18,0.56,0,0,0.18,0.38,0,0,0.18,0.25,0,0,0.18,0.16,0,0,0.18,0.1,0,0,0.18,0.06,0,0,0.18,0.04,0,0,0.18,0.14,0,0,0.18,0.21,0,0,0.18,0.3,0,0,0.18,0.41,0,0,0.18,0.55,0,0,0.18,0.72,0,0,0.18,0.92,0,0,0.18,1.15,0,0,0.18,1.41,0,0,0.18,1.71,0,0,0.18,2.03,0,0,0.18,2.37,0,0,0.18,3.14,0,0,0.18,3.98,0,0,0.18,4.88,0,0,0.18,5.82,0,0,0.18,6.78,0,0,0.18,7.75,0,0,0.18,8.73,0,0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-01 16:00:00,18.43,4.25,0,0,0.22,3.83,0,0,0.22,3.44,0,0,0.22,3.08,0,0,0.22,2.74,0,0,0.22,2.43,0,0,0.22,2.15,0,0,0.22,1.89,0,0,0.22,1.66,0,0,0.22,1.45,0,0,0.22,1.26,0,0,0.22,1.1,0,0,0.22,0.82,0,0,0.22,0.6,0,0,0.22,0.44,0,0,0.22,0.31,0,0,0.22,0.22,0,0,0.22,0.15,0,0,0.22,0.11,0,0,0.22,0.29,0,0,0.22,0.39,0,0,0.22,0.51,0,0,0.22,0.65,0,0,0.22,0.82,0,0,0.22,1.01,0,0,0.22,1.23,0,0,0.22,1.47,1,1,0.22,1.74,0,0,0.22,2.03,0,0,0.22,2.34,0,0,0.22,2.68,0,0,0.22,3.41,0,0,0.22,4.22,0,0,0.22,5.07,0,0,0.22,5.97,0,0,0.22,6.9,0,0,0.22,7.84,0,0,0.22,8.81,0,0,0.22,4.69,0.0,0.0,0.22,0.21,0.0,0.0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-02 16:00:00,19.19,5.01,0,0,0.22,4.57,0,0,0.22,4.15,0,0,0.22,3.76,0,0,0.22,3.4,0,0,0.22,3.05,0,0,0.22,2.73,0,0,0.22,2.44,0,0,0.22,2.16,0,0,0.22,1.92,0,0,0.22,1.68,0,0,0.22,1.49,0,0,0.22,1.14,0,0,0.22,0.86,0,0,0.22,0.64,0,0,0.22,0.47,0,0,0.22,0.34,0,0,0.22,0.24,0,0,0.22,0.17,0,0,0.22,0.18,0,0,0.22,0.25,0,0,0.22,0.34,0,0,0.22,0.45,0,0,0.22,0.58,0,0,0.22,0.72,0,0,0.22,0.9,0,0,0.22,1.1,0,1,0.22,1.32,0,0,0.22,1.57,0,0,0.22,1.84,0,0,0.22,2.14,0,0,0.22,2.8,0,0,0.22,3.54,0,0,0.22,4.35,0,0,0.22,5.2,0,0,0.22,6.1,0,0,0.22,7.03,0,0,0.22,7.98,0,0,0.22,5.46,0.0,0.0,0.22,0.13,0.0,0.0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06 16:00:00,19.31,5.09,0,0,0.21,4.64,0,0,0.21,4.22,0,0,0.21,3.81,0,0,0.21,3.43,0,0,0.21,3.08,0,0,0.21,2.75,0,0,0.21,2.44,0,0,0.21,2.16,0,0,0.21,1.91,0,0,0.21,1.67,0,0,0.21,1.46,0,0,0.21,1.11,0,0,0.21,0.82,0,0,0.21,0.6,0,0,0.21,0.43,0,0,0.21,0.31,0,0,0.21,0.22,0,0,0.21,0.15,0,0,0.21,0.14,0,0,0.21,0.2,0,0,0.21,0.28,0,0,0.21,0.38,0,0,0.21,0.49,0,0,0.21,0.64,0,0,0.21,0.8,0,0,0.21,0.99,0,1,0.21,1.21,0,0,0.21,1.45,0,0,0.21,1.71,0,0,0.21,2.01,0,0,0.21,2.66,0,0,0.21,3.4,0,0,0.21,4.21,0,0,0.21,5.07,0,0,0.21,5.97,0,0,0.21,6.91,0,0,0.21,7.86,0,0,0.21,5.55,0.0,0.0,0.2,0.1,0.0,0.0,0.21,0.1,0.0,0.0,0.21,8.83,0.0,0.0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-07 16:00:00,19.49,5.27,0,0,0.21,4.82,0,0,0.21,4.39,0,0,0.21,3.98,0,0,0.21,3.59,0,0,0.21,3.24,0,0,0.21,2.9,0,0,0.21,2.59,0,0,0.21,2.3,0,0,0.21,2.04,0,0,0.21,1.8,0,0,0.21,1.58,0,0,0.21,1.21,0,0,0.21,0.91,0,0,0.21,0.67,0,0,0.21,0.49,0,0,0.21,0.35,0,0,0.21,0.25,0,0,0.21,0.18,0,0,0.21,0.14,0,0,0.21,0.2,0,0,0.21,0.27,0,0,0.21,0.37,0,0,0.21,0.48,0,0,0.21,0.61,0,0,0.21,0.77,0,0,0.21,0.95,0,1,0.21,1.16,0,0,0.21,1.39,0,0,0.21,1.65,0,0,0.21,1.94,0,0,0.21,2.57,0,0,0.21,3.29,0,0,0.21,4.08,0,0,0.21,4.93,0,0,0.21,5.82,0,0,0.21,6.75,0,0,0.21,7.69,0,0,0.21,5.73,0.0,0.0,0.21,0.1,0.0,0.0,0.21,0.13,0.0,0.0,0.21,8.66,0.0,0.0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-08 16:00:00,19.55,5.32,0,0,0.21,4.87,0,0,0.21,4.44,0,0,0.21,4.02,0,0,0.21,3.63,0,0,0.21,3.27,0,0,0.21,2.93,0,0,0.21,2.61,0,0,0.21,2.33,0,0,0.21,2.05,0,0,0.21,1.82,0,0,0.21,1.59,0,0,0.21,1.21,0,0,0.21,0.91,0,0,0.21,0.67,0,0,0.21,0.49,0,0,0.21,0.35,0,0,0.21,0.25,0,0,0.21,0.17,0,0,0.21,0.13,0,0,0.21,0.19,0,0,0.21,0.26,0,0,0.21,0.35,0,0,0.21,0.45,0,0,0.21,0.59,0,0,0.21,0.74,0,0,0.21,0.92,0,1,0.21,1.13,0,0,0.21,1.35,0,0,0.21,1.61,0,0,0.21,1.89,0,0,0.21,2.52,0,0,0.21,3.23,0,0,0.21,4.02,0,0,0.21,4.87,0,0,0.21,5.76,0,0,0.21,6.69,0,0,0.21,7.63,0,0,0.21,5.79,0.0,0.0,0.21,0.09,0.0,0.0,0.21,0.12,0.0,0.0,0.21,8.6,0.0,0.0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-09 16:00:00,19.66,5.41,0,0,0.2,4.94,0,0,0.19,4.49,0,0,0.19,4.06,0,0,0.19,3.66,0,0,0.2,3.27,0,0,0.19,2.92,0,0,0.19,2.59,0,0,0.19,2.28,0,0,0.19,2.0,0,0,0.19,1.76,0,0,0.19,1.52,0,0,0.19,1.14,0,0,0.19,0.83,0,0,0.19,0.6,0,0,0.19,0.42,0,0,0.19,0.29,0,0,0.19,0.2,0,0,0.19,0.14,0,0,0.2,0.09,0,0,0.19,0.13,0,0,0.19,0.19,0,0,0.19,0.26,0,0,0.19,0.36,0,0,0.19,0.47,0,0,0.19,0.61,0,0,0.19,0.78,0,1,0.19,0.97,0,0,0.19,1.19,0,0,0.19,1.44,0,0,0.19,1.71,0,0,0.19,2.34,0,0,0.19,3.06,0,0,0.19,3.85,0,0,0.19,4.71,0,0,0.19,5.62,0,0,0.2,6.55,0,0,0.19,7.51,0,0,0.2,5.88,0.0,0.0,0.19,0.06,0.0,0.0,0.2,0.09,0.0,0.0,0.19,8.48,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-12 16:00:00,19.7,5.44,0,0,0.2,4.98,0,0,0.2,4.53,0,0,0.2,4.11,0,0,0.2,3.7,0,0,0.2,3.32,0,0,0.2,2.97,0,0,0.2,2.64,0,0,0.2,2.34,0,0,0.2,2.06,0,0,0.2,1.81,0,0,0.2,1.57,0,0,0.2,1.18,0,0,0.2,0.87,0,0,0.2,0.64,0,0,0.2,0.45,0,0,0.2,0.32,0,0,0.2,0.22,0,0,0.2,0.15,0,0,0.2,0.1,0,0,0.2,0.14,0,0,0.2,0.2,0,0,0.2,0.28,0,0,0.2,0.37,0,0,0.2,0.49,0,0,0.2,0.63,0,0,0.2,0.8,0,1,0.2,0.99,0,0,0.2,1.21,0,0,0.2,1.46,0,0,0.2,1.72,0,0,0.2,2.35,0,0,0.2,3.06,0,0,0.2,3.85,0,0,0.2,4.7,0,0,0.2,5.6,0,0,0.2,6.53,0,0,0.2,7.49,0,0,0.2,5.92,0.0,0.0,0.2,0.06,0.0,0.0,0.2,0.1,0.0,0.0,0.2,8.45,0.0,0.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
