time,close,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,C,C,C,C,P,P,P,P
time,close,1.90,1.90,1.90,1.90,1.95,1.95,1.95,1.95,2.00,2.00,2.00,2.00,2.10,2.10,2.10,2.10,2.20,2.20,2.20,2.20,2.30,2.30,2.30,2.30,2.40,2.40,2.40,2.40,2.50,2.50,2.50,2.50,2.60,2.60,2.60,2.60,2.70,2.70,2.70,2.70,2.80,2.80,2.80,2.80,2.90,2.90,2.90,2.90,3.00,3.00,3.00,3.00,3.10,3.10,3.10,3.10,3.20,3.20,3.20,3.20,3.30,3.30,3.30,3.30,3.40,3.40,3.40,3.40,3.50,3.50,3.50,3.50,3.60,3.60,3.60,3.60,3.70,3.70,3.70,3.70,3.80,3.80,3.80,3.80,3.90,3.90,3.90,3.90,4.00,4.00,4.00,4.00,4.10,4.10,4.10,4.10,4.20,4.20,4.20,4.20,1.90,1.90,1.90,1.90,1.95,1.95,1.95,1.95,2.00,2.00,2.00,2.00,2.10,2.10,2.10,2.10,2.20,2.20,2.20,2.20,2.30,2.30,2.30,2.30,2.40,2.40,2.40,2.40,2.50,2.50,2.50,2.50,2.60,2.60,2.60,2.60,2.70,2.70,2.70,2.70,2.80,2.80,2.80,2.80,2.90,2.90,2.90,2.90,3.00,3.00,3.00,3.00,3.10,3.10,3.10,3.10,3.20,3.20,3.20,3.20,3.30,3.30,3.30,3.30,3.40,3.40,3.40,3.40,3.50,3.50,3.50,3.50,3.60,3.60,3.60,3.60,3.70,3.70,3.70,3.70,3.80,3.80,3.80,3.80,3.90,3.90,3.90,3.90,4.00,4.00,4.00,4.00,4.10,4.10,4.10,4.10,4.20,4.20,4.20,4.20,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.80,1.70,1.70,1.70,1.70,1.75,1.75,1.75,1.75,1.70,1.70,1.70,1.70,1.75,1.75,1.75,1.75,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65
time,close,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol,settle,volume,oi,imp_vol
2023-06-30 16:00:00,3.08,1.182,0,0,,1.132,0,0,,1.082,0,0,,0.982,0,0,,0.882,0,0,,0.782,0,0,,0.683,0,0,0.46,0.583,0,0,0.4,0.483,0,0,0.34,0.383,0,0,0.26,0.283,0,0,0.18,0.185,0,0,0.19,0.098,0,0,0.17,0.043,0,0,0.17,0.02,0,0,0.17,0.011,0,0,0.17,0.006,0,0,0.17,0.003,0,0,0.17,0.002,0,0,0.18,0.001,20,20,0.18,0.001,0,0,0.2,0.001,0,0,0.21,0.001,0,0,0.23,0.001,0,0,0.24,0.001,0,0,0.26,0.001,0,0,0.29,0.001,0,0,0.27,0.001,0,0,0.26,0.001,0,0,0.22,0.001,0,0,0.19,0.002,0,0,0.18,0.004,0,0,0.17,0.01,0,0,0.17,0.024,0,0,0.17,0.047,0,0,0.17,0.08,0,0,0.16,0.129,30,30,0.16,0.193,52,52,0.15,0.271,52,52,0.14,0.358,0,0,,0.46,0,0,,0.566,0,0,0.18,0.666,0,0,0.21,0.766,0,0,0.24,0.866,0,0,0.26,0.966,0,0,0.29,1.065,0,0,,1.165,0,0,0.29,1.265,0,0,0.32,1.365,0,0,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-03 16:00:00,3.12,1.221,0,0,,1.171,0,0,,1.122,0,0,0.8,1.022,0,0,0.73,0.922,0,0,0.65,0.822,0,0,0.59,0.722,0,0,0.52,0.622,0,0,0.45,0.522,0,0,0.39,0.422,0,0,0.33,0.322,0,0,0.26,0.222,0,0,0.2,0.129,0,0,0.2,0.055,0,0,0.17,0.026,0,0,0.17,0.014,0,0,0.17,0.007,0,0,0.17,0.004,0,0,0.17,0.002,0,0,0.17,0.001,0,20,0.17,0.001,0,0,0.19,0.001,0,0,0.21,0.001,0,0,0.22,0.001,0,0,0.24,0.001,0,0,0.25,0.001,0,0,0.3,0.001,0,0,0.28,0.001,0,0,0.27,0.001,0,0,0.24,0.001,0,0,0.21,0.001,0,0,0.17,0.003,0,0,0.17,0.007,0,0,0.17,0.017,0,0,0.17,0.036,0,0,0.17,0.066,0,0,0.16,0.108,0,30,0.16,0.166,0,52,0.16,0.239,0,52,0.15,0.323,2,2,,0.415,0,0,,0.527,0,0,,0.627,0,0,,0.727,0,0,,0.827,0,0,0.24,0.927,0,0,0.26,1.027,0,0,0.29,1.127,0,0,0.31,1.227,0,0,0.34,1.327,0,0,0.36,0.001,0.0,0.0,0.27,1.426,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-04 16:00:00,3.1,1.201,0,0,,1.151,0,0,,1.101,0,0,,1.002,0,0,0.72,0.902,0,0,0.64,0.802,0,0,0.57,0.702,0,0,0.51,0.602,0,0,0.44,0.502,0,0,0.38,0.402,0,0,0.31,0.302,0,0,0.25,0.202,0,0,,0.112,0,0,0.19,0.051,0,0,0.18,0.027,0,0,0.18,0.015,0,0,0.18,0.008,0,0,0.18,0.004,0,0,0.18,0.002,0,0,0.18,0.001,0,20,0.18,0.001,0,0,0.2,0.001,0,0,0.21,0.001,0,0,0.23,0.001,0,0,0.24,0.001,0,0,0.26,0.001,0,0,0.3,0.001,0,0,0.28,0.001,0,0,0.27,0.001,0,0,0.23,0.001,0,0,0.2,0.002,0,0,0.19,0.004,0,0,0.18,0.01,0,0,0.18,0.023,10,10,0.18,0.044,0,0,0.18,0.075,0,0,0.17,0.122,30,60,0.17,0.183,0,52,0.16,0.257,0,52,0.16,0.342,0,2,,0.434,0,0,,0.547,0,0,0.18,0.647,0,0,0.21,0.747,0,0,0.24,0.847,0,0,0.26,0.947,0,0,0.29,1.047,0,0,0.31,1.147,0,0,0.34,1.247,0,0,0.36,1.347,0,0,0.38,0.001,0.0,0.0,0.27,1.447,0.0,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-05 16:00:00,3.01,1.111,0,0,,1.061,0,0,,1.011,0,0,,0.911,0,0,,0.811,0,0,,0.711,0,0,,0.611,0,0,,0.511,0,0,,0.412,0,0,0.37,0.312,0,0,0.3,0.212,0,0,0.22,0.119,0,0,0.2,0.055,0,0,0.19,0.03,62,62,0.19,0.017,0,0,0.19,0.01,0,0,0.19,0.005,0,0,0.19,0.003,37,37,0.19,0.002,0,0,0.2,0.001,0,20,0.2,0.001,0,0,0.22,0.001,0,0,0.23,0.001,0,0,0.25,0.001,0,0,0.27,0.001,0,0,0.28,0.001,0,0,0.28,0.001,0,0,0.26,0.001,0,0,0.25,0.001,0,0,0.21,0.001,0,0,0.18,0.004,0,0,0.19,0.01,0,0,0.19,0.023,0,0,0.19,0.042,1,11,0.18,0.075,0,0,0.18,0.12,3,3,0.18,0.18,0,60,0.18,0.251,0,52,0.17,0.334,0,52,,0.426,0,2,,0.538,0,0,0.2,0.638,0,0,0.23,0.738,0,0,0.26,0.838,0,0,0.28,0.938,0,0,0.31,1.038,0,0,0.33,1.137,0,0,,1.237,0,0,,1.337,0,0,0.35,1.437,0,0,0.38,0.001,0.0,0.0,0.3,1.537,0.0,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-07 16:00:00,2.85,0.951,0,0,0.91,0.901,0,0,0.86,0.851,0,0,0.82,0.751,0,0,0.73,0.651,0,0,0.65,0.551,0,0,0.57,0.451,0,0,0.49,0.351,0,0,0.41,0.251,0,0,0.33,0.155,0,0,0.26,0.068,0,0,0.2,0.036,0,50,0.2,0.021,0,10,0.2,0.012,0,62,0.2,0.006,0,10,0.2,0.004,0,0,0.21,0.002,0,0,0.21,0.001,0,37,0.21,0.001,0,0,0.23,0.001,0,20,0.24,0.001,0,0,0.26,0.001,0,0,0.28,0.001,0,0,0.29,0.001,0,0,0.31,0.001,0,0,0.32,0.001,0,0,0.24,0.001,0,0,0.23,0.001,0,0,0.21,0.003,0,0,0.21,0.007,0,0,0.2,0.016,0,0,0.2,0.034,0,0,0.2,0.062,0,0,0.2,0.1,0,12,0.19,0.155,0,0,0.19,0.222,0,3,0.18,0.301,0,60,0.16,0.389,0,52,,0.499,0,52,0.21,0.599,0,2,0.24,0.699,0,0,0.27,0.799,0,0,0.29,0.899,0,0,0.32,0.999,0,0,0.34,1.099,0,0,0.37,1.198,0,0,,1.298,0,0,,1.398,0,0,,1.498,0,0,,1.598,0,0,,0.001,0.0,0.0,0.34,1.698,0.0,0.0,,1.001,0.0,0.0,0.95,0.001,0.0,0.0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-10 16:00:00,2.61,0.736,0,0,0.23,0.687,0,0,0.23,0.638,0,0,0.22,0.542,0,0,0.22,0.448,0,0,0.22,0.36,0,0,0.22,0.286,30,30,0.23,0.213,60,60,0.22,0.152,0,0,0.22,0.104,0,0,0.22,0.069,0,0,0.22,0.045,3,53,0.22,0.028,0,10,0.22,0.017,0,62,0.22,0.01,10,10,0.22,0.006,0,0,0.22,0.003,0,0,0.22,0.002,0,37,0.23,0.001,0,0,0.23,0.001,0,20,0.24,0.001,0,0,0.26,0.001,0,0,0.28,0.001,0,0,0.29,0.001,0,0,0.31,0.001,0,0,0.32,0.001,0,0,0.25,0.001,0,0,0.23,0.002,0,0,0.24,0.004,0,0,0.22,0.009,0,0,0.22,0.02,0,0,0.22,0.04,0,0,0.22,0.069,0,0,0.22,0.108,0,12,0.22,0.162,0,0,0.21,0.23,0,3,0.22,0.31,0,60,0.22,0.395,0,52,0.22,0.49,0,52,,0.59,0,0,,0.69,0,0,,0.79,0,0,,0.89,0,0,,0.99,0,0,,1.09,0,0,,1.19,0,0,,1.29,0,0,,1.39,0,0,,1.49,0,0,,1.59,0,0,,0.001,0.0,0.0,0.34,1.69,0.0,0.0,,0.785,0.0,0.0,0.23,0.001,0.0,0.0,0.27,0.834,0.0,0.0,,0.001,0.0,0.0,0.29,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-11 16:00:00,2.6,0.725,0,0,,0.676,0,0,0.19,0.628,0,0,0.22,0.531,0,0,0.21,0.438,0,0,0.22,0.349,0,0,0.21,0.272,0,30,0.22,0.2,0,60,0.21,0.141,0,0,0.21,0.094,0,0,0.21,0.061,0,0,0.21,0.038,10,63,0.21,0.024,0,10,0.21,0.014,0,62,0.21,0.008,0,10,0.21,0.005,0,0,0.22,0.002,0,0,0.21,0.001,0,37,0.21,0.001,0,0,0.23,0.001,0,20,0.25,0.001,0,0,0.26,0.001,0,0,0.28,0.001,0,0,0.3,0.001,0,0,0.31,0.001,0,0,0.33,0.001,0,0,0.25,0.001,0,0,0.23,0.002,0,0,0.23,0.004,0,0,0.22,0.009,0,0,0.22,0.02,0,0,0.22,0.039,0,0,0.21,0.069,1,1,0.21,0.111,0,12,0.21,0.167,4,4,0.21,0.236,0,3,0.22,0.314,0,60,0.21,0.406,0,0,0.23,0.502,0,52,0.24,0.6,0,0,,0.7,0,0,,0.8,0,0,,0.9,0,0,,1.0,0,0,,1.1,0,0,,1.2,0,0,,1.3,0,0,,1.4,0,0,,1.5,0,0,,1.6,0,0,,0.001,0.0,0.0,0.34,1.7,0.0,0.0,,0.775,0.0,0.0,0.24,0.001,0.0,0.0,0.27,0.824,0.0,0.0,0.23,0.001,0.0,0.0,0.29,0.923,0.0,0.0,0.3,0.873,0.0,0.0,,0.001,0.0,0.0,0.33,0.001,0.0,0.0,0.31,,,,,,,,
2023-07-12 16:00:00,2.6,0.725,0,0,0.18,0.676,0,0,0.21,0.627,0,0,0.2,0.53,0,0,0.2,0.436,0,0,0.21,0.348,0,0,0.21,0.268,0,30,0.21,0.196,0,60,0.21,0.137,30,30,0.21,0.092,0,0,0.21,0.059,0,0,0.21,0.037,0,63,0.21,0.023,10,10,0.21,0.013,0,62,0.21,0.007,0,10,0.21,0.004,0,0,0.21,0.002,0,0,0.21,0.001,0,37,0.21,0.001,0,0,0.23,0.001,0,20,0.25,0.001,0,0,0.26,0.001,0,0,0.28,0.001,0,0,0.3,0.001,0,0,0.31,0.001,0,0,0.33,0.001,0,0,0.25,0.001,0,0,0.23,0.001,0,0,0.21,0.003,0,0,0.21,0.008,0,0,0.21,0.018,0,0,0.21,0.037,0,0,0.21,0.066,0,1,0.21,0.109,13,15,0.21,0.165,38,38,0.21,0.235,0,3,0.21,0.313,0,60,0.21,0.405,0,0,0.22,0.503,0,0,0.25,0.6,0,0,,0.7,0,0,,0.8,0,0,,0.9,0,0,,1.0,0,0,,1.1,0,0,,1.2,0,0,,1.3,0,0,,1.4,0,0,,1.5,0,0,,1.6,0,0,,0.001,0.0,0.0,0.34,1.7,0.0,0.0,,0.774,0.0,0.0,,0.001,0.0,0.0,0.27,0.824,0.0,0.0,0.25,0.001,0.0,0.0,0.29,0.922,0.0,0.0,,0.873,0.0,0.0,,0.001,0.0,0.0,0.33,0.001,0.0,0.0,0.31,,,,,,,,
