time,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,P,P,C,C,C,C,C,C,P,P,C,C,C,C,C,C
time,18000.00,18000.00,18500.00,18500.00,18750.00,18750.00,19000.00,19000.00,19500.00,19500.00,20000.00,20000.00,20300.00,20300.00,20500.00,20500.00,20600.00,20600.00,21000.00,21000.00,21500.00,21500.00,21600.00,21600.00,22000.00,22000.00,16000.00,16000.00,16050.00,16050.00,16100.00,16100.00,16250.00,16250.00,16400.00,16400.00,16500.00,16500.00,17000.00,17000.00,17200.00,17200.00,17250.00,17250.00,17500.00,17500.00,17600.00,17600.00,18000.00,18000.00,18250.00,18250.00,18350.00,18350.00,19000.00,19000.00,20000.00,20000.00,20300.00,20300.00,20500.00,20500.00,20600.00,20600.00,21600.00,21600.00,22000.00,22000.00,22500.00,22500.00,24000.00,24000.00,15500.00,15500.00,16000.00,16000.00,16100.00,16100.00,17500.00,17500.00,15000.00,15000.00,17000.00,17000.00,18700.00,18700.00,17750.00,17750.00
time,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi
2023-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.0,,,,,,,,,,,,,,,,
2023-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.0,96.0,,,,,,,,,,,,,,,,
2023-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,75.0,,,,,,,,,,,,,,,,
2023-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,75.0,,,,,,,,,,,,,,,,
2023-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,75.0,,,,,,,,,,,,,,,,
2023-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,300.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,100.0,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,300.0,1200.0,400.0,,,,,,,,,,,,,,,,,900.0,350.0,,,,,,,,,0.0,100.0,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,300.0,0.0,400.0,,,,,,,,,,,,,,,,,0.0,350.0,,,,,,,,,0.0,100.0,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,300.0,0.0,400.0,,,,,,,,,,,,,,,,,0.0,350.0,,,,,,,,,0.0,100.0,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,300.0,0.0,400.0,,,,,,,,,,,,,,,,,0.0,350.0,,,,,,,,,0.0,100.0,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,300.0,0.0,400.0,,,,,,,,,,,,,,,,,0.0,350.0,,,,,,,,,0.0,100.0,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,300.0,0.0,400.0,,,,,,,,,,,,,,,,,0.0,350.0,,,,,,,,,0.0,100.0,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,300.0,0.0,400.0,,,,,,,,,,,,,,,,,0.0,350.0,,,,,,,,,0.0,100.0,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,300.0,0.0,400.0,,,,,,,,,,,,,,,,,0.0,350.0,,,,,,,,,0.0,100.0,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,300.0,0.0,400.0,,,,,,,,,,,,,,,,,0.0,350.0,,,,,,,,,0.0,100.0,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,300.0,0.0,400.0,,,,,,,,,,,,,,,,,0.0,350.0,,,,,,,,,0.0,100.0,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,300.0,0.0,400.0,,,,,,,,,,,,,,,,,0.0,350.0,,,,,,,,,0.0,100.0,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,300.0,0.0,400.0,,,600.0,200.0,,,,,,,,,,,,,0.0,350.0,300.0,100.0,,,,,,,0.0,100.0,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,300.0,0.0,400.0,,,0.0,200.0,,,,,,,,,200.0,100.0,,,300.0,350.0,0.0,100.0,,,,,100.0,50.0,150.0,150.0,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,300.0,0.0,400.0,,,0.0,200.0,,,,,,,,,0.0,100.0,,,0.0,350.0,0.0,100.0,,,,,0.0,50.0,0.0,150.0,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,300.0,0.0,400.0,,,0.0,200.0,,,,,,,,,0.0,100.0,,,0.0,350.0,0.0,100.0,,,,,0.0,50.0,0.0,150.0,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-26,,,,,,,,,,,,,,,,,,,,,,,,,75.0,75.0,,,0.0,300.0,0.0,400.0,,,0.0,200.0,,,,,,,,,0.0,100.0,,,0.0,350.0,0.0,100.0,,,,,0.0,50.0,0.0,150.0,,,0.0,100.0,,,75.0,75.0,,,,,,,,,,,,,,,,,,,,
2023-07-27,,,,,,,,,,,,,,,,,,,,,,,,,150.0,75.0,,,0.0,300.0,0.0,400.0,,,0.0,200.0,,,,,,,,,0.0,100.0,,,0.0,350.0,0.0,100.0,,,,,0.0,50.0,0.0,150.0,,,0.0,100.0,,,150.0,75.0,,,,,,,,,,,,,,,,,,,,
2023-07-28,,,,,,,,,,,,,,,,,,,,,,,,,0.0,75.0,,,0.0,300.0,0.0,400.0,,,0.0,200.0,,,,,,,,,0.0,100.0,,,0.0,350.0,0.0,100.0,,,,,0.0,50.0,0.0,150.0,,,0.0,100.0,,,0.0,75.0,,,,,,,,,,,,,,,,,,,,
2023-07-31,,,,,,,,,,,,,,,,,,,,,,,,,0.0,75.0,,,0.0,300.0,0.0,400.0,,,0.0,200.0,,,,,,,,,0.0,100.0,,,0.0,350.0,0.0,100.0,,,,,0.0,50.0,0.0,150.0,,,0.0,100.0,,,0.0,75.0,,,,,,,,,,,,,,,,,,,,
2023-08-01,,,,,,,,,,,,,,,,,,,,,,,,,0.0,75.0,,,0.0,300.0,0.0,400.0,,,0.0,200.0,,,,,,,,,0.0,100.0,,,0.0,350.0,0.0,100.0,,,,,0.0,50.0,0.0,150.0,,,0.0,100.0,,,0.0,75.0,,,,,,,,,,,,,,,,,,,,
2023-08-02,,,,,,,,,,,,,,,,,,,,,,,,,0.0,75.0,,,0.0,300.0,0.0,400.0,,,0.0,200.0,,,,,,,,,0.0,100.0,,,0.0,350.0,0.0,100.0,,,,,0.0,50.0,0.0,150.0,,,0.0,100.0,,,0.0,75.0,,,,,,,,,,,,,,,,,,,,
2023-08-03,,,,,,,,,,,,,,,,,,,,,,,,,0.0,75.0,,,0.0,300.0,0.0,400.0,,,0.0,200.0,,,,,,,,,0.0,100.0,,,0.0,350.0,0.0,100.0,,,,,0.0,50.0,0.0,150.0,,,0.0,100.0,,,0.0,75.0,,,,,,,,,,,,,,,,,,,,
2023-08-04,,,,,,,,,,,,,,,,,,,,,,,,,0.0,75.0,,,0.0,300.0,0.0,400.0,,,0.0,200.0,,,,,,,,,0.0,100.0,,,0.0,350.0,0.0,100.0,,,,,0.0,50.0,0.0,150.0,,,0.0,100.0,,,0.0,75.0,,,,,,,,,,,,,,,,,,,,
2023-08-07,,,,,,,,,,,,,,,,,,,,,,,354.0,137.0,0.0,75.0,,,0.0,300.0,0.0,400.0,,,0.0,200.0,,,,,,,,,0.0,100.0,,,0.0,350.0,0.0,100.0,,,,,0.0,50.0,0.0,150.0,,,0.0,100.0,354.0,137.0,0.0,75.0,,,,,,,,,,,,,,,,,,,,
2023-08-08,,,,,,,,,,,,,,,,,,,,,,,0.0,137.0,0.0,75.0,,,0.0,300.0,0.0,400.0,,,0.0,200.0,,,,,800.0,300.0,,,0.0,100.0,,,0.0,350.0,0.0,100.0,,,400.0,150.0,0.0,50.0,0.0,150.0,,,0.0,100.0,0.0,137.0,0.0,75.0,,,,,,,,,,,,,,,,,,,,
2023-08-09,,,,,,,,,,,,,,,,,,,,,,,0.0,137.0,0.0,75.0,,,0.0,300.0,0.0,400.0,,,0.0,200.0,,,,,0.0,300.0,,,0.0,100.0,,,0.0,350.0,0.0,100.0,,,0.0,150.0,0.0,50.0,0.0,150.0,,,0.0,100.0,0.0,137.0,0.0,75.0,,,,,,,,,,,,,,,,,,,,
2023-08-10,,,,,,,,,,,,,,,,,,,,,,,0.0,137.0,0.0,75.0,90.0,30.0,0.0,300.0,0.0,400.0,,,100.0,300.0,,,,,0.0,300.0,600.0,200.0,0.0,100.0,,,140.0,430.0,0.0,100.0,,,300.0,250.0,0.0,50.0,0.0,150.0,,,0.0,100.0,0.0,137.0,0.0,75.0,,,,,,,,,,,,,,,,,,,,
2023-08-11,,,,,,,,,,,,,,,,,,,,,,,0.0,137.0,0.0,75.0,0.0,30.0,0.0,300.0,0.0,400.0,,,200.0,300.0,,,,,0.0,300.0,0.0,200.0,0.0,100.0,,,100.0,430.0,0.0,100.0,,,0.0,250.0,0.0,50.0,0.0,150.0,,,0.0,100.0,0.0,137.0,0.0,75.0,,,,,,,,,,,,,,,,,,,,
2023-08-14,,,,,,,,,,,,,,,,,,,,,,,0.0,137.0,0.0,75.0,0.0,30.0,0.0,300.0,0.0,400.0,,,0.0,300.0,,,,,0.0,300.0,0.0,200.0,0.0,100.0,,,0.0,430.0,0.0,100.0,,,0.0,250.0,0.0,50.0,0.0,150.0,,,0.0,100.0,0.0,137.0,0.0,75.0,,,,,,,,,,,,,,,,,,,,
2023-08-15,,,,,,,,,,,,,,,,,,,,,,,0.0,137.0,0.0,75.0,0.0,30.0,0.0,300.0,0.0,400.0,,,0.0,300.0,,,,,0.0,300.0,0.0,200.0,0.0,100.0,,,0.0,430.0,0.0,100.0,,,0.0,250.0,0.0,50.0,0.0,150.0,,,0.0,100.0,0.0,137.0,0.0,75.0,,,,,,,,,,,,,,,,,,,,
2023-08-16,,,,,,,,,,,,,,,,,,,,,,,0.0,137.0,0.0,75.0,0.0,30.0,0.0,300.0,0.0,400.0,,,0.0,300.0,,,,,0.0,300.0,0.0,200.0,0.0,100.0,,,0.0,430.0,0.0,100.0,,,0.0,250.0,0.0,50.0,0.0,150.0,,,0.0,100.0,0.0,137.0,0.0,75.0,,,,,,,,,,,,,,,,,,,,
2023-08-17,,,,,,,,,,,,,,,,,,,,,,,0.0,137.0,0.0,75.0,0.0,30.0,0.0,300.0,0.0,400.0,,,0.0,300.0,,,,,0.0,300.0,0.0,200.0,0.0,100.0,,,0.0,430.0,0.0,100.0,,,0.0,250.0,0.0,50.0,0.0,150.0,,,0.0,100.0,0.0,137.0,0.0,75.0,,,,,,,,,,,,,,,,,,,,
2023-08-18,,,,,,,,,,,,,,,,,,,,,,,0.0,137.0,0.0,75.0,0.0,30.0,0.0,300.0,0.0,400.0,,,0.0,300.0,,,,,0.0,300.0,0.0,200.0,0.0,100.0,,,0.0,430.0,0.0,100.0,,,0.0,250.0,0.0,50.0,0.0,150.0,,,0.0,100.0,0.0,137.0,0.0,75.0,,,,,,,,,,,,,,,,,,,,
2023-08-21,,,,,,,,,,,,,,,,,,,,,,,0.0,137.0,0.0,75.0,0.0,30.0,0.0,300.0,0.0,400.0,,,0.0,300.0,,,,,0.0,300.0,0.0,200.0,0.0,100.0,,,0.0,430.0,0.0,100.0,,,0.0,250.0,0.0,50.0,0.0,150.0,,,0.0,100.0,0.0,137.0,0.0,75.0,,,,,,,,,,,,,,,,,,,,
2023-08-22,,,,,,,,,,,,,,,,,,,,,,,0.0,137.0,0.0,75.0,0.0,30.0,0.0,300.0,0.0,400.0,,,0.0,300.0,,,,,0.0,300.0,0.0,200.0,0.0,100.0,,,0.0,430.0,0.0,100.0,,,0.0,250.0,0.0,50.0,0.0,150.0,,,0.0,100.0,0.0,137.0,0.0,75.0,,,,,,,,,,,,,,,,,,,,
