time,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
time,2050.00,2050.00,2100.00,2100.00,2125.00,2125.00,2150.00,2150.00,2175.00,2175.00,2200.00,2200.00,2250.00,2250.00,2300.00,2300.00,1800.00,1800.00,1850.00,1850.00,1900.00,1900.00,1950.00,1950.00,2000.00,2000.00,2025.00,2025.00,2050.00,2050.00,2075.00,2075.00,2100.00,2100.00,2125.00,2125.00,2150.00,2150.00
time,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi,volume,oi
2023-01-24,,,,,,,,,,,,,,,,,150.0,100.0,,,,,,,,,,,,,,,,,,,,
2023-01-25,,,,,,,,,,,,,,,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,
2023-01-26,,,,,,,,,,,,,,,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,
2023-01-27,,,,,,,,,,,,,,,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,
2023-01-30,,,,,,,,,,,,,,,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,
2023-01-31,,,,,,,,,,,,,,,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,
2023-02-01,,,,,,,,,,,,,,,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,
2023-02-02,,,,,,,,,,,,,,,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,
2023-02-03,,,,,,,,,,,,,,,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,
2023-02-06,,,,,,,,,,,,,,,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,
2023-02-07,,,,,,,,,,,,,,,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,
2023-02-08,,,,,,,,,,,,,,,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,
2023-02-09,,,,,,,,,,,,,,,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,
2023-02-10,,,,,,,,,,,,,,,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,
2023-02-13,,,,,,,,,,,,,,,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,
2023-02-14,,,,,,,,,,,,,,,,,0.0,100.0,,,,,,,,,,,,,,,,,,,,
2023-02-15,,,,,,,,,,,,,,,200.0,100.0,0.0,100.0,200.0,100.0,,,,,,,,,,,,,,,,,,
2023-02-16,,,,,,,,,,,,,,,0.0,100.0,0.0,100.0,0.0,100.0,,,,,,,,,,,,,,,,,,
2023-02-17,,,,,,,,,,,,,,,0.0,100.0,0.0,100.0,0.0,100.0,,,,,,,,,,,,,,,,,,
2023-02-20,,,,,,,,,,,,,,,0.0,100.0,0.0,100.0,0.0,100.0,,,,,,,,,,,,,,,,,,
2023-02-21,,,,,,,,,,,,,,,0.0,100.0,0.0,100.0,0.0,100.0,,,,,,,,,,,,,,,,,,
2023-02-22,,,,,,,,,,,,,,,0.0,100.0,0.0,100.0,0.0,100.0,,,,,,,,,,,,,,,,,,
2023-02-23,,,100.0,50.0,,,,,,,,,,,0.0,100.0,250.0,200.0,0.0,100.0,50.0,50.0,,,,,,,,,,,,,,,,
2023-02-24,,,0.0,50.0,,,,,,,,,,,0.0,100.0,0.0,200.0,0.0,100.0,0.0,50.0,,,,,,,,,,,,,,,,
2023-02-27,,,0.0,50.0,,,,,,,,,,,0.0,100.0,0.0,200.0,0.0,100.0,0.0,50.0,,,,,,,,,,,,,,,,
2023-02-28,,,0.0,50.0,,,,,,,,,,,0.0,100.0,0.0,200.0,0.0,100.0,0.0,50.0,,,,,,,,,,,,,,,,
2023-03-01,,,0.0,50.0,,,,,,,,,,,8.0,102.0,0.0,200.0,0.0,100.0,0.0,50.0,,,53.0,17.0,,,,,,,,,,,,
2023-03-02,,,0.0,50.0,,,,,,,,,,,0.0,102.0,0.0,200.0,0.0,100.0,0.0,50.0,,,0.0,17.0,,,,,,,,,,,,
2023-03-03,,,0.0,50.0,,,,,,,,,,,0.0,102.0,0.0,200.0,0.0,100.0,0.0,50.0,,,0.0,17.0,,,,,,,,,,,,
2023-03-06,,,0.0,50.0,,,,,,,,,,,0.0,102.0,0.0,200.0,0.0,100.0,0.0,50.0,,,0.0,17.0,,,,,,,,,,,,
2023-03-07,,,0.0,50.0,,,,,,,,,,,0.0,102.0,0.0,200.0,0.0,100.0,0.0,50.0,,,0.0,17.0,,,,,,,,,,,,
2023-03-08,,,0.0,50.0,,,,,,,,,,,0.0,102.0,0.0,200.0,0.0,100.0,0.0,50.0,,,0.0,17.0,,,,,,,,,,,,
2023-03-09,,,0.0,50.0,,,,,,,,,,,0.0,102.0,0.0,200.0,0.0,100.0,0.0,50.0,,,0.0,17.0,,,,,,,,,,,,
2023-03-10,,,0.0,50.0,,,,,,,,,,,0.0,102.0,0.0,200.0,0.0,100.0,0.0,50.0,,,0.0,17.0,,,,,,,,,,,,
2023-03-13,,,0.0,50.0,,,,,,,,,,,0.0,102.0,0.0,200.0,0.0,100.0,0.0,50.0,,,0.0,17.0,,,,,,,,,,,,
2023-03-14,,,0.0,50.0,,,,,,,,,,,0.0,102.0,0.0,200.0,0.0,100.0,0.0,50.0,,,0.0,17.0,,,,,,,,,,,,
2023-03-15,,,0.0,50.0,,,,,,,,,,,0.0,102.0,0.0,200.0,0.0,100.0,0.0,50.0,,,0.0,17.0,,,,,,,,,,,,
2023-03-16,,,0.0,50.0,,,,,,,,,,,0.0,102.0,0.0,200.0,0.0,100.0,0.0,50.0,,,0.0,17.0,,,,,,,,,,,,
2023-03-17,,,0.0,50.0,,,,,,,,,,,0.0,102.0,0.0,200.0,0.0,100.0,0.0,50.0,,,0.0,17.0,,,,,,,,,,,,
2023-03-20,,,0.0,50.0,,,,,,,,,,,0.0,102.0,0.0,200.0,0.0,100.0,0.0,50.0,,,0.0,17.0,,,,,,,,,,,,
2023-03-21,,,0.0,50.0,,,,,,,,,,,0.0,102.0,0.0,200.0,0.0,100.0,0.0,50.0,,,0.0,17.0,,,,,,,,,,,,
2023-03-22,,,0.0,50.0,,,,,,,,,,,0.0,102.0,0.0,200.0,0.0,100.0,0.0,50.0,,,0.0,17.0,,,,,,,,,,,,
2023-03-23,,,0.0,50.0,,,,,,,,,,,0.0,102.0,0.0,200.0,0.0,100.0,0.0,50.0,,,0.0,17.0,,,,,,,,,,,,
2023-03-24,,,0.0,50.0,,,,,,,,,,,0.0,102.0,0.0,200.0,0.0,100.0,0.0,50.0,,,900.0,317.0,,,,,,,,,,,,
2023-03-27,,,0.0,50.0,,,,,,,,,,,0.0,102.0,0.0,200.0,0.0,100.0,0.0,50.0,,,0.0,317.0,,,,,,,,,,,,
