time,inst_ids
2021-01-04,"ZS2101,ZS2103,ZS2102,ZS2104,ZS2106,ZS2109,ZS2112,ZS2105,ZS2211,ZS2107,ZS2111,ZS2110,ZS2206,"
2021-01-05,"ZS2101,ZS2103,ZS2102,ZS2104,ZS2106,ZS2109,ZS2112,ZS2105,ZS2211,ZS2107,ZS2111,ZS2110,ZS2206,"
2021-01-06,"ZS2103,ZS2102,ZS2104,ZS2106,ZS2109,ZS2112,ZS2105,ZS2211,ZS2107,ZS2111,ZS2110,ZS2206,"
2021-01-07,"ZS2103,ZS2102,ZS2104,ZS2106,ZS2109,ZS2112,ZS2105,ZS2211,ZS2107,ZS2111,ZS2110,ZS2206,"
2021-01-08,"ZS2103,ZS2102,ZS2104,ZS2106,ZS2109,ZS2112,ZS2105,ZS2211,ZS2107,ZS2111,ZS2110,ZS2206,"
2021-01-11,"ZS2103,ZS2102,ZS2104,ZS2106,ZS2109,ZS2112,ZS2105,ZS2211,ZS2107,ZS2111,ZS2110,ZS2206,"
2021-01-12,"ZS2103,ZS2102,ZS2104,ZS2106,ZS2109,ZS2105,ZS2112,ZS2211,ZS2107,ZS2111,ZS2110,ZS2206,"
2021-01-13,"ZS2103,ZS2102,ZS2104,ZS2106,ZS2109,ZS2105,ZS2112,ZS2211,ZS2107,ZS2111,ZS2110,ZS2206,"
2021-01-14,"ZS2103,ZS2102,ZS2104,ZS2106,ZS2109,ZS2105,ZS2112,ZS2211,ZS2107,ZS2111,ZS2110,ZS2206,"
2021-01-15,"ZS2103,ZS2102,ZS2104,ZS2106,ZS2109,ZS2105,ZS2112,ZS2211,ZS2107,ZS2111,ZS2110,ZS2206,"
2021-01-18,"ZS2103,ZS2104,ZS2102,ZS2106,ZS2109,ZS2105,ZS2112,ZS2211,ZS2107,ZS2111,ZS2110,ZS2206,"
2021-01-19,"ZS2103,ZS2104,ZS2102,ZS2106,ZS2109,ZS2105,ZS2112,ZS2211,ZS2107,ZS2110,ZS2111,ZS2206,"
2021-01-20,"ZS2103,ZS2104,ZS2102,ZS2106,ZS2109,ZS2105,ZS2112,ZS2110,ZS2211,ZS2107,ZS2111,ZS2206,"
2021-01-21,"ZS2103,ZS2104,ZS2102,ZS2106,ZS2109,ZS2105,ZS2112,ZS2110,ZS2211,ZS2107,ZS2111,ZS2206,"
2021-01-22,"ZS2103,ZS2104,ZS2102,ZS2106,ZS2109,ZS2105,ZS2112,ZS2110,ZS2211,ZS2107,ZS2111,ZS2206,"
2021-01-25,"ZS2103,ZS2104,ZS2102,ZS2106,ZS2109,ZS2105,ZS2112,ZS2110,ZS2211,ZS2107,ZS2111,ZS2206,"
2021-01-26,"ZS2103,ZS2104,ZS2102,ZS2105,ZS2106,ZS2109,ZS2112,ZS2110,ZS2211,ZS2107,ZS2111,ZS2206,"
2021-01-27,"ZS2103,ZS2104,ZS2102,ZS2105,ZS2106,ZS2109,ZS2112,ZS2110,ZS2211,ZS2107,ZS2111,ZS2206,"
2021-01-28,"ZS2103,ZS2104,ZS2102,ZS2105,ZS2106,ZS2109,ZS2112,ZS2110,ZS2211,ZS2107,ZS2111,ZS2206,"
2021-01-29,"ZS2103,ZS2104,ZS2102,ZS2105,ZS2106,ZS2109,ZS2112,ZS2110,ZS2211,ZS2107,ZS2111,ZS2108,ZS2206,"
2021-02-01,"ZS2103,ZS2104,ZS2102,ZS2105,ZS2106,ZS2109,ZS2112,ZS2110,ZS2211,ZS2107,ZS2111,ZS2108,ZS2206,"
2021-02-02,"ZS2103,ZS2104,ZS2102,ZS2105,ZS2106,ZS2109,ZS2112,ZS2110,ZS2107,ZS2211,ZS2108,ZS2111,ZS2206,"
2021-02-03,"ZS2103,ZS2104,ZS2105,ZS2106,ZS2109,ZS2112,ZS2107,ZS2110,ZS2211,ZS2108,ZS2111,ZS2206,"
2021-02-04,"ZS2103,ZS2104,ZS2105,ZS2106,ZS2109,ZS2112,ZS2107,ZS2110,ZS2211,ZS2108,ZS2111,ZS2206,"
2021-02-05,"ZS2103,ZS2104,ZS2105,ZS2106,ZS2109,ZS2112,ZS2107,ZS2110,ZS2108,ZS2211,ZS2111,ZS2206,"
2021-02-08,"ZS2103,ZS2104,ZS2105,ZS2106,ZS2109,ZS2112,ZS2107,ZS2110,ZS2108,ZS2211,ZS2111,ZS2206,"
2021-02-09,"ZS2103,ZS2104,ZS2105,ZS2106,ZS2109,ZS2112,ZS2107,ZS2108,ZS2110,ZS2211,ZS2111,ZS2206,"
2021-02-10,"ZS2103,ZS2104,ZS2105,ZS2106,ZS2109,ZS2107,ZS2112,ZS2108,ZS2110,ZS2211,ZS2111,ZS2206,"
