exOrEffDate,type,amount,recordDate,paymentDate,currency
2002-09-03,Cash,0.2899,2002-09-03,,USD
2002-10-01,Cash,0.257889,2002-10-01,,USD
2002-11-01,Cash,0.294645,2002-11-01,,USD
2002-12-02,Cash,0.52038,2002-12-02,,USD
2003-02-03,Cash,0.277735,2003-02-03,,USD
2003-04-01,Cash,0.248666,2003-04-01,2003-03-31,USD
2003-05-01,Cash,0.341751,2003-05-01,2003-03-31,USD
2003-09-02,Cash,0.275762,2003-09-04,2003-08-12,USD
2003-10-01,Cash,0.2741,2003-10-01,2003-08-12,USD
2003-11-03,Cash,0.2792,2003-11-03,2003-08-12,USD
2003-12-31,Cash,0.27868,2003-12-31,2003-08-12,USD
2004-02-02,Cash,0.25537,2004-02-02,,USD
2004-03-01,Cash,0.2511,2004-03-01,2003-08-12,USD
2004-08-02,Cash,0.272748,2004-08-04,2004-08-06,USD
2004-09-01,Cash,0.266277,2004-09-03,2004-09-08,USD
2004-10-01,Cash,0.25745,2004-10-05,2004-10-07,USD
2004-11-01,Cash,0.265239,2004-11-03,2004-11-05,USD
2004-12-31,Cash,0.271451,2005-01-04,2005-01-06,USD
2005-11-01,Cash,0.287716,2005-11-03,2005-11-07,USD
2005-12-01,Cash,0.28348,2005-12-05,2005-12-07,USD
2006-03-01,Cash,0.267073,2006-03-03,2006-03-07,USD
2006-04-03,Cash,0.260258,2006-04-05,2006-04-07,USD
2006-05-01,Cash,0.293988,2006-05-03,2006-05-05,USD
2006-07-03,Cash,0.312173,2006-07-06,2006-07-10,USD
2006-08-01,Cash,0.319344,2006-08-03,2006-08-07,USD
2006-10-02,Cash,0.315666,2006-10-04,2006-10-06,USD
2006-11-01,Cash,0.308354,2006-11-03,2006-11-07,USD
2006-12-01,Cash,0.304142,2006-12-05,2006-12-07,USD
2006-12-27,Cash,0.239297,2006-12-29,2007-01-05,USD
2007-04-02,Cash,0.321919,2007-04-04,2007-04-09,USD
2007-07-02,Cash,0.313321,2007-07-05,2007-07-09,USD
2011-04-01,Cash,0.248253,2011-04-05,2011-04-07,USD
2011-05-02,Cash,0.2414,2011-05-04,2011-05-06,USD
2011-06-01,Cash,0.244437,2011-06-03,2011-06-07,USD
2011-07-01,Cash,0.23064,2011-07-06,2011-07-08,USD
2011-08-01,Cash,0.238186,2011-08-03,2011-08-05,USD
2011-09-01,Cash,0.229073,2011-09-06,2011-09-08,USD
2011-10-03,Cash,0.211388,2011-10-05,2011-10-07,USD
2011-11-01,Cash,0.209291,2011-11-03,2011-11-07,USD
2011-12-01,Cash,0.200255,2011-12-05,2011-12-07,USD
2011-12-27,Cash,0.189303,2011-12-29,2012-01-04,USD
2012-02-01,Cash,0.19082,2012-02-03,2012-02-07,USD
2012-03-01,Cash,0.169604,2012-03-05,2012-03-07,USD
2012-04-02,Cash,0.177317,2012-04-04,2012-04-09,USD
2012-05-01,Cash,0.168253,2012-05-03,2012-05-07,USD
2012-06-01,Cash,0.170729,2012-06-05,2012-06-07,USD
2012-07-02,Cash,0.160121,2012-07-05,2012-07-09,USD
2012-08-01,Cash,0.162208,2012-08-03,2012-08-07,USD
2012-09-04,Cash,0.150782,2012-09-06,2012-09-10,USD
2012-10-01,Cash,0.141279,2012-10-03,2012-10-05,USD
2012-11-01,Cash,0.145278,2012-11-05,2012-11-07,USD
2012-12-03,Cash,0.136792,2012-12-05,2012-12-07,USD
2012-12-26,Cash,0.150589,2012-12-28,2013-01-02,USD
2013-02-01,Cash,0.140073,2013-02-05,2013-02-07,USD
2013-03-01,Cash,0.126749,2013-03-05,2013-03-07,USD
2013-04-01,Cash,0.144612,2013-04-03,2013-04-05,USD
2013-05-01,Cash,0.134933,2013-05-03,2013-05-07,USD
2013-06-03,Cash,0.141562,2013-06-05,2013-06-07,USD
2013-07-01,Cash,0.13928,2013-07-03,2013-07-08,USD
2013-08-01,Cash,0.140747,2013-08-05,2013-08-07,USD
2013-09-03,Cash,0.15088,2013-09-05,2013-09-09,USD
2013-10-01,Cash,0.153328,2013-10-03,2013-10-07,USD
2013-11-01,Cash,0.161459,2013-11-05,2013-11-07,USD
2013-12-02,Cash,0.164077,2013-12-04,2013-12-06,USD
2013-12-26,Cash,0.163803,2013-12-30,2014-01-02,USD
2014-02-03,Cash,0.175249,2014-02-05,2014-02-07,USD
2014-03-03,Cash,0.165796,2014-03-05,2014-03-07,USD
2014-04-01,Cash,0.189607,2014-04-03,2014-04-07,USD
2014-05-01,Cash,0.194078,2014-05-05,2014-05-07,USD
2014-06-02,Cash,0.175425,2014-06-04,2014-06-06,USD
2014-07-01,Cash,0.192136,2014-07-03,2014-07-08,USD
2014-08-01,Cash,0.195573,2014-08-05,2014-08-07,USD
2014-09-02,Cash,0.180951,2014-09-04,2014-09-08,USD
2014-10-01,Cash,0.188931,2014-10-03,2014-10-07,USD
2014-11-03,Cash,0.18052,2014-11-05,2014-11-07,USD
2014-12-01,Cash,0.179983,2014-12-03,2014-12-05,USD
2014-12-24,Cash,0.155544,2014-12-29,2014-12-31,USD
2015-02-02,Cash,0.181933,2015-02-04,2015-02-06,USD
2015-03-02,Cash,0.170064,2015-03-04,2015-03-06,USD
