time,open,high,low,close,volume,div_plus
2015-07-02,30.74,30.83,30.69,30.81,1382583,0.0
2015-07-06,31.01,31.12,30.86,31.05,3139589,0.0
2015-07-07,30.76,30.91,30.57,30.8,2061007,0.0
2015-07-08,30.4,30.41,29.97,30.11,3618143,0.0
2015-07-09,30.44,31.0,30.06,30.09,1192966,0.0
2015-07-10,30.35,30.48,30.215,30.47,1420159,0.0
2015-07-13,30.69,30.81,30.65,30.78,1306267,0.0
2015-07-14,30.83,30.99,30.77,30.93,1209145,0.0
2015-07-15,31.07,31.12,30.95,30.95,953667,0.0
2015-07-16,31.395,31.527,31.35,31.52,1322384,0.0
2015-07-17,31.46,31.505,31.35,31.4,2287047,0.0
2015-07-20,31.2,31.37,31.15,31.3,1415179,0.0
2015-07-21,31.22,31.25,31.07,31.11,1405471,0.0
2015-07-22,31.43,31.44,31.3,31.33,960156,0.0
2015-07-23,31.21,31.25,30.92,30.96,1284826,0.0
2015-07-24,30.86,30.89,30.55,30.63,2120741,0.0
2015-07-27,30.21,30.23,30.02,30.05,2561754,0.0
2015-07-28,30.12,30.21,29.985,30.11,2488805,0.0
2015-07-29,30.34,30.505,30.26,30.43,1919734,0.0
2015-07-30,30.51,30.57,30.39,30.47,1183558,0.0
2015-07-31,30.97,31.1,30.92,31.07,3040242,0.0
2015-08-03,30.92,30.93,30.685,30.74,1844370,0.0
2015-08-04,30.94,31.08,30.88,30.95,2199525,0.0
2015-08-05,31.43,31.48,31.285,31.39,2236475,0.0
2015-08-06,31.34,31.43,31.12,31.17,1064784,0.0
2015-08-07,31.19,31.22,31.01,31.15,1948992,0.0
2015-08-10,30.94,31.18,30.94,31.17,1303914,0.0
2015-08-11,30.66,30.66,30.44,30.56,2007800,0.0
2015-08-12,30.04,30.17,29.69,29.81,4019469,0.0
2015-08-13,29.9,30.11,29.78,30.0,1961629,0.0
2015-08-14,30.4,30.62,30.4,30.57,2838546,0.0
2015-08-17,30.13,30.24,30.08,30.18,546317,0.0
2015-08-18,30.14,30.2,30.04,30.09,1721310,0.0
2015-08-19,30.2,30.47,30.08,30.21,2669820,0.0
