exOrEffDate,type,amount,recordDate,paymentDate,currency
2005-09-26,Cash,0.02911,2005-09-28,2005-09-30,USD
2006-06-23,Cash,0.036554,2006-06-27,2006-06-29,USD
2013-03-25,Cash,0.198811,2013-03-27,2013-04-01,USD
2013-06-26,Cash,0.130682,2013-06-28,2013-07-02,USD
2013-09-24,Cash,0.300577,2013-09-26,2013-09-30,USD
2013-12-23,Cash,0.228984,2013-12-26,2013-12-30,USD
2014-03-25,Cash,0.208766,2014-03-27,2014-03-31,USD
2014-06-24,Cash,0.242403,2014-06-26,2014-06-30,USD
2014-09-24,Cash,0.240118,2014-09-26,2014-09-30,USD
2014-12-24,Cash,0.761141,2014-12-29,2014-12-31,USD
2015-03-25,Cash,0.259155,2015-03-27,2015-03-31,USD
2015-06-24,Cash,0.254645,2015-06-26,2015-06-30,USD
2015-09-25,Cash,0.447653,2015-09-29,2015-10-01,USD
2015-12-24,Cash,0.193343,2015-12-29,2015-12-31,USD
2016-03-23,Cash,0.276038,2016-03-28,2016-03-30,USD
2016-06-21,Cash,0.298797,2016-06-23,2016-06-27,USD
2016-09-26,Cash,0.456883,2016-09-28,2016-09-30,USD
2016-12-21,Cash,0.289869,2016-12-23,2016-12-28,USD
2017-03-24,Cash,0.353167,2017-03-28,2017-03-30,USD
2017-06-27,Cash,0.359753,2017-06-29,2017-06-30,USD
2017-09-26,Cash,0.498527,2017-09-27,2017-09-29,USD
2017-12-19,Cash,0.316686,2017-12-20,2017-12-26,USD
2018-03-22,Cash,0.375392,2018-03-23,2018-03-28,USD
2018-06-26,Cash,0.62036,2018-06-27,2018-07-02,USD
2018-09-26,Cash,0.816541,2018-09-27,2018-10-02,USD
2018-12-17,Cash,0.338992,2018-12-18,2018-12-21,USD
2019-03-20,Cash,0.51961,2019-03-21,2019-03-26,USD
2019-06-17,Cash,0.757323,2019-06-18,2019-06-21,USD
2019-09-24,Cash,0.960097,2019-09-25,2019-09-30,USD
2019-12-16,Cash,0.861531,2019-12-17,2019-12-20,USD
2020-03-25,Cash,0.695651,2020-03-26,2020-03-31,USD
2020-06-15,Cash,0.562872,2020-06-16,2020-06-19,USD
2020-09-23,Cash,1.069314,2020-09-24,2020-09-29,USD
2020-12-14,Cash,0.746891,2020-12-15,2020-12-18,USD
2021-03-25,Cash,0.755664,2021-03-26,2021-03-31,USD
2021-06-10,Cash,0.512176,2021-06-11,2021-06-16,USD
2021-09-24,Cash,1.156708,2021-09-27,2021-09-30,USD
2021-12-13,Cash,0.873179,2021-12-14,2021-12-17,USD
2021-12-30,Cash,0.154549,2021-12-31,2022-01-05,USD
2022-03-24,Cash,0.875171,2022-03-25,2022-03-30,USD
2022-06-09,Cash,0.627965,2022-06-10,2022-06-15,USD
2022-09-26,Cash,1.80181,2022-09-27,2022-09-30,USD
2022-12-13,Cash,1.062375,2022-12-14,2022-12-19,USD
2023-03-23,Cash,1.07241,2023-03-24,2023-03-29,USD
2023-06-07,Cash,0.650709,2023-06-08,2023-06-13,USD
2023-09-26,Cash,1.665756,2023-09-27,2023-10-02,USD
2023-12-20,Cash,1.123282,2023-12-21,2023-12-27,USD
