exOrEffDate,type,amount,recordDate,paymentDate,currency
1999-03-19,Cash,0.089699,1999-03-23,1999-04-30,USD
1999-06-18,Cash,0.146296,1999-06-22,1999-07-30,USD
1999-09-17,Cash,0.130437,1999-09-21,1999-10-29,USD
1999-12-17,Cash,0.08015,1999-12-21,2000-01-31,USD
2000-03-17,Cash,0.0964,2000-03-21,2000-04-28,USD
2000-06-16,Cash,0.1508,2000-06-20,2000-07-31,USD
2000-09-15,Cash,0.142977,2000-09-19,2000-10-31,USD
2000-12-15,Cash,0.09114,2000-12-19,2001-01-31,USD
2001-03-16,Cash,0.09659,2001-03-20,2001-04-30,USD
2001-06-15,Cash,0.15102,2001-06-19,2001-07-31,USD
2001-09-21,Cash,0.14146,2001-09-25,2001-10-31,USD
2001-12-21,Cash,0.10561,2001-12-26,2002-01-31,USD
2002-03-15,Cash,0.09582,2002-03-19,2002-04-30,USD
2002-06-21,Cash,0.15579,2002-06-25,2002-07-31,USD
2002-09-20,Cash,0.11549,2002-09-24,2002-10-31,USD
2002-12-20,Cash,0.11549,2002-12-24,2003-01-31,USD
2003-03-21,Cash,0.11941,2003-03-25,2003-04-30,USD
2003-06-20,Cash,0.1181,2003-06-24,2003-07-31,USD
2003-09-19,Cash,0.12064,2003-09-23,2003-10-31,USD
2003-12-19,Cash,0.12217,2003-12-23,2004-01-30,USD
2004-03-19,Cash,0.12664,2004-03-23,2004-04-30,USD
2004-06-18,Cash,0.12369,2004-06-22,2004-07-30,USD
2004-09-17,Cash,0.13306,2004-09-21,2004-10-29,USD
2004-12-17,Cash,0.1309,2004-12-21,2005-01-31,USD
2005-03-18,Cash,0.1444,2005-03-22,2005-04-29,USD
2005-06-17,Cash,0.14057,2005-06-21,2005-07-29,USD
2005-09-16,Cash,0.14761,2005-09-20,2005-10-31,USD
2005-12-16,Cash,0.13678,2005-12-20,2006-01-31,USD
2006-03-17,Cash,0.16143,2006-03-21,2006-04-28,USD
2006-06-16,Cash,0.19746,2006-06-20,2006-07-31,USD
