time,dom1,dom2,dom3
2020-08-10,al2010,al2011,al2012
2020-08-11,al2010,al2011,al2101
2020-08-12,al2010,al2101,al2011
2020-08-13,al2010,al2011,al2101
2020-08-14,al2010,al2101,al2011
2020-08-17,al2010,al2011,al2101
2020-08-18,al2010,al2011,al2101
2020-08-19,al2010,al2011,al2101
2020-08-20,al2010,al2011,al2012
2020-08-21,al2010,al2011,al2012
2020-08-24,al2010,al2011,al2101
2020-08-25,al2010,al2011,al2101
2020-08-26,al2010,al2011,al2012
2020-08-27,al2010,al2011,al2101
2020-08-28,al2010,al2011,al2101
2020-08-31,al2010,al2011,al2101
2020-09-01,al2010,al2011,al2101
2020-09-02,al2010,al2011,al2012
2020-09-03,al2010,al2011,al2101
2020-09-04,al2010,al2011,al2101
2020-09-07,al2010,al2011,al2101
2020-09-08,al2010,al2011,al2101
2020-09-09,al2010,al2011,al2101
2020-09-10,al2010,al2011,al2101
2020-09-11,al2010,al2011,al2101
2020-09-14,al2010,al2011,al2012
2020-09-15,al2010,al2011,al2012
2020-09-16,al2010,al2011,al2012
2020-09-17,al2010,al2011,al2012
2020-09-18,al2010,al2011,al2012
2020-09-21,al2010,al2011,al2012
2020-09-22,al2010,al2011,al2012
2020-09-23,al2010,al2011,al2012
2020-09-24,al2010,al2011,al2012
2020-09-25,al2011,al2012,al2101
2020-09-28,al2011,al2012,al2101
2020-09-29,al2011,al2012,al2101
2020-09-30,al2011,al2012,al2102
2020-10-09,al2011,al2012,al2101
2020-10-12,al2011,al2012,al2101
2020-10-13,al2011,al2012,al2102
2020-10-14,al2011,al2012,al2102
2020-10-15,al2011,al2012,al2101
2020-10-16,al2011,al2012,al2101
2020-10-19,al2011,al2012,al2101
2020-10-20,al2011,al2012,al2101
2020-10-21,al2011,al2012,al2101
2020-10-22,al2011,al2012,al2101
2020-10-23,al2011,al2012,al2101
2020-10-26,al2011,al2012,al2101
2020-10-27,al2012,al2101,al2103
2020-10-28,al2012,al2101,al2102
2020-10-29,al2012,al2101,al2102
2020-10-30,al2012,al2101,al2103
2020-11-02,al2012,al2101,al2102
2020-11-03,al2012,al2101,al2103
2020-11-04,al2012,al2101,al2103
2020-11-05,al2012,al2101,al2103
2020-11-06,al2012,al2101,al2103
2020-11-09,al2012,al2101,al2102
2020-11-10,al2012,al2101,al2102
2020-11-11,al2012,al2101,al2102
2020-11-12,al2012,al2101,al2102
2020-11-13,al2012,al2101,al2103
2020-11-16,al2012,al2101,al2102
2020-11-17,al2012,al2101,al2102
2020-11-18,al2012,al2101,al2102
2020-11-19,al2012,al2101,al2102
2020-11-20,al2012,al2101,al2102
2020-11-23,al2012,al2101,al2102
2020-11-24,al2012,al2101,al2102
2020-11-25,al2101,al2102,al2103
2020-11-26,al2101,al2102,al2103
2020-11-27,al2101,al2102,al2103
2020-11-30,al2101,al2102,al2103
2020-12-01,al2101,al2102,al2103
2020-12-02,al2101,al2102,al2103
2020-12-03,al2101,al2102,al2103
2020-12-04,al2101,al2102,al2103
2020-12-07,al2101,al2102,al2104
2020-12-08,al2101,al2102,al2103
2020-12-09,al2101,al2102,al2104
2020-12-10,al2101,al2102,al2104
2020-12-11,al2101,al2102,al2103
2020-12-14,al2101,al2102,al2103
2020-12-15,al2101,al2102,al2103
2020-12-16,al2101,al2102,al2103
2020-12-17,al2101,al2102,al2103
2020-12-18,al2101,al2102,al2103
2020-12-21,al2101,al2102,al2103
2020-12-22,al2101,al2102,al2103
2020-12-23,al2101,al2102,al2103
2020-12-24,al2101,al2102,al2103
2020-12-25,al2101,al2102,al2103
2020-12-28,al2102,al2103,al2104
2020-12-29,al2102,al2103,al2104
2020-12-30,al2102,al2103,al2105
2020-12-31,al2102,al2103,al2105
2021-01-04,al2102,al2103,al2104
2021-01-05,al2102,al2103,al2105
2021-01-06,al2102,al2103,al2104
2021-01-07,al2102,al2103,al2104
2021-01-08,al2102,al2103,al2104
2021-01-11,al2102,al2103,al2104
2021-01-12,al2102,al2103,al2104
2021-01-13,al2102,al2103,al2104
2021-01-14,al2102,al2103,al2104
2021-01-15,al2102,al2103,al2104
2021-01-18,al2102,al2103,al2104
2021-01-19,al2102,al2103,al2104
2021-01-20,al2102,al2103,al2104
2021-01-21,al2102,al2103,al2104
2021-01-22,al2102,al2103,al2104
2021-01-25,al2102,al2103,al2104
2021-01-26,al2103,al2104,al2105
2021-01-27,al2103,al2104,al2105
2021-01-28,al2103,al2104,al2106
2021-01-29,al2103,al2104,al2105
2021-02-01,al2103,al2104,al2105
2021-02-02,al2103,al2104,al2105
2021-02-03,al2103,al2104,al2105
2021-02-04,al2103,al2104,al2105
2021-02-05,al2103,al2104,al2105
2021-02-08,al2103,al2104,al2105
