time,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,P,P,P,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P
time,424,424,424,432,432,432,440,440,440,448,448,448,456,456,456,464,464,464,472,472,472,480,480,480,488,488,488,496,496,496,504,504,504,512,512,512,424,424,424,432,432,432,440,440,440,448,448,448,456,456,456,464,464,464,472,472,472,480,480,480,488,488,488,496,496,496,504,504,504,512,512,512,520,520,520,520,520,520,408,408,408,416,416,416,528,528,528,408,408,408,416,416,416,528,528,528,400,400,400,400,400,400,536,536,536,536,536,536
time,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi
2023-09-12 21:05:45,46.26,,0,39.42,,0,33.08,,0,27.26,,0,22.08,,0,17.52,,0,13.64,,0,10.38,,0,7.78,,0,5.66,,0,4.06,,0,2.86,,0,1.96,,0,3.1,,0,4.72,,0,6.86,,0,9.62,,0,13.0,,0,17.06,,0,21.74,,0,27.08,,0,32.92,,0,39.26,,0,46.02,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-12 21:08:44,46.26,,0,39.42,,0,33.08,,0,27.26,,0,22.08,,0,17.52,,0,13.64,,0,10.38,,0,7.78,,0,5.66,,0,4.06,,0,2.86,,0,1.96,,0,3.1,,0,4.72,,0,6.86,,0,9.62,,0,13.0,,0,17.06,,0,21.74,,0,27.08,,0,32.92,,0,39.26,,0,46.02,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-12 21:14:46,46.26,,0,39.42,,0,33.08,,0,27.26,,0,22.08,,0,17.52,,0,13.64,,0,10.38,,0,7.78,,0,5.66,,0,4.06,,0,2.86,,0,1.96,,0,3.1,,0,4.72,,0,6.86,,0,9.62,,0,13.0,,0,17.06,,0,21.74,,0,27.08,,0,32.92,,0,39.26,,0,46.02,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-12 21:17:44,46.26,,0,39.42,,0,33.08,,0,27.26,,0,22.08,,0,17.52,,0,13.64,,0,10.38,,0,7.78,,0,5.66,,0,4.06,,0,2.86,,0,1.96,,0,3.1,,0,4.72,,0,6.86,,0,9.62,,0,13.0,,0,17.06,,0,21.74,,0,27.08,,0,32.92,,0,39.26,,0,46.02,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-12 21:23:46,46.26,,0,39.42,,0,33.08,,0,27.26,,0,22.08,,0,17.52,,0,13.64,,0,10.38,,0,7.78,,0,5.66,,0,4.06,,0,2.86,,0,1.96,,0,3.1,,0,4.72,,0,6.86,,0,9.62,,0,13.0,,0,17.06,,0,21.74,,0,27.08,,0,32.92,,0,39.26,,0,46.02,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-12 21:26:45,46.26,,0,39.42,,0,33.08,,0,27.26,,0,22.08,,0,17.52,,0,13.64,,0,10.38,,0,7.78,,0,5.66,,0,4.06,,0,2.86,,0,1.96,,0,3.1,,0,4.72,,0,6.86,,0,9.62,,0,13.0,,0,17.06,,0,21.74,,0,27.08,,0,32.92,,0,39.26,,0,46.02,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-12 21:32:46,46.26,,0,39.42,,0,33.08,,0,27.26,,0,22.08,,0,17.52,,0,13.64,,0,10.38,,0,7.78,,0,5.66,,0,4.06,,0,2.86,,0,1.96,,0,3.1,,0,4.72,,0,6.86,,0,9.62,,0,13.0,,0,17.06,,0,21.74,,0,27.08,,0,32.92,,0,39.26,,0,46.02,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-12 21:41:46,46.26,,0,39.42,,0,33.08,,0,27.26,,0,22.08,,0,17.52,,0,13.64,,0,10.38,,0,7.78,,0,5.66,,0,4.06,,0,2.86,,0,1.96,,0,3.1,,0,4.72,,0,6.86,,0,9.62,,0,13.0,,0,17.06,,0,21.74,,0,27.08,,0,32.92,,0,39.26,,0,46.02,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
