time,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P
time,424,424,424,432,432,432,440,440,440,448,448,448,456,456,456,464,464,464,472,472,472,480,480,480,488,488,488,496,496,496,504,504,504,512,512,512,424,424,424,432,432,432,440,440,440,448,448,448,456,456,456,464,464,464,472,472,472,480,480,480,488,488,488,496,496,496,504,504,504,512,512,512,520,520,520,520,520,520,528,528,528,528,528,528,536,536,536,536,536,536
time,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi
2023-11-21 21:07:00,47.14,,0,40.66,,0,34.68,,0,29.18,,0,24.24,3.0,3,19.78,3.0,3,15.96,3.0,3,12.78,3.0,3,9.96,,0,7.72,,0,6.34,1.0,1,5.04,2.0,2,3.34,,0,4.84,,0,6.0,1.0,1,8.24,1.0,1,11.58,2.0,2,15.08,2.0,2,19.18,2.0,2,23.86,2.0,2,29.1,2.0,2,34.82,2.0,2,40.94,2.0,2,48.04,,0,,,,,,,,,,,,,,,,,,
2023-11-21 21:16:00,47.14,,0,40.66,,0,34.68,,0,29.18,,0,24.24,3.0,3,19.78,3.0,3,16.8,4.0,4,12.78,3.0,3,9.96,,0,7.72,,0,6.34,1.0,1,5.04,2.0,2,3.34,,0,4.84,,0,6.0,1.0,1,8.24,1.0,1,11.58,2.0,2,15.08,2.0,2,19.18,2.0,2,23.86,2.0,2,29.1,2.0,2,34.82,2.0,2,40.94,2.0,2,48.04,,0,,,,,,,,,,,,,,,,,,
2023-11-21 21:18:59,47.14,,0,40.66,,0,34.68,,0,29.18,,0,24.24,3.0,3,19.78,3.0,3,16.8,4.0,4,12.78,3.0,3,9.96,,0,7.72,,0,6.34,1.0,1,5.18,4.0,4,3.34,,0,4.84,,0,6.0,1.0,1,8.24,1.0,1,11.58,2.0,2,15.08,2.0,2,19.18,2.0,2,23.86,2.0,2,29.1,2.0,2,34.82,2.0,2,40.94,2.0,2,48.04,,0,,,,,,,,,,,,,,,,,,
2023-11-21 21:25:00,47.14,,0,40.66,,0,34.68,,0,29.18,,0,24.24,3.0,3,20.38,4.0,3,16.8,4.0,4,12.78,3.0,3,9.96,,0,8.44,1.0,1,6.48,2.0,2,5.24,6.0,5,3.34,,0,4.84,,0,6.0,1.0,1,8.24,1.0,1,11.58,2.0,2,15.08,2.0,2,19.18,2.0,2,23.86,2.0,2,29.1,2.0,2,34.82,2.0,2,40.94,2.0,2,48.04,,0,,,,,,,,,,,,,,,,,,
2023-11-21 21:27:59,47.14,,0,40.66,,0,34.68,,0,29.18,,0,24.24,3.0,3,20.38,4.0,3,16.76,5.0,4,12.78,3.0,3,10.72,2.0,2,8.48,3.0,3,6.48,2.0,2,5.24,6.0,5,3.34,,0,4.84,,0,6.0,1.0,1,8.24,1.0,1,11.58,2.0,2,15.08,2.0,2,19.18,2.0,2,23.86,2.0,2,29.1,2.0,2,34.82,2.0,2,40.94,2.0,2,48.04,,0,,,,,,,,,,,,,,,,,,
2023-11-21 21:33:00,47.14,,0,40.66,,0,34.68,,0,29.18,,0,24.24,3.0,3,20.38,4.0,3,16.76,5.0,4,13.5,5.0,4,10.72,4.0,4,8.48,3.0,3,6.48,2.0,2,5.4,7.0,4,3.34,,0,4.42,1.0,1,6.0,5.0,3,8.24,1.0,1,11.58,2.0,2,15.08,2.0,2,19.18,2.0,2,23.86,2.0,2,29.1,2.0,2,34.82,2.0,2,40.94,2.0,2,48.04,,0,,,,,,,,,,,,,,,,,,
2023-11-21 21:42:01,47.14,,0,40.66,,0,34.68,,0,29.18,,0,24.24,3.0,3,20.38,4.0,3,16.76,5.0,4,13.5,5.0,4,10.72,4.0,4,8.48,3.0,3,6.48,2.0,2,5.4,7.0,4,3.34,,0,4.42,1.0,1,6.0,5.0,3,8.24,1.0,1,11.58,2.0,2,15.08,2.0,2,19.18,2.0,2,23.86,2.0,2,29.1,2.0,2,34.82,2.0,2,40.94,2.0,2,48.04,,0,,,,,,,,,,,,,,,,,,
2023-11-21 21:51:01,47.14,,0,40.66,,0,34.68,,0,29.18,,0,24.24,3.0,3,20.38,4.0,3,16.76,5.0,4,13.5,5.0,4,10.72,4.0,4,8.48,3.0,3,6.48,2.0,2,5.4,7.0,4,3.34,,0,4.42,1.0,1,6.0,5.0,3,8.24,1.0,1,11.58,2.0,2,15.08,2.0,2,19.18,2.0,2,23.86,2.0,2,29.1,2.0,2,34.82,2.0,2,40.94,2.0,2,48.04,,0,,,,,,,,,,,,,,,,,,
