time,total_put_volume,total_call_volume,total_put_oi,total_call_oi,index_fut_close,total_fut_volume,total_fut_oi,dom,dom_put_volume,dom_call_volume,dom_put_oi,dom_call_oi,dom_fut_close,dom_fut_volume,dom_fut_oi,dom_put_volume_max1,dom_put_volume_max1_strike,dom_put_volume_max2,dom_put_volume_max2_strike,dom_put_volume_max3,dom_put_volume_max3_strike,dom_put_volume_max4,dom_put_volume_max4_strike,dom_put_volume_max5,dom_put_volume_max5_strike,dom_call_volume_max1,dom_call_volume_max1_strike,dom_call_volume_max2,dom_call_volume_max2_strike,dom_call_volume_max3,dom_call_volume_max3_strike,dom_call_volume_max4,dom_call_volume_max4_strike,dom_call_volume_max5,dom_call_volume_max5_strike,dom_put_oi_max1,dom_put_oi_max1_strike,dom_put_oi_max2,dom_put_oi_max2_strike,dom_put_oi_max3,dom_put_oi_max3_strike,dom_put_oi_max4,dom_put_oi_max4_strike,dom_put_oi_max5,dom_put_oi_max5_strike,dom_call_oi_max1,dom_call_oi_max1_strike,dom_call_oi_max2,dom_call_oi_max2_strike,dom_call_oi_max3,dom_call_oi_max3_strike,dom_call_oi_max4,dom_call_oi_max4_strike,dom_call_oi_max5,dom_call_oi_max5_strike,maxv,maxv_put_volume,maxv_call_volume,maxv_put_oi,maxv_call_oi,maxv_fut_close,maxv_fut_volume,maxv_fut_oi,maxv_put_volume_max1,maxv_put_volume_max1_strike,maxv_put_volume_max2,maxv_put_volume_max2_strike,maxv_put_volume_max3,maxv_put_volume_max3_strike,maxv_put_volume_max4,maxv_put_volume_max4_strike,maxv_put_volume_max5,maxv_put_volume_max5_strike,maxv_call_volume_max1,maxv_call_volume_max1_strike,maxv_call_volume_max2,maxv_call_volume_max2_strike,maxv_call_volume_max3,maxv_call_volume_max3_strike,maxv_call_volume_max4,maxv_call_volume_max4_strike,maxv_call_volume_max5,maxv_call_volume_max5_strike,maxv_put_oi_max1,maxv_put_oi_max1_strike,maxv_put_oi_max2,maxv_put_oi_max2_strike,maxv_put_oi_max3,maxv_put_oi_max3_strike,maxv_put_oi_max4,maxv_put_oi_max4_strike,maxv_put_oi_max5,maxv_put_oi_max5_strike,maxv_call_oi_max1,maxv_call_oi_max1_strike,maxv_call_oi_max2,maxv_call_oi_max2_strike,maxv_call_oi_max3,maxv_call_oi_max3_strike,maxv_call_oi_max4,maxv_call_oi_max4_strike,maxv_call_oi_max5,maxv_call_oi_max5_strike
2023-08-15 21:06:30,46.0,36.0,11433.0,7750.0,11313.345767992718,1066.0,106557.0,br2401,10.0,13.0,6906.0,5557.0,11330.0,905.0,69778.0,3.0,9300.0,2.0,9400.0,2.0,9200.0,2.0,9100.0,1.0,9600.0,4.0,11600.0,4.0,12000.0,2.0,11400.0,2.0,12600.0,1.0,11800.0,727.0,9100.0,716.0,9300.0,631.0,10000.0,471.0,9200.0,449.0,9800.0,963.0,11600.0,749.0,12400.0,659.0,13200.0,497.0,12800.0,345.0,12000.0,br2401,10.0,13.0,6906.0,5557.0,11330.0,905.0,69778.0,3.0,9300.0,2.0,9400.0,2.0,9200.0,2.0,9100.0,1.0,9600.0,4.0,11600.0,4.0,12000.0,2.0,11400.0,2.0,12600.0,1.0,11800.0,727.0,9100.0,716.0,9300.0,631.0,10000.0,471.0,9200.0,449.0,9800.0,963.0,11600.0,749.0,12400.0,659.0,13200.0,497.0,12800.0,345.0,12000.0
2023-08-15 21:13:30,272.0,312.0,11531.0,7906.0,11328.161910117626,1718.0,106695.0,br2401,127.0,260.0,6930.0,5702.0,11345.0,1392.0,69848.0,57.0,11600.0,27.0,10200.0,11.0,12600.0,10.0,9500.0,5.0,11200.0,110.0,11600.0,53.0,12000.0,31.0,12600.0,21.0,12800.0,13.0,11400.0,727.0,9100.0,716.0,9300.0,632.0,10000.0,471.0,9200.0,449.0,9800.0,1063.0,11600.0,749.0,12400.0,663.0,13200.0,498.0,12800.0,379.0,12000.0,br2401,127.0,260.0,6930.0,5702.0,11345.0,1392.0,69848.0,57.0,11600.0,27.0,10200.0,11.0,12600.0,10.0,9500.0,5.0,11200.0,110.0,11600.0,53.0,12000.0,31.0,12600.0,21.0,12800.0,13.0,11400.0,727.0,9100.0,716.0,9300.0,632.0,10000.0,471.0,9200.0,449.0,9800.0,1063.0,11600.0,749.0,12400.0,663.0,13200.0,498.0,12800.0,379.0,12000.0
2023-08-15 21:23:30,708.0,439.0,11686.0,7936.0,11323.205989705197,2447.0,106850.0,br2401,255.0,353.0,6990.0,5722.0,11340.0,1856.0,69910.0,77.0,10200.0,77.0,11600.0,38.0,10000.0,21.0,12600.0,10.0,9500.0,124.0,11600.0,58.0,12000.0,52.0,12600.0,28.0,12800.0,21.0,12400.0,727.0,9100.0,716.0,9300.0,648.0,10000.0,471.0,9200.0,449.0,9800.0,1063.0,11600.0,750.0,12400.0,667.0,13200.0,504.0,12800.0,379.0,12000.0,br2401,255.0,353.0,6990.0,5722.0,11340.0,1856.0,69910.0,77.0,10200.0,77.0,11600.0,38.0,10000.0,21.0,12600.0,10.0,9500.0,124.0,11600.0,58.0,12000.0,52.0,12600.0,28.0,12800.0,21.0,12400.0,727.0,9100.0,716.0,9300.0,648.0,10000.0,471.0,9200.0,449.0,9800.0,1063.0,11600.0,750.0,12400.0,667.0,13200.0,504.0,12800.0,379.0,12000.0
2023-08-15 21:33:31,815.0,507.0,11719.0,7945.0,11313.323433115062,2827.0,106900.0,br2401,309.0,387.0,7005.0,5721.0,11330.0,2132.0,69941.0,82.0,11600.0,78.0,10200.0,48.0,10000.0,21.0,12600.0,15.0,9900.0,126.0,11600.0,62.0,12600.0,58.0,12000.0,41.0,12800.0,21.0,12400.0,727.0,9100.0,719.0,9300.0,648.0,10000.0,472.0,9200.0,449.0,9800.0,1063.0,11600.0,750.0,12400.0,668.0,13200.0,502.0,12800.0,379.0,12000.0,br2401,309.0,387.0,7005.0,5721.0,11330.0,2132.0,69941.0,82.0,11600.0,78.0,10200.0,48.0,10000.0,21.0,12600.0,15.0,9900.0,126.0,11600.0,62.0,12600.0,58.0,12000.0,41.0,12800.0,21.0,12400.0,727.0,9100.0,719.0,9300.0,648.0,10000.0,472.0,9200.0,449.0,9800.0,1063.0,11600.0,750.0,12400.0,668.0,13200.0,502.0,12800.0,379.0,12000.0
2023-08-15 21:36:31,883.0,563.0,11704.0,7959.0,11321.531977559607,2957.0,106950.0,br2401,350.0,433.0,6988.0,5733.0,11340.0,2216.0,69964.0,87.0,11600.0,78.0,10200.0,54.0,10000.0,21.0,12600.0,18.0,11200.0,138.0,11600.0,62.0,12600.0,58.0,12000.0,52.0,12800.0,21.0,12400.0,727.0,9100.0,719.0,9300.0,647.0,10000.0,472.0,9200.0,449.0,9800.0,1063.0,11600.0,750.0,12400.0,668.0,13200.0,507.0,12800.0,379.0,12000.0,br2401,350.0,433.0,6988.0,5733.0,11340.0,2216.0,69964.0,87.0,11600.0,78.0,10200.0,54.0,10000.0,21.0,12600.0,18.0,11200.0,138.0,11600.0,62.0,12600.0,58.0,12000.0,52.0,12800.0,21.0,12400.0,727.0,9100.0,719.0,9300.0,647.0,10000.0,472.0,9200.0,449.0,9800.0,1063.0,11600.0,750.0,12400.0,668.0,13200.0,507.0,12800.0,379.0,12000.0
2023-08-15 21:38:31,884.0,563.0,11705.0,7959.0,11321.531114124082,2971.0,106945.0,br2401,350.0,433.0,6988.0,5733.0,11340.0,2230.0,69959.0,87.0,11600.0,78.0,10200.0,54.0,10000.0,21.0,12600.0,18.0,11200.0,138.0,11600.0,62.0,12600.0,58.0,12000.0,52.0,12800.0,21.0,12400.0,727.0,9100.0,719.0,9300.0,647.0,10000.0,472.0,9200.0,449.0,9800.0,1063.0,11600.0,750.0,12400.0,668.0,13200.0,507.0,12800.0,379.0,12000.0,br2401,350.0,433.0,6988.0,5733.0,11340.0,2230.0,69959.0,87.0,11600.0,78.0,10200.0,54.0,10000.0,21.0,12600.0,18.0,11200.0,138.0,11600.0,62.0,12600.0,58.0,12000.0,52.0,12800.0,21.0,12400.0,727.0,9100.0,719.0,9300.0,647.0,10000.0,472.0,9200.0,449.0,9800.0,1063.0,11600.0,750.0,12400.0,668.0,13200.0,507.0,12800.0,379.0,12000.0
2023-08-15 21:48:31,1198.0,725.0,11846.0,7971.0,11308.388140992703,3339.0,107041.0,br2401,635.0,583.0,7111.0,5748.0,11325.0,2521.0,70044.0,100.0,11600.0,100.0,9500.0,94.0,10200.0,66.0,10000.0,59.0,9400.0,164.0,11600.0,81.0,12800.0,69.0,12600.0,63.0,12000.0,42.0,12400.0,727.0,9100.0,719.0,9300.0,652.0,10000.0,472.0,9200.0,448.0,9800.0,1063.0,11600.0,752.0,12400.0,669.0,13200.0,502.0,12800.0,379.0,12000.0,br2401,635.0,583.0,7111.0,5748.0,11325.0,2521.0,70044.0,100.0,11600.0,100.0,9500.0,94.0,10200.0,66.0,10000.0,59.0,9400.0,164.0,11600.0,81.0,12800.0,69.0,12600.0,63.0,12000.0,42.0,12400.0,727.0,9100.0,719.0,9300.0,652.0,10000.0,472.0,9200.0,448.0,9800.0,1063.0,11600.0,752.0,12400.0,669.0,13200.0,502.0,12800.0,379.0,12000.0
2023-08-15 21:57:31,1407.0,812.0,11873.0,7965.0,11305.104143326613,3939.0,107112.0,br2401,757.0,640.0,7125.0,5725.0,11320.0,2967.0,70056.0,150.0,9500.0,106.0,11600.0,94.0,10200.0,74.0,10000.0,59.0,9400.0,168.0,11600.0,81.0,12800.0,71.0,12600.0,64.0,12000.0,58.0,12400.0,727.0,9100.0,719.0,9300.0,647.0,10000.0,472.0,9200.0,448.0,9800.0,1063.0,11600.0,750.0,12400.0,664.0,13200.0,502.0,12800.0,380.0,12000.0,br2401,757.0,640.0,7125.0,5725.0,11320.0,2967.0,70056.0,150.0,9500.0,106.0,11600.0,94.0,10200.0,74.0,10000.0,59.0,9400.0,168.0,11600.0,81.0,12800.0,71.0,12600.0,64.0,12000.0,58.0,12400.0,727.0,9100.0,719.0,9300.0,647.0,10000.0,472.0,9200.0,448.0,9800.0,1063.0,11600.0,750.0,12400.0,664.0,13200.0,502.0,12800.0,380.0,12000.0
2023-08-15 22:08:31,1596.0,946.0,11904.0,7938.0,11301.741867346558,5457.0,107468.0,br2401,903.0,760.0,7148.0,5696.0,11320.0,4058.0,70239.0,169.0,9500.0,108.0,10200.0,107.0,11600.0,105.0,10000.0,75.0,9900.0,171.0,11600.0,94.0,12800.0,91.0,12600.0,70.0,12400.0,69.0,13200.0,727.0,9100.0,724.0,9300.0,638.0,10000.0,475.0,9200.0,452.0,9900.0,1063.0,11600.0,745.0,12400.0,668.0,13200.0,495.0,12800.0,379.0,12000.0,br2401,903.0,760.0,7148.0,5696.0,11320.0,4058.0,70239.0,169.0,9500.0,108.0,10200.0,107.0,11600.0,105.0,10000.0,75.0,9900.0,171.0,11600.0,94.0,12800.0,91.0,12600.0,70.0,12400.0,69.0,13200.0,727.0,9100.0,724.0,9300.0,638.0,10000.0,475.0,9200.0,452.0,9900.0,1063.0,11600.0,745.0,12400.0,668.0,13200.0,495.0,12800.0,379.0,12000.0
2023-08-15 22:18:32,1628.0,978.0,11911.0,7953.0,11293.503908067369,5651.0,107470.0,br2401,909.0,792.0,7149.0,5711.0,11310.0,4192.0,70236.0,169.0,9500.0,109.0,10200.0,107.0,11600.0,105.0,10000.0,75.0,9900.0,172.0,11600.0,97.0,12800.0,91.0,13200.0,91.0,12600.0,70.0,12400.0,727.0,9100.0,724.0,9300.0,638.0,10000.0,475.0,9200.0,452.0,9900.0,1063.0,11600.0,745.0,12400.0,683.0,13200.0,493.0,12800.0,381.0,12000.0,br2401,909.0,792.0,7149.0,5711.0,11310.0,4192.0,70236.0,169.0,9500.0,109.0,10200.0,107.0,11600.0,105.0,10000.0,75.0,9900.0,172.0,11600.0,97.0,12800.0,91.0,13200.0,91.0,12600.0,70.0,12400.0,727.0,9100.0,724.0,9300.0,638.0,10000.0,475.0,9200.0,452.0,9900.0,1063.0,11600.0,745.0,12400.0,683.0,13200.0,493.0,12800.0,381.0,12000.0
