time,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P,C,C,C,P,P,P
time,60000,60000,60000,61000,61000,61000,62000,62000,62000,63000,63000,63000,64000,64000,64000,65000,65000,65000,66000,66000,66000,67000,67000,67000,68000,68000,68000,69000,69000,69000,70000,70000,70000,71000,71000,71000,72000,72000,72000,73000,73000,73000,60000,60000,60000,61000,61000,61000,62000,62000,62000,63000,63000,63000,64000,64000,64000,65000,65000,65000,66000,66000,66000,67000,67000,67000,68000,68000,68000,69000,69000,69000,70000,70000,70000,71000,71000,71000,72000,72000,72000,73000,73000,73000,59000,59000,59000,59000,59000,59000,74000,74000,74000,74000,74000,74000,75000,75000,75000,75000,75000,75000,76000,76000,76000,76000,76000,76000
time,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi
2023-10-12 21:05:10,6908,,0,6106,,0,5352,,0,4650,,0,4002,,0,3412,,0,2882,,0,2410,,0,1996,,0,1638,,0,1330,,0,1070,,0,852,,0,672,,0,536,,0,730,,0,972,,0,1266,,0,1614,,0,2020,,0,2484,,0,3008,,0,3588,,0,4224,,0,4912,,0,5646,,0,6424,,0,7242,,0,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-12 21:07:10,6908,,0,6106,,0,5352,,0,4650,,0,4002,,0,3412,,0,2882,,0,2410,,0,1996,,0,1638,,0,1330,,0,1070,,0,852,,0,672,,0,536,,0,730,,0,972,,0,1266,,0,1614,,0,2020,,0,2484,,0,3008,,0,3588,,0,4224,,0,4912,,0,5646,,0,6424,,0,7242,,0,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-12 21:13:10,6908,,0,6106,,0,5352,,0,4650,,0,4002,,0,3412,,0,2882,,0,2410,,0,1996,,0,1638,,0,1330,,0,1070,,0,852,,0,672,,0,536,,0,730,,0,972,,0,1266,,0,1614,,0,2020,,0,2484,,0,3008,,0,3588,,0,4224,,0,4912,,0,5646,,0,6424,,0,7242,,0,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-12 21:15:11,6908,,0,6106,,0,5352,,0,4650,,0,4002,,0,3412,,0,2882,,0,2410,,0,1996,,0,1638,,0,1330,,0,1070,,0,852,,0,672,,0,536,,0,730,,0,972,,0,1266,,0,1614,,0,2020,,0,2484,,0,3008,,0,3588,,0,4224,,0,4912,,0,5646,,0,6424,,0,7242,,0,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-12 21:21:10,6908,,0,6106,,0,5352,,0,4650,,0,4002,,0,3412,,0,2882,,0,2410,,0,1996,,0,1638,,0,1330,,0,1070,,0,852,,0,672,,0,536,,0,730,,0,972,,0,1266,,0,1614,,0,2020,,0,2484,,0,3008,,0,3588,,0,4224,,0,4912,,0,5646,,0,6424,,0,7242,,0,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-12 21:24:11,6908,,0,6106,,0,5352,,0,4650,,0,4002,,0,3412,,0,2882,,0,2410,,0,1996,,0,1638,,0,1330,,0,1070,,0,852,,0,672,,0,536,,0,730,,0,972,,0,1266,,0,1614,,0,2020,,0,2484,,0,3008,,0,3588,,0,4224,,0,4912,,0,5646,,0,6424,,0,7242,,0,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-12 21:29:10,6908,,0,6106,,0,5352,,0,4650,,0,4002,,0,3412,,0,2882,,0,2410,,0,1996,,0,1638,,0,1330,,0,1070,,0,852,,0,672,,0,552,6.0,5,746,4.0,2,870,3.0,2,1266,,0,1614,,0,2020,,0,2484,,0,3008,,0,3588,,0,4224,,0,4912,,0,5646,,0,6424,,0,7242,,0,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-12 21:32:11,6908,,0,6106,,0,5352,,0,4650,,0,4002,,0,3412,,0,2882,,0,2410,,0,1996,,0,1638,,0,1330,,0,1070,,0,852,,0,672,,0,620,9.0,6,746,5.0,3,870,3.0,2,1120,2.0,2,1614,,0,2020,,0,2484,,0,3008,,0,3588,,0,4224,,0,4912,,0,5646,,0,6424,,0,7242,,0,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-12 21:40:11,6908,,0,6106,,0,5352,,0,4650,,0,4002,,0,3412,,0,2882,,0,1988,2.0,2,1578,2.0,2,1256,1.0,1,970,1.0,1,756,1.0,1,592,1.0,1,464,1.0,1,576,20.0,10,714,19.0,11,896,5.0,4,1120,3.0,3,1414,1.0,1,2020,,0,2484,,0,2686,1.0,1,3266,1.0,1,3916,1.0,1,4632,1.0,1,5646,,0,6424,,0,7242,,0,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-12 21:49:12,6908,,0,6106,,0,5352,,0,4650,,0,4002,,0,3412,,0,2882,,0,1988,2.0,2,1578,2.0,2,1256,1.0,1,970,1.0,1,756,1.0,1,592,1.0,1,454,2.0,2,580,42.0,21,736,43.0,25,936,19.0,9,1154,7.0,5,1414,1.0,1,2020,,0,2484,,0,2686,1.0,1,3266,1.0,1,3916,1.0,1,4632,1.0,1,5646,,0,6424,,0,7242,,0,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-12 21:57:12,6908,,0,6106,,0,5352,,0,4650,,0,4002,,0,3412,,0,2882,,0,1988,2.0,2,1578,2.0,2,1256,1.0,1,970,1.0,1,756,1.0,1,592,1.0,1,454,2.0,2,630,57.0,29,758,53.0,29,936,19.0,9,1154,7.0,5,1414,1.0,1,2020,,0,2484,,0,2686,1.0,1,3266,1.0,1,3916,1.0,1,4632,1.0,1,5646,,0,6424,,0,7242,,0,,,,,,,,,,,,,,,,,,,,,,,,
