time,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
time,10000,10000,10000,10250,10250,10250,10500,10500,10500,10750,10750,10750,11000,11000,11000,11250,11250,11250,11500,11500,11500,11750,11750,11750,12000,12000,12000,12250,12250,12250,12500,12500,12500,12750,12750,12750,13000,13000,13000,13250,13250,13250,13500,13500,13500,13750,13750,13750,14000,14000,14000,14250,14250,14250,14500,14500,14500,14750,14750,14750,15000,15000,15000,15250,15250,15250,10000,10000,10000,10250,10250,10250,10500,10500,10500,10750,10750,10750,11000,11000,11000,11250,11250,11250,11500,11500,11500,11750,11750,11750,12000,12000,12000,12250,12250,12250,12500,12500,12500,12750,12750,12750,13000,13000,13000,13250,13250,13250,13500,13500,13500,13750,13750,13750,14000,14000,14000,14250,14250,14250,14500,14500,14500,14750,14750,14750,15000,15000,15000,15250,15250,15250
time,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi,close,volume,oi
2023-08-15 15:00:00,1830,,112,1590,,80,1327,,93,1080,,110,839,,158,571,,156,345,,294,149,,547,56,,3660,19,,5499,9,,7272,4,,3757,3,,13787,2,,2403,1,,3930,1,,1233,1,,5346,1,,1332,1,,1040,1,,592,1,,1880,1,,6668,1,,775,1,,754,2,,530,2,,598,2,,1613,6,,1888,13,,2583,62,,2546,218,,1551,442,,924,674,,1028,927,,263,1180,,564,1425,,175,1679,,43,1929,,156,2170,,141,2420,,92,2670,,32,2920,,15,3170,,14,3420,,3
2023-08-15 21:04:30,1830,,112,1590,,80,1327,,93,1080,,110,839,,158,571,,156,345,,294,153,17.0,558,58,86.0,3675,19,46.0,5501,8,1.0,7272,4,,3757,3,52.0,13737,3,89.0,2411,1,1.0,3930,1,,1233,1,,5346,1,,1332,1,,1040,1,,592,1,,1880,1,,6668,1,1.0,775,1,,754,2,,530,2,,598,2,,1613,4,1.0,1887,14,55.0,2580,63,12.0,2546,218,3.0,1551,442,,924,674,,1028,927,,263,1180,,564,1425,,175,1679,,43,1929,,156,2170,,141,2420,,92,2670,,32,2920,,15,3170,,14,3420,,3
2023-08-15 21:06:30,1830,,112,1590,,80,1327,,93,1080,,110,839,,158,571,,156,345,,294,151,22.0,558,55,102.0,3684,19,54.0,5501,9,13.0,7268,4,,3757,3,52.0,13737,3,108.0,2430,2,6.0,3925,1,,1233,2,3.0,5346,1,,1332,1,12.0,1052,1,11.0,602,1,98.0,1877,1,,6668,1,1.0,775,1,,754,2,,530,2,,598,2,,1613,4,1.0,1887,14,65.0,2586,65,32.0,2545,218,3.0,1551,442,,924,674,,1028,927,,263,1180,,564,1421,8.0,183,1671,2.0,45,1929,,156,2170,,141,2420,,92,2670,,32,2920,,15,3170,,14,3420,,3
2023-08-15 21:13:30,1839,2.0,112,1567,3.0,79,1327,,93,1066,2.0,110,847,13.0,159,571,2.0,156,355,11.0,295,153,54.0,547,56,250.0,3765,18,212.0,5561,10,115.0,7294,4,41.0,3769,2,65.0,13739,3,108.0,2430,2,6.0,3925,1,,1233,2,3.0,5346,1,,1332,1,27.0,1052,1,22.0,602,1,100.0,1877,1,,6668,1,1.0,775,1,,754,2,,530,2,,598,2,,1613,4,1.0,1887,13,129.0,2574,62,138.0,2554,215,67.0,1546,423,10.0,924,673,16.0,1028,918,5.0,263,1175,4.0,564,1415,10.0,183,1666,6.0,49,1929,,156,2170,,141,2420,,92,2670,,32,2920,,15,3170,,14,3420,,3
2023-08-15 21:23:30,1839,2.0,112,1591,13.0,85,1343,2.0,95,1093,4.0,112,842,15.0,159,579,4.0,156,350,13.0,295,157,115.0,550,64,558.0,3880,23,411.0,5640,11,217.0,7322,5,97.0,3804,3,163.0,13765,3,146.0,2423,2,26.0,3907,1,,1233,2,3.0,5346,1,,1332,1,27.0,1052,1,22.0,602,1,110.0,1882,1,1.0,6668,1,1.0,775,1,,754,2,,530,2,,598,2,,1613,6,11.0,1890,14,248.0,2612,60,241.0,2562,213,155.0,1520,431,14.0,924,683,25.0,1028,909,6.0,263,1175,4.0,564,1412,11.0,184,1660,22.0,63,1929,,156,2170,,141,2420,,92,2670,,32,2920,,15,3170,,14,3420,,3
2023-08-15 21:33:31,1839,2.0,112,1591,13.0,85,1343,2.0,95,1093,4.0,112,842,15.0,159,579,4.0,156,350,13.0,295,149,141.0,559,56,674.0,3853,20,529.0,5637,10,312.0,7307,5,198.0,3805,3,282.0,13809,3,154.0,2423,2,41.0,3892,1,,1233,2,28.0,5328,1,,1332,1,28.0,1053,1,22.0,602,1,110.0,1882,1,6.0,6668,1,1.0,775,1,,754,2,,530,2,,598,2,,1613,6,11.0,1890,13,284.0,2620,60,280.0,2565,219,170.0,1516,432,17.0,924,674,28.0,1028,914,10.0,263,1175,4.0,564,1413,12.0,184,1661,24.0,65,1929,,156,2170,,141,2420,,92,2670,,32,2920,,15,3170,,14,3420,,3
2023-08-15 21:36:31,1839,2.0,112,1584,14.0,85,1343,2.0,95,1093,4.0,112,842,15.0,159,579,4.0,156,346,14.0,296,148,144.0,562,55,726.0,3847,19,549.0,5635,10,312.0,7307,5,198.0,3805,3,368.0,13803,3,154.0,2423,2,41.0,3892,1,,1233,2,28.0,5328,1,,1332,1,28.0,1053,1,22.0,602,1,110.0,1882,1,6.0,6668,1,1.0,775,1,,754,2,,530,2,,598,2,,1613,6,11.0,1890,14,288.0,2621,61,284.0,2565,220,172.0,1516,432,19.0,922,676,31.0,1028,914,10.0,263,1175,4.0,564,1413,12.0,184,1661,24.0,65,1929,,156,2170,,141,2420,,92,2670,,32,2920,,15,3170,,14,3420,,3
2023-08-15 21:38:31,1839,2.0,112,1584,14.0,85,1343,2.0,95,1093,4.0,112,842,15.0,159,579,4.0,156,346,14.0,296,144,157.0,571,53,754.0,3843,19,563.0,5635,9,318.0,7313,4,206.0,3805,3,372.0,13803,3,154.0,2423,2,41.0,3892,1,,1233,2,28.0,5328,1,,1332,1,28.0,1053,1,22.0,602,1,110.0,1882,1,6.0,6668,1,1.0,775,1,,754,2,,530,2,,598,3,2.0,1611,5,14.0,1892,13,352.0,2631,60,404.0,2558,216,176.0,1516,432,19.0,922,676,31.0,1028,914,10.0,263,1175,4.0,564,1413,12.0,184,1669,25.0,66,1929,,156,2170,,141,2420,,92,2670,,32,2920,,15,3170,,14,3420,,3
