time,etf_price,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,etf_price,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
time,etf_price,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv
2023-09-20 10:41:14,3.781,0.481,77.0,1346.0,20.76,0.0294,163.0,3567.0,15.23,0.4002,72.0,1809.0,19.74,0.0475,111.0,5170.0,15.09,0.3261,164.0,2013.0,18.93,0.0721,187.0,8278.0,14.86,0.2608,97.0,2063.0,18.4,0.1052,284.0,4791.0,14.63,0.2054,150.0,4277.0,18.1,0.1483,148.0,4499.0,14.47,0.1583,176.0,4043.0,17.86,0.1998,174.0,3690.0,14.17,0.1226,249.0,6943.0,17.97,0.2605,234.0,2948.0,13.81,0.0913,15.0,4185.0,17.82,0.3292,21.0,1137.0,13.28,0.068,119.0,3394.0,17.85,0.0,0.0,526.0,12.48,0.0505,66.0,2429.0,17.97,0.0,0.0,428.0,14.62,0.0373,315.0,8947.0,18.1,0.5726,2.0,522.0,0.0,0.0283,343.0,8204.0,18.42,0.6583,1.0,745.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-20 10:50:38,3.783,0.481,77.0,1346.0,20.56,0.0296,164.0,3567.0,15.31,0.4002,72.0,1809.0,19.57,0.0475,111.0,5170.0,15.12,0.327,165.0,2014.0,18.88,0.0721,187.0,8278.0,14.92,0.2624,98.0,2064.0,18.43,0.1052,284.0,4791.0,14.7,0.2054,150.0,4277.0,18.01,0.1483,148.0,4499.0,14.55,0.1583,176.0,4043.0,17.77,0.1984,196.0,3700.0,14.14,0.1226,249.0,6943.0,17.89,0.2592,235.0,2948.0,13.81,0.0913,15.0,4185.0,17.75,0.3292,21.0,1137.0,13.46,0.068,119.0,3394.0,17.8,0.0,0.0,526.0,12.74,0.0505,66.0,2429.0,17.91,0.0,0.0,428.0,14.89,0.0373,332.0,8963.0,18.05,0.5726,2.0,522.0,0.0,0.0284,367.0,8204.0,18.41,0.6577,7.0,751.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-20 10:59:59,3.782,0.4805,82.0,1351.0,20.59,0.0299,170.0,3573.0,15.34,0.4,84.0,1819.0,19.63,0.0473,140.0,5195.0,15.12,0.3267,174.0,2019.0,18.86,0.0722,194.0,8284.0,14.93,0.2615,164.0,2124.0,18.41,0.1058,289.0,4796.0,14.76,0.2056,163.0,4278.0,18.02,0.1483,154.0,4503.0,14.55,0.1582,181.0,4048.0,17.81,0.2003,201.0,3704.0,14.32,0.1226,249.0,6943.0,17.93,0.2592,235.0,2948.0,13.81,0.0915,17.0,4187.0,17.77,0.3291,22.0,1137.0,13.37,0.068,119.0,3394.0,17.8,0.0,0.0,526.0,12.61,0.0505,66.0,2429.0,17.94,0.0,0.0,428.0,14.89,0.0371,352.0,8973.0,18.02,0.5726,2.0,522.0,0.0,0.0279,418.0,8215.0,18.3,0.6577,7.0,751.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-20 11:09:24,3.783,0.4821,87.0,1356.0,20.7,0.0299,175.0,3578.0,15.37,0.4008,89.0,1824.0,19.64,0.0474,145.0,5200.0,15.14,0.3269,179.0,2023.0,18.87,0.0722,199.0,8289.0,14.93,0.2615,169.0,2128.0,18.35,0.1049,296.0,4801.0,14.67,0.2057,168.0,4278.0,18.03,0.1474,161.0,4508.0,14.47,0.1588,186.0,4053.0,17.82,0.1988,206.0,3709.0,14.17,0.1226,249.0,6943.0,17.89,0.2592,235.0,2948.0,13.81,0.0915,17.0,4187.0,17.77,0.3291,22.0,1137.0,13.45,0.0683,121.0,3394.0,17.83,0.0,0.0,526.0,12.74,0.0508,67.0,2429.0,17.96,0.0,0.0,428.0,14.89,0.0371,352.0,8973.0,18.02,0.5726,2.0,522.0,0.0,0.0283,442.0,8215.0,18.37,0.6577,7.0,751.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-20 11:18:44,3.785,0.4817,92.0,1361.0,20.54,0.0299,180.0,3578.0,15.38,0.4002,94.0,1829.0,19.48,0.0474,151.0,5201.0,15.19,0.3276,190.0,2028.0,18.8,0.0722,205.0,8294.0,14.95,0.2621,176.0,2132.0,18.29,0.105,313.0,4815.0,14.72,0.2054,173.0,4278.0,17.96,0.1476,169.0,4514.0,14.53,0.1583,201.0,4068.0,17.73,0.1991,212.0,3713.0,14.31,0.1226,249.0,6943.0,17.85,0.2589,236.0,2948.0,13.84,0.0909,21.0,4191.0,17.68,0.3267,28.0,1142.0,13.26,0.068,129.0,3394.0,17.74,0.0,0.0,526.0,12.87,0.0506,80.0,2424.0,17.9,0.0,0.0,428.0,15.04,0.0372,353.0,8974.0,18.02,0.5726,2.0,522.0,0.0,0.0283,442.0,8215.0,18.36,0.66,8.0,752.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-20 11:28:05,3.785,0.4825,107.0,1371.0,20.43,0.0295,195.0,3588.0,15.34,0.4011,104.0,1839.0,19.41,0.0469,161.0,5211.0,15.11,0.3285,205.0,2039.0,18.9,0.0716,215.0,8303.0,14.92,0.2627,187.0,2136.0,18.29,0.1044,333.0,4825.0,14.73,0.206,205.0,4300.0,17.91,0.1467,180.0,4524.0,14.49,0.1593,212.0,4078.0,17.74,0.1984,223.0,3723.0,14.25,0.1226,249.0,6943.0,17.78,0.2589,236.0,2948.0,13.98,0.0909,21.0,4191.0,17.65,0.3267,28.0,1142.0,13.34,0.0685,134.0,3394.0,17.8,0.0,0.0,526.0,12.99,0.0506,80.0,2424.0,17.87,0.0,0.0,428.0,15.16,0.0372,353.0,8974.0,17.99,0.5726,2.0,522.0,8.59,0.0283,443.0,8215.0,18.31,0.66,8.0,752.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-20 11:36:33,3.785,0.4825,107.0,1371.0,20.53,0.0295,195.0,3588.0,15.34,0.4011,104.0,1839.0,19.49,0.0469,161.0,5211.0,15.11,0.3285,205.0,2039.0,18.9,0.0716,215.0,8303.0,14.92,0.2627,187.0,2136.0,18.34,0.1044,333.0,4825.0,14.7,0.206,205.0,4300.0,17.96,0.1467,180.0,4524.0,14.49,0.1593,212.0,4078.0,17.78,0.1972,243.0,3723.0,14.14,0.1226,249.0,6943.0,17.82,0.2589,236.0,2948.0,13.91,0.0909,21.0,4191.0,17.65,0.3267,28.0,1142.0,13.34,0.0685,134.0,3394.0,17.8,0.0,0.0,526.0,12.99,0.0506,80.0,2424.0,17.87,0.0,0.0,428.0,15.16,0.0372,353.0,8974.0,17.99,0.5726,2.0,522.0,6.25,0.0283,443.0,8215.0,18.33,0.66,8.0,752.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-20 13:34:04,3.785,0.4834,127.0,1391.0,20.76,0.0296,325.0,3661.0,15.33,0.4018,124.0,1859.0,19.67,0.0472,202.0,5232.0,15.14,0.3285,228.0,2058.0,18.97,0.0721,251.0,8327.0,14.94,0.2645,232.0,2162.0,18.58,0.1047,416.0,4824.0,14.69,0.2061,235.0,4311.0,18.02,0.1475,224.0,4551.0,14.51,0.1593,257.0,4109.0,17.82,0.1987,305.0,3749.0,14.22,0.1215,264.0,6948.0,17.75,0.2591,387.0,2944.0,13.87,0.0916,25.0,4189.0,17.75,0.329,43.0,1153.0,13.53,0.0685,186.0,3395.0,17.82,0.0,0.0,526.0,12.87,0.0508,97.0,2424.0,17.92,0.0,0.0,428.0,15.04,0.0375,384.0,8995.0,18.07,0.5726,2.0,522.0,0.0,0.0286,1034.0,8314.0,18.41,0.66,8.0,752.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
