time,dom1,dom2,dom3,dom4
2019-12-23,300ETF2001,300ETF2002,300ETF2003,300ETF2006
2019-12-24,300ETF2001,300ETF2002,300ETF2003,300ETF2006
2019-12-25,300ETF2001,300ETF2002,300ETF2003,300ETF2006
2019-12-26,300ETF2001,300ETF2002,300ETF2003,300ETF2006
2019-12-27,300ETF2001,300ETF2002,300ETF2003,300ETF2006
2019-12-30,300ETF2001,300ETF2002,300ETF2003,300ETF2006
2019-12-31,300ETF2001,300ETF2002,300ETF2003,300ETF2006
2020-01-02,300ETF2001,300ETF2002,300ETF2003,300ETF2006
2020-01-03,300ETF2001,300ETF2002,300ETF2003,300ETF2006
2020-01-06,300ETF2001,300ETF2002,300ETF2003,300ETF2006
2020-01-07,300ETF2001,300ETF2002,300ETF2003,300ETF2006
2020-01-08,300ETF2001,300ETF2002,300ETF2003,300ETF2006
2020-01-09,300ETF2001,300ETF2002,300ETF2003,300ETF2006
2020-01-10,300ETF2001,300ETF2002,300ETF2003,300ETF2006
2020-01-13,300ETF2001,300ETF2002,300ETF2003,300ETF2006
2020-01-14,300ETF2001,300ETF2002,300ETF2003,300ETF2006
2020-01-15,300ETF2001,300ETF2002,300ETF2003,300ETF2006
2020-01-16,300ETF2001,300ETF2002,300ETF2003,300ETF2006
2020-01-17,300ETF2001,300ETF2002,300ETF2003,300ETF2006
2020-01-20,300ETF2001,300ETF2002,300ETF2003,300ETF2006
2020-01-21,300ETF2001,300ETF2002,300ETF2003,300ETF2006
2020-01-22,300ETF2002,300ETF2003,300ETF2006,
2020-01-23,300ETF2002,300ETF2003,300ETF2006,300ETF2009
2020-02-03,300ETF2002,300ETF2003,300ETF2006,300ETF2009
2020-02-04,300ETF2002,300ETF2003,300ETF2006,300ETF2009
2020-02-05,300ETF2002,300ETF2003,300ETF2006,300ETF2009
2020-02-06,300ETF2002,300ETF2003,300ETF2006,300ETF2009
2020-02-07,300ETF2002,300ETF2003,300ETF2006,300ETF2009
2020-02-10,300ETF2002,300ETF2003,300ETF2006,300ETF2009
2020-02-11,300ETF2002,300ETF2003,300ETF2006,300ETF2009
2020-02-12,300ETF2002,300ETF2003,300ETF2006,300ETF2009
2020-02-13,300ETF2002,300ETF2003,300ETF2006,300ETF2009
2020-02-14,300ETF2002,300ETF2003,300ETF2006,300ETF2009
2020-02-17,300ETF2002,300ETF2003,300ETF2006,300ETF2009
2020-02-18,300ETF2002,300ETF2003,300ETF2006,300ETF2009
2020-02-19,300ETF2002,300ETF2003,300ETF2006,300ETF2009
2020-02-20,300ETF2002,300ETF2003,300ETF2006,300ETF2009
2020-02-21,300ETF2002,300ETF2003,300ETF2006,300ETF2009
2020-02-24,300ETF2002,300ETF2003,300ETF2006,300ETF2009
2020-02-25,300ETF2002,300ETF2003,300ETF2006,300ETF2009
2020-02-26,300ETF2003,300ETF2006,300ETF2009,
2020-02-27,300ETF2003,300ETF2004,300ETF2006,300ETF2009
2020-02-28,300ETF2003,300ETF2004,300ETF2006,300ETF2009
2020-03-02,300ETF2003,300ETF2004,300ETF2006,300ETF2009
2020-03-03,300ETF2003,300ETF2004,300ETF2006,300ETF2009
2020-03-04,300ETF2003,300ETF2004,300ETF2006,300ETF2009
2020-03-05,300ETF2003,300ETF2004,300ETF2006,300ETF2009
2020-03-06,300ETF2003,300ETF2004,300ETF2006,300ETF2009
2020-03-09,300ETF2003,300ETF2004,300ETF2006,300ETF2009
2020-03-10,300ETF2003,300ETF2004,300ETF2006,300ETF2009
2020-03-11,300ETF2003,300ETF2004,300ETF2006,300ETF2009
2020-03-12,300ETF2003,300ETF2004,300ETF2006,300ETF2009
2020-03-13,300ETF2003,300ETF2004,300ETF2006,300ETF2009
2020-03-16,300ETF2003,300ETF2004,300ETF2006,300ETF2009
2020-03-17,300ETF2003,300ETF2004,300ETF2006,300ETF2009
2020-03-18,300ETF2003,300ETF2004,300ETF2006,300ETF2009
2020-03-19,300ETF2003,300ETF2004,300ETF2006,300ETF2009
2020-03-20,300ETF2003,300ETF2004,300ETF2006,300ETF2009
2020-03-23,300ETF2003,300ETF2004,300ETF2006,300ETF2009
2020-03-24,300ETF2003,300ETF2004,300ETF2006,300ETF2009
2020-03-25,300ETF2004,300ETF2006,300ETF2009,
2020-03-26,300ETF2004,300ETF2005,300ETF2006,300ETF2009
2020-03-27,300ETF2004,300ETF2005,300ETF2006,300ETF2009
2020-03-30,300ETF2004,300ETF2005,300ETF2006,300ETF2009
2020-03-31,300ETF2004,300ETF2005,300ETF2006,300ETF2009
2020-04-01,300ETF2004,300ETF2005,300ETF2006,300ETF2009
2020-04-02,300ETF2004,300ETF2005,300ETF2006,300ETF2009
2020-04-03,300ETF2004,300ETF2005,300ETF2006,300ETF2009
2020-04-07,300ETF2004,300ETF2005,300ETF2006,300ETF2009
2020-04-08,300ETF2004,300ETF2005,300ETF2006,300ETF2009
2020-04-09,300ETF2004,300ETF2005,300ETF2006,300ETF2009
2020-04-10,300ETF2004,300ETF2005,300ETF2006,300ETF2009
2020-04-13,300ETF2004,300ETF2005,300ETF2006,300ETF2009
2020-04-14,300ETF2004,300ETF2005,300ETF2006,300ETF2009
2020-04-15,300ETF2004,300ETF2005,300ETF2006,300ETF2009
2020-04-16,300ETF2004,300ETF2005,300ETF2006,300ETF2009
2020-04-17,300ETF2004,300ETF2005,300ETF2006,300ETF2009
2020-04-20,300ETF2004,300ETF2005,300ETF2006,300ETF2009
2020-04-21,300ETF2004,300ETF2005,300ETF2006,300ETF2009
2020-04-22,300ETF2005,300ETF2006,300ETF2009,
2020-04-23,300ETF2005,300ETF2006,300ETF2009,300ETF2012
2020-04-24,300ETF2005,300ETF2006,300ETF2009,300ETF2012
2020-04-27,300ETF2005,300ETF2006,300ETF2009,300ETF2012
2020-04-28,300ETF2005,300ETF2006,300ETF2009,300ETF2012
2020-04-29,300ETF2005,300ETF2006,300ETF2009,300ETF2012
2020-04-30,300ETF2005,300ETF2006,300ETF2009,300ETF2012
2020-05-06,300ETF2005,300ETF2006,300ETF2009,300ETF2012
2020-05-07,300ETF2005,300ETF2006,300ETF2009,300ETF2012
2020-05-08,300ETF2005,300ETF2006,300ETF2009,300ETF2012
2020-05-11,300ETF2005,300ETF2006,300ETF2009,300ETF2012
2020-05-12,300ETF2005,300ETF2006,300ETF2009,300ETF2012
2020-05-13,300ETF2005,300ETF2006,300ETF2009,300ETF2012
2020-05-14,300ETF2005,300ETF2006,300ETF2009,300ETF2012
2020-05-15,300ETF2005,300ETF2006,300ETF2009,300ETF2012
2020-05-18,300ETF2005,300ETF2006,300ETF2009,300ETF2012
2020-05-19,300ETF2005,300ETF2006,300ETF2009,300ETF2012
2020-05-20,300ETF2005,300ETF2006,300ETF2009,300ETF2012
2020-05-21,300ETF2005,300ETF2006,300ETF2009,300ETF2012
2020-05-22,300ETF2005,300ETF2006,300ETF2009,300ETF2012
2020-05-25,300ETF2005,300ETF2006,300ETF2009,300ETF2012
2020-05-26,300ETF2005,300ETF2006,300ETF2009,300ETF2012
2020-05-27,300ETF2006,300ETF2009,300ETF2012,
2020-05-28,300ETF2006,300ETF2007,300ETF2009,300ETF2012
2020-05-29,300ETF2006,300ETF2007,300ETF2009,300ETF2012
2020-06-01,300ETF2006,300ETF2007,300ETF2009,300ETF2012
2020-06-02,300ETF2006,300ETF2007,300ETF2009,300ETF2012
2020-06-03,300ETF2006,300ETF2007,300ETF2009,300ETF2012
2020-06-04,300ETF2006,300ETF2007,300ETF2009,300ETF2012
2020-06-05,300ETF2006,300ETF2007,300ETF2009,300ETF2012
2020-06-08,300ETF2006,300ETF2007,300ETF2009,300ETF2012
2020-06-09,300ETF2006,300ETF2007,300ETF2009,300ETF2012
2020-06-10,300ETF2006,300ETF2007,300ETF2009,300ETF2012
2020-06-11,300ETF2006,300ETF2007,300ETF2009,300ETF2012
2020-06-12,300ETF2006,300ETF2007,300ETF2009,300ETF2012
2020-06-15,300ETF2006,300ETF2007,300ETF2009,300ETF2012
2020-06-16,300ETF2006,300ETF2007,300ETF2009,300ETF2012
2020-06-17,300ETF2006,300ETF2007,300ETF2009,300ETF2012
2020-06-18,300ETF2006,300ETF2007,300ETF2009,300ETF2012
2020-06-19,300ETF2006,300ETF2007,300ETF2009,300ETF2012
2020-06-22,300ETF2006,300ETF2007,300ETF2009,300ETF2012
2020-06-23,300ETF2006,300ETF2007,300ETF2009,300ETF2012
2020-06-24,300ETF2007,300ETF2009,300ETF2012,
2020-06-29,300ETF2007,300ETF2008,300ETF2009,300ETF2012
2020-06-30,300ETF2007,300ETF2008,300ETF2009,300ETF2012
2020-07-01,300ETF2007,300ETF2008,300ETF2009,300ETF2012
2020-07-02,300ETF2007,300ETF2008,300ETF2009,300ETF2012
2020-07-03,300ETF2007,300ETF2008,300ETF2009,300ETF2012
2020-07-06,300ETF2007,300ETF2008,300ETF2009,300ETF2012
