time,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,C,C,P,P,P,P,P,P,C,C,C,C,C,C,P,P,P,P,P,P
time,2250,2250,2250,2250,2250,2250,2300,2300,2300,2300,2300,2300,2350,2350,2350,2350,2350,2350,2400,2400,2400,2400,2400,2400,2450,2450,2450,2450,2450,2450,2250,2250,2250,2250,2250,2250,2300,2300,2300,2300,2300,2300,2350,2350,2350,2350,2350,2350,2400,2400,2400,2400,2400,2400,2450,2450,2450,2450,2450,2450,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
time,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol
2017-03-23,1.0,-0.065,0.0,0.0,0.38,0.0,0.876,-0.088,4.177,0.197,0.339,0.051,0.539,-0.116,5.797,0.384,0.209,0.071,0.286,-0.094,4.529,0.328,0.111,0.078,0.128,-0.058,2.621,0.202,0.05,0.083,-0.13,-0.052,2.175,0.205,-0.053,0.101,-0.278,-0.078,3.395,0.324,-0.114,0.102,-0.47,-0.089,3.808,0.384,-0.194,0.108,-0.637,-0.082,3.23,0.362,-0.266,0.12,-0.74,-0.076,2.372,0.313,-0.314,0.141,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-24,1.0,-0.065,0.0,0.0,0.374,0.0,0.932,-0.083,2.545,0.127,0.355,0.054,0.646,-0.123,5.216,0.36,0.248,0.074,0.381,-0.112,5.044,0.368,0.147,0.078,0.179,-0.073,3.356,0.253,0.069,0.081,-0.08,-0.036,1.606,0.144,-0.032,0.096,-0.194,-0.061,3.036,0.265,-0.078,0.094,-0.387,-0.082,4.003,0.37,-0.157,0.099,-0.586,-0.076,3.833,0.377,-0.24,0.105,-0.73,-0.06,2.891,0.319,-0.304,0.118,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-27,1.0,-0.066,0.0,0.0,0.356,0.0,0.882,-0.097,3.23,0.186,0.319,0.065,0.616,-0.131,5.099,0.359,0.225,0.08,0.367,-0.12,4.686,0.354,0.134,0.085,0.18,-0.081,3.164,0.247,0.066,0.088,-0.089,-0.041,1.728,0.151,-0.034,0.099,-0.217,-0.072,3.123,0.276,-0.083,0.1,-0.408,-0.092,3.922,0.365,-0.158,0.105,-0.599,-0.085,3.67,0.364,-0.234,0.112,-0.742,-0.063,2.813,0.304,-0.293,0.122,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-28,1.0,-0.066,0.0,0.0,0.35,0.0,0.849,-0.105,3.648,0.218,0.301,0.069,0.582,-0.136,5.029,0.363,0.208,0.083,0.343,-0.12,4.452,0.342,0.123,0.089,0.175,-0.084,2.948,0.24,0.063,0.094,-0.1,-0.045,1.892,0.164,-0.038,0.1,-0.237,-0.076,3.289,0.287,-0.089,0.101,-0.433,-0.095,3.945,0.366,-0.164,0.107,-0.619,-0.086,3.565,0.354,-0.237,0.115,-0.754,-0.063,2.69,0.293,-0.293,0.126,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-29,1.0,-0.066,0.0,0.0,0.344,0.0,0.84,-0.107,3.779,0.224,0.293,0.07,0.571,-0.138,5.048,0.362,0.2,0.084,0.333,-0.12,4.419,0.335,0.117,0.089,0.163,-0.079,2.883,0.227,0.058,0.093,-0.098,-0.044,1.92,0.16,-0.036,0.098,-0.24,-0.076,3.379,0.287,-0.089,0.1,-0.44,-0.092,4.106,0.363,-0.164,0.104,-0.634,-0.079,3.71,0.347,-0.238,0.11,-0.767,-0.057,2.696,0.282,-0.292,0.123,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-30,0.948,-0.085,1.633,0.097,0.319,0.072,0.764,-0.129,4.032,0.28,0.26,0.084,0.523,-0.142,4.905,0.362,0.18,0.089,0.3,-0.118,4.103,0.316,0.103,0.093,0.144,-0.076,2.602,0.207,0.05,0.096,-0.108,-0.046,2.151,0.169,-0.039,0.095,-0.265,-0.077,3.713,0.298,-0.096,0.097,-0.478,-0.087,4.342,0.362,-0.174,0.101,-0.676,-0.066,3.737,0.327,-0.249,0.106,-0.81,-0.036,2.59,0.247,-0.302,0.115,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,1.0,-0.066,0.0,0.0,0.331,0.0,0.861,-0.104,3.55,0.201,0.29,0.069,0.593,-0.137,5.252,0.352,0.201,0.082,0.342,-0.121,4.664,0.333,0.117,0.087,0.165,-0.08,3.003,0.225,0.056,0.091,-0.086,-0.04,1.779,0.142,-0.03,0.097,-0.221,-0.074,3.328,0.269,-0.079,0.098,-0.423,-0.093,4.222,0.355,-0.152,0.102,-0.624,-0.082,3.838,0.344,-0.226,0.109,-0.765,-0.058,2.797,0.278,-0.281,0.121,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-05,1.0,-0.066,0.0,0.0,0.301,0.0,1.0,-0.067,0.0,0.0,0.308,0.0,0.748,-0.126,5.023,0.279,0.232,0.073,0.459,-0.14,5.417,0.346,0.144,0.084,0.232,-0.103,3.959,0.266,0.073,0.088,-0.054,-0.034,1.2,0.096,-0.018,0.105,-0.15,-0.069,2.556,0.204,-0.049,0.105,-0.321,-0.101,3.844,0.312,-0.105,0.107,-0.527,-0.108,4.055,0.347,-0.174,0.112,-0.687,-0.099,3.137,0.309,-0.23,0.129,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-06,1.0,-0.066,0.0,0.0,0.295,0.0,1.0,-0.067,0.0,0.0,0.301,0.0,0.771,-0.121,5.086,0.262,0.235,0.069,0.468,-0.138,5.641,0.344,0.143,0.082,0.226,-0.099,4.122,0.26,0.07,0.084,-0.053,-0.034,1.175,0.094,-0.017,0.107,-0.139,-0.065,2.494,0.192,-0.044,0.103,-0.312,-0.102,3.836,0.306,-0.1,0.107,-0.519,-0.112,4.046,0.344,-0.168,0.114,-0.69,-0.095,3.265,0.305,-0.226,0.125,0.091,-0.054,2.127,0.142,0.028,0.089,-0.79,-0.078,2.306,0.249,-0.264,0.144,,,,,,,,,,,,
2017-04-07,1.0,-0.066,0.0,0.0,0.289,0.0,1.0,-0.067,0.0,0.0,0.295,0.0,0.772,-0.122,5.123,0.259,0.23,0.069,0.465,-0.137,5.836,0.34,0.14,0.08,0.22,-0.097,4.15,0.254,0.066,0.083,-0.049,-0.032,1.126,0.086,-0.015,0.105,-0.144,-0.069,2.505,0.194,-0.045,0.106,-0.313,-0.104,3.845,0.303,-0.098,0.108,-0.52,-0.115,4.054,0.341,-0.165,0.115,-0.689,-0.099,3.242,0.302,-0.221,0.127,0.089,-0.054,2.101,0.137,0.027,0.089,-0.785,-0.086,2.287,0.25,-0.257,0.149,,,,,,,,,,,,
2017-04-10,1.0,-0.066,0.0,0.0,0.27,0.0,1.0,-0.067,0.0,0.0,0.276,0.0,0.722,-0.135,5.436,0.277,0.201,0.075,0.424,-0.143,5.588,0.323,0.119,0.085,0.199,-0.099,3.784,0.23,0.056,0.089,-0.049,-0.032,1.196,0.084,-0.014,0.103,-0.152,-0.073,2.741,0.194,-0.044,0.104,-0.332,-0.105,4.258,0.3,-0.097,0.103,-0.556,-0.108,4.367,0.326,-0.165,0.11,-0.729,-0.086,3.288,0.274,-0.219,0.122,0.08,-0.054,1.895,0.123,0.023,0.095,-0.819,-0.07,2.211,0.217,-0.25,0.144,,,,,,,,,,,,
2017-04-11,1.0,-0.066,0.0,0.0,0.264,0.0,1.0,-0.067,0.0,0.0,0.27,0.0,0.752,-0.124,5.825,0.258,0.205,0.067,0.423,-0.139,5.919,0.32,0.116,0.081,0.193,-0.096,3.849,0.224,0.053,0.087,-0.046,-0.031,1.153,0.079,-0.013,0.103,-0.136,-0.065,2.696,0.178,-0.039,0.099,-0.325,-0.104,4.328,0.294,-0.093,0.102,-0.552,-0.113,4.346,0.323,-0.16,0.112,-0.717,-0.099,3.215,0.276,-0.211,0.129,0.079,-0.054,1.899,0.12,0.022,0.095,-0.805,-0.086,2.205,0.225,-0.24,0.153,,,,,,,,,,,,
2017-04-12,1.0,-0.066,0.0,0.0,0.258,0.0,1.0,-0.067,0.0,0.0,0.264,0.0,0.763,-0.113,6.795,0.249,0.204,0.056,0.389,-0.127,6.327,0.309,0.104,0.075,0.164,-0.083,3.672,0.199,0.044,0.083,-0.056,-0.038,1.304,0.09,-0.015,0.107,-0.156,-0.076,2.858,0.192,-0.043,0.104,-0.348,-0.113,4.301,0.298,-0.097,0.107,-0.562,-0.131,3.928,0.317,-0.159,0.125,-0.711,-0.119,2.969,0.275,-0.204,0.143,0.061,-0.043,1.641,0.097,0.016,0.091,-0.789,-0.115,2.094,0.233,-0.231,0.171,,,,,,,,,,,,
2017-04-13,1.0,-0.066,0.0,0.0,0.252,0.0,0.922,-0.097,2.716,0.116,0.236,0.068,0.664,-0.143,6.032,0.289,0.172,0.076,0.363,-0.139,5.476,0.298,0.095,0.086,0.152,-0.085,3.324,0.187,0.04,0.089,-0.06,-0.04,1.433,0.094,-0.016,0.105,-0.156,-0.07,3.143,0.19,-0.042,0.096,-0.366,-0.102,4.939,0.298,-0.1,0.096,-0.61,-0.1,4.574,0.304,-0.168,0.106,-0.775,-0.071,3.149,0.238,-0.216,0.12,0.055,-0.041,1.479,0.088,0.014,0.095,-0.855,-0.051,2.027,0.18,-0.242,0.141,,,,,,,,,,,,
2017-04-14,1.0,-0.066,0.0,0.0,0.246,0.0,0.821,-0.131,4.077,0.204,0.204,0.083,0.551,-0.157,5.956,0.308,0.139,0.085,0.287,-0.132,4.698,0.265,0.072,0.093,0.111,-0.071,2.592,0.148,0.028,0.094,-0.094,-0.058,1.985,0.13,-0.025,0.109,-0.226,-0.092,3.81,0.234,-0.059,0.101,-0.455,-0.111,5.004,0.308,-0.12,0.102,-0.677,-0.096,4.087,0.279,-0.181,0.113,-0.814,-0.062,2.708,0.208,-0.221,0.127,0.044,-0.037,1.162,0.072,0.011,0.103,-0.867,-0.055,1.775,0.168,-0.24,0.156,,,,,,,,,,,,
