time,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,C,C,C,C,C,C,P,P,P,P,P,P,C,C,C,C,C,C,P,P,P,P,P,P,C,C,C,C,C,C,P,P,P,P,P,P,C,C,C,C,C,C,P,P,P,P,P,P,C,C,C,C,C,C,P,P,P,P,P,P,C,C,C,C,C,C,P,P,P,P,P,P,C,C,C,C,C,C,P,P,P,P,P,P,C,C,C,C,C,C,P,P,P,P,P,P,C,C,C,C,C,C,P,P,P,P,P,P,C,C,C,C,C,C,P,P,P,P,P,P
time,2250,2250,2250,2250,2250,2250,2300,2300,2300,2300,2300,2300,2350,2350,2350,2350,2350,2350,2400,2400,2400,2400,2400,2400,2450,2450,2450,2450,2450,2450,2250,2250,2250,2250,2250,2250,2300,2300,2300,2300,2300,2300,2350,2350,2350,2350,2350,2350,2400,2400,2400,2400,2400,2400,2450,2450,2450,2450,2450,2450,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
time,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol,delta,theta,gamma,vega,rho,imp_vol
2017-01-26,0.826,-0.087,1.398,0.497,1.187,0.095,0.736,-0.094,1.707,0.632,1.069,0.099,0.63,-0.102,1.732,0.73,0.916,0.113,0.541,-0.102,1.738,0.768,0.791,0.118,0.459,-0.1,1.679,0.768,0.674,0.122,-0.262,-0.05,1.138,0.629,-0.446,0.148,-0.327,-0.055,1.229,0.698,-0.563,0.152,-0.394,-0.057,1.273,0.744,-0.683,0.156,-0.458,-0.06,1.241,0.767,-0.804,0.165,-0.518,-0.056,1.236,0.771,-0.918,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-03,0.777,-0.093,1.557,0.562,1.073,0.102,0.676,-0.101,1.705,0.677,0.938,0.112,0.583,-0.104,1.748,0.735,0.814,0.119,0.497,-0.103,1.721,0.751,0.697,0.123,0.42,-0.1,1.619,0.736,0.591,0.128,-0.289,-0.052,1.231,0.643,-0.472,0.147,-0.358,-0.056,1.305,0.703,-0.59,0.152,-0.426,-0.057,1.335,0.738,-0.709,0.156,-0.491,-0.056,1.319,0.751,-0.827,0.161,-0.552,-0.053,1.266,0.745,-0.938,0.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-06,0.781,-0.093,1.565,0.553,1.066,0.101,0.681,-0.1,1.746,0.669,0.935,0.109,0.586,-0.103,1.812,0.729,0.809,0.115,0.497,-0.102,1.773,0.747,0.69,0.12,0.415,-0.097,1.688,0.73,0.579,0.123,-0.285,-0.051,1.25,0.635,-0.459,0.145,-0.355,-0.055,1.339,0.697,-0.576,0.148,-0.425,-0.055,1.385,0.733,-0.695,0.151,-0.492,-0.054,1.368,0.747,-0.815,0.156,-0.555,-0.051,1.313,0.74,-0.929,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-07,0.774,-0.092,1.649,0.56,1.053,0.098,0.669,-0.099,1.821,0.675,0.915,0.107,0.572,-0.101,1.867,0.731,0.786,0.113,0.481,-0.099,1.817,0.742,0.665,0.118,0.399,-0.094,1.711,0.719,0.553,0.121,-0.292,-0.05,1.294,0.64,-0.467,0.143,-0.364,-0.054,1.377,0.699,-0.587,0.147,-0.436,-0.054,1.408,0.733,-0.709,0.15,-0.504,-0.053,1.376,0.743,-0.828,0.156,-0.566,-0.049,1.32,0.732,-0.942,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-08,0.813,-0.087,1.596,0.503,1.108,0.09,0.7,-0.096,1.832,0.649,0.96,0.102,0.597,-0.101,1.879,0.723,0.821,0.11,0.503,-0.1,1.863,0.745,0.696,0.115,0.418,-0.095,1.764,0.729,0.581,0.119,-0.277,-0.05,1.249,0.625,-0.442,0.143,-0.348,-0.055,1.335,0.69,-0.561,0.148,-0.418,-0.056,1.379,0.729,-0.68,0.152,-0.486,-0.056,1.356,0.745,-0.799,0.157,-0.548,-0.053,1.308,0.74,-0.912,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-09,0.801,-0.092,1.501,0.522,1.083,0.1,0.701,-0.1,1.715,0.649,0.954,0.108,0.605,-0.104,1.786,0.72,0.827,0.115,0.515,-0.105,1.76,0.745,0.708,0.121,0.433,-0.101,1.687,0.735,0.598,0.125,-0.268,-0.05,1.236,0.616,-0.427,0.143,-0.339,-0.054,1.334,0.684,-0.544,0.147,-0.41,-0.056,1.383,0.726,-0.664,0.15,-0.478,-0.055,1.377,0.744,-0.783,0.155,-0.542,-0.053,1.324,0.741,-0.897,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-10,0.838,-0.086,1.435,0.46,1.136,0.091,0.729,-0.098,1.705,0.621,0.993,0.104,0.628,-0.103,1.801,0.709,0.861,0.112,0.536,-0.105,1.792,0.745,0.737,0.118,0.452,-0.102,1.713,0.742,0.624,0.123,-0.257,-0.051,1.18,0.605,-0.41,0.146,-0.326,-0.056,1.28,0.675,-0.524,0.15,-0.395,-0.059,1.329,0.722,-0.641,0.155,-0.462,-0.059,1.33,0.744,-0.757,0.159,-0.524,-0.058,1.288,0.746,-0.869,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-13,0.933,-0.072,1.092,0.242,1.268,0.063,0.78,-0.09,1.783,0.554,1.061,0.089,0.663,-0.098,1.949,0.684,0.905,0.1,0.558,-0.101,1.946,0.738,0.766,0.108,0.466,-0.099,1.853,0.744,0.641,0.115,-0.245,-0.052,1.137,0.588,-0.387,0.148,-0.312,-0.058,1.243,0.662,-0.497,0.152,-0.38,-0.061,1.299,0.713,-0.612,0.157,-0.447,-0.062,1.308,0.74,-0.726,0.162,-0.509,-0.062,1.27,0.746,-0.836,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
