time,etf_price,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,etf_price,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
time,etf_price,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv
2023-09-19 15:00:00,0.917,0.2329,51.0,335.0,31.05,0.0042,1863.0,2085.0,25.59,0.1867,23.0,187.0,27.73,0.0083,772.0,2015.0,24.41,0.1455,77.0,1091.0,26.42,0.0159,174.0,2241.0,23.68,0.1075,280.0,665.0,24.8,0.0283,420.0,3918.0,23.05,0.0777,332.0,2494.0,24.56,0.0477,478.0,5643.0,22.9,0.0547,1227.0,5369.0,24.61,0.0739,354.0,4675.0,22.9,0.0374,843.0,9091.0,24.71,0.1076,70.0,3418.0,23.44,0.0261,762.0,6564.0,25.34,0.1469,10.0,825.0,24.41,0.0191,315.0,4027.0,26.42,0.1648,0.0,798.0,0.0,0.0137,137.0,4049.0,27.2,0.1968,0.0,442.0,0.0,0.0105,237.0,7572.0,28.37,0.236,0.0,261.0,0.0
2023-09-20 15:00:00,0.908,0.2264,26.0,354.0,32.62,0.0045,521.0,2402.0,25.39,0.1835,35.0,204.0,30.86,0.0086,354.0,1945.0,23.97,0.1391,442.0,1518.0,26.9,0.0168,299.0,2107.0,23.34,0.1031,450.0,709.0,25.73,0.0306,437.0,3697.0,23.0,0.074,468.0,2616.0,25.24,0.0509,314.0,5797.0,22.75,0.052,803.0,5486.0,25.27,0.0777,552.0,5003.0,22.51,0.0364,1291.0,9238.0,25.68,0.1115,102.0,3418.0,22.66,0.0255,213.0,6426.0,26.22,0.1462,25.0,821.0,20.7,0.0182,365.0,4018.0,27.0,0.1865,2.0,798.0,18.36,0.0132,96.0,4031.0,27.83,0.1968,0.0,442.0,0.0,0.01,113.0,7582.0,28.91,0.236,0.0,261.0,0.0
2023-09-21 15:00:00,0.904,0.2215,122.0,391.0,31.64,0.0046,171.0,2303.0,25.2,0.1763,5.0,204.0,28.52,0.0089,481.0,1632.0,23.93,0.135,134.0,1641.0,26.51,0.0179,277.0,2226.0,23.54,0.0994,188.0,793.0,25.44,0.0312,971.0,3030.0,22.75,0.0711,231.0,2680.0,25.1,0.0522,646.0,5822.0,22.63,0.05,869.0,5739.0,25.29,0.0808,417.0,5284.0,22.9,0.035,515.0,9294.0,25.76,0.1151,170.0,3437.0,23.05,0.0241,247.0,6420.0,26.17,0.1546,152.0,906.0,23.44,0.0173,622.0,4100.0,27.05,0.1974,319.0,918.0,23.78,0.0126,65.0,3981.0,27.93,0.1968,0.0,442.0,0.0,0.0098,302.0,7833.0,29.2,0.236,0.0,261.0,0.0
2023-09-22 15:00:00,0.927,0.241,65.0,430.0,30.37,0.004,57.0,2329.0,26.17,0.1968,38.0,240.0,29.0,0.0079,57.0,1626.0,25.1,0.1556,251.0,1628.0,27.83,0.015,252.0,2118.0,24.32,0.1192,526.0,826.0,27.1,0.0263,1349.0,2778.0,23.49,0.0878,523.0,2774.0,26.39,0.0436,955.0,5897.0,22.95,0.0633,1919.0,6034.0,26.25,0.0698,1185.0,5694.0,23.41,0.0452,2116.0,9629.0,26.49,0.1012,301.0,3475.0,23.54,0.0325,247.0,6458.0,27.08,0.1401,103.0,853.0,24.71,0.0235,590.0,4360.0,27.73,0.181,43.0,912.0,25.2,0.0173,127.0,4016.0,28.56,0.227,19.0,438.0,27.15,0.0133,558.0,8049.0,29.64,0.2691,12.0,266.0,25.29
2023-09-25 15:00:00,0.919,0.2344,48.0,412.0,31.45,0.0039,71.0,2280.0,25.68,0.1914,27.0,220.0,30.47,0.0078,84.0,1603.0,24.51,0.1499,61.0,1579.0,28.52,0.0153,383.0,2277.0,23.83,0.1111,238.0,938.0,26.27,0.0274,1071.0,3022.0,23.19,0.08,510.0,3127.0,25.49,0.0467,1465.0,5529.0,23.12,0.057,887.0,6239.0,25.59,0.0735,770.0,5759.0,23.44,0.0404,1698.0,10587.0,26.07,0.1059,208.0,3429.0,23.54,0.0287,323.0,6453.0,26.71,0.1434,90.0,865.0,23.68,0.0209,460.0,4304.0,27.59,0.1829,216.0,1093.0,22.71,0.015,77.0,4068.0,28.27,0.227,0.0,438.0,22.41,0.0117,418.0,8244.0,29.54,0.2716,27.0,288.0,19.53
2023-09-26 15:00:00,0.92,0.2336,1.0,413.0,29.79,0.0035,1266.0,1434.0,25.2,0.1909,6.0,220.0,29.59,0.0071,23.0,1595.0,24.02,0.1478,3.0,1578.0,27.0,0.0144,173.0,2245.0,23.44,0.1104,103.0,1010.0,25.73,0.0264,899.0,2716.0,22.9,0.0804,373.0,3274.0,25.49,0.0454,1132.0,5148.0,22.8,0.0576,1164.0,6112.0,25.71,0.0719,310.0,5603.0,23.05,0.041,1443.0,10752.0,26.22,0.1046,87.0,3455.0,23.34,0.0285,456.0,6358.0,26.56,0.1409,34.0,865.0,22.9,0.0205,663.0,4159.0,27.34,0.179,1.0,1094.0,20.8,0.015,308.0,4255.0,28.22,0.227,0.0,438.0,23.14,0.0118,357.0,8456.0,29.59,0.2716,0.0,288.0,21.0
2023-09-27 15:00:00,0.925,0.2362,6.0,413.0,27.44,0.003,241.0,1329.0,24.8,0.1943,5.0,225.0,29.0,0.0067,147.0,1655.0,24.12,0.152,14.0,1574.0,27.15,0.0136,532.0,2322.0,23.54,0.1155,165.0,949.0,26.51,0.0253,204.0,2680.0,23.05,0.0846,765.0,3417.0,26.03,0.0434,742.0,5023.0,22.85,0.0604,2266.0,6663.0,25.93,0.0698,811.0,6056.0,23.29,0.0437,1057.0,10856.0,26.61,0.1024,270.0,3303.0,23.78,0.0312,881.0,6715.0,27.15,0.1389,78.0,845.0,23.73,0.0227,850.0,4434.0,27.98,0.178,2.0,1094.0,22.85,0.0165,296.0,4310.0,28.71,0.227,0.0,438.0,26.32,0.0132,463.0,8614.0,30.18,0.2716,0.0,288.0,25.98
2023-09-28 15:00:00,0.932,0.2465,50.0,432.0,32.03,0.0028,38.0,1320.0,25.0,0.2006,1.0,224.0,29.2,0.0058,1.0,1655.0,23.83,0.1555,93.0,1614.0,25.88,0.0123,347.0,2381.0,23.44,0.1161,151.0,993.0,24.46,0.0236,60.0,2645.0,23.14,0.0852,603.0,3499.0,24.56,0.0407,211.0,5032.0,22.85,0.061,1421.0,6443.0,24.88,0.0667,329.0,5854.0,23.49,0.0439,656.0,10975.0,25.66,0.0981,367.0,3121.0,23.83,0.0311,760.0,7098.0,26.27,0.1386,28.0,819.0,25.88,0.0229,566.0,4064.0,27.34,0.1746,8.0,1100.0,24.17,0.0169,148.0,4264.0,28.27,0.2196,1.0,437.0,25.39,0.0127,289.0,8659.0,29.25,0.2716,0.0,288.0,30.52
