time,etf_price,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P,C,C,C,C,P,P,P,P
time,etf_price,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15
time,etf_price,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv,close,volume,oi,iv
2023-10-26 13:28:36,0.88,0.197,100.0,98.0,23.93,0.0059,644.0,578.0,22.07,0.155,105.0,89.0,23.78,0.0119,799.0,685.0,21.29,0.115,320.0,267.0,21.73,0.0233,1044.0,850.0,21.14,0.0835,248.0,198.0,21.92,0.0408,583.0,451.0,20.92,0.0597,624.0,462.0,22.09,0.0653,528.0,445.0,21.14,0.0409,431.0,320.0,22.17,0.0965,130.0,123.0,21.19,0.0288,355.0,289.0,22.88,0.1329,115.0,113.0,21.68,0.0205,433.0,420.0,23.63,0.1729,1128.0,1072.0,21.34,0.0148,2183.0,1907.0,24.46,0.2183,60.0,60.0,23.19,,,,,,,,
2023-10-26 13:36:22,0.879,0.197,100.0,98.0,24.61,0.0059,644.0,578.0,21.97,0.155,105.0,89.0,23.78,0.0119,799.0,685.0,21.19,0.1156,330.0,277.0,22.31,0.0233,1054.0,850.0,21.04,0.0836,250.0,200.0,21.95,0.0408,583.0,451.0,20.92,0.0597,624.0,462.0,22.27,0.0651,529.0,445.0,21.09,0.0409,431.0,320.0,22.31,0.0963,132.0,125.0,21.34,0.0289,358.0,292.0,23.05,0.1329,115.0,113.0,21.39,0.0203,438.0,425.0,23.68,0.1734,1130.0,1072.0,21.63,0.0148,2289.0,2013.0,24.56,0.2183,60.0,60.0,22.66,,,,,,,,
2023-10-26 13:44:54,0.882,0.197,100.0,98.0,22.27,0.0059,644.0,578.0,22.17,0.1532,109.0,89.0,21.19,0.0119,920.0,802.0,21.48,0.1159,333.0,280.0,21.44,0.0232,1134.0,926.0,21.29,0.0848,254.0,204.0,21.68,0.0395,586.0,454.0,20.85,0.0599,656.0,494.0,21.83,0.0651,529.0,445.0,21.41,0.0414,441.0,330.0,22.07,0.0963,132.0,125.0,21.78,0.0292,447.0,381.0,22.8,0.1329,115.0,113.0,22.27,0.0204,458.0,445.0,23.39,0.1736,1132.0,1072.0,22.85,0.0151,2300.0,2023.0,24.41,0.2183,60.0,60.0,24.12,,,,,,,,
2023-10-26 13:53:26,0.884,0.1991,110.0,108.0,22.46,0.0055,645.0,579.0,21.97,0.1572,115.0,89.0,22.61,0.0119,920.0,802.0,21.63,0.1159,333.0,280.0,20.75,0.0216,1136.0,926.0,20.8,0.0864,260.0,210.0,21.8,0.0386,619.0,460.0,20.75,0.0615,800.0,576.0,22.0,0.0651,529.0,445.0,21.75,0.043,447.0,336.0,22.36,0.0928,145.0,128.0,20.95,0.0301,463.0,387.0,22.9,0.1297,119.0,117.0,21.53,0.021,516.0,503.0,23.54,0.1694,1138.0,1072.0,21.78,0.0153,2330.0,2023.0,24.32,0.2183,60.0,60.0,25.0,,,,,,,,
2023-10-26 14:02:08,0.883,0.1991,110.0,108.0,23.34,0.0055,645.0,579.0,21.88,0.1563,119.0,89.0,22.56,0.0115,925.0,807.0,21.29,0.1192,335.0,282.0,22.58,0.0216,1136.0,926.0,20.7,0.0859,264.0,212.0,21.85,0.0386,619.0,460.0,20.63,0.0609,812.0,588.0,21.97,0.0629,531.0,447.0,20.83,0.0428,449.0,338.0,22.41,0.0937,150.0,133.0,21.07,0.0301,466.0,388.0,23.14,0.13,121.0,119.0,21.39,0.0207,521.0,508.0,23.44,0.1696,1140.0,1072.0,21.29,0.0153,2330.0,2023.0,24.41,0.2183,60.0,60.0,24.12,,,,,,,,
2023-10-26 14:10:43,0.883,0.2003,111.0,108.0,24.41,0.0055,649.0,583.0,21.88,0.156,125.0,89.0,22.41,0.0115,925.0,807.0,21.29,0.1175,337.0,284.0,21.83,0.0216,1136.0,926.0,20.7,0.0859,264.0,212.0,21.85,0.039,624.0,465.0,20.78,0.0605,814.0,590.0,21.83,0.0634,533.0,449.0,21.0,0.0428,449.0,338.0,22.41,0.0944,151.0,134.0,21.31,0.0297,467.0,389.0,22.85,0.1306,123.0,121.0,21.63,0.0207,521.0,508.0,23.44,0.1706,1142.0,1072.0,21.78,0.0152,2351.0,2043.0,24.37,0.2183,60.0,60.0,24.56,,,,,,,,
2023-10-26 14:19:15,0.887,0.2003,111.0,108.0,20.8,0.0055,649.0,583.0,22.17,0.1595,127.0,89.0,22.46,0.0115,925.0,807.0,21.63,0.1175,337.0,284.0,20.41,0.0216,1136.0,926.0,21.09,0.0878,268.0,216.0,21.58,0.0389,628.0,469.0,21.24,0.0627,828.0,594.0,21.88,0.0618,546.0,460.0,21.09,0.0438,454.0,343.0,22.19,0.0922,171.0,154.0,21.39,0.0307,478.0,397.0,22.75,0.1304,125.0,123.0,22.66,0.0213,531.0,518.0,23.29,0.1704,1144.0,1074.0,23.14,0.0156,2365.0,2045.0,24.22,0.2095,91.0,91.0,21.48,,,,,,,,
2023-10-26 14:27:47,0.887,0.2003,111.0,108.0,19.73,0.0055,649.0,583.0,22.27,0.1601,129.0,89.0,22.27,0.011,1041.0,835.0,21.34,0.1175,337.0,284.0,20.07,0.0216,1136.0,926.0,21.19,0.0885,270.0,216.0,21.61,0.0389,628.0,469.0,21.39,0.0633,853.0,617.0,22.07,0.061,564.0,467.0,21.0,0.0441,466.0,355.0,22.31,0.0916,187.0,170.0,21.17,0.0311,484.0,403.0,22.92,0.1273,137.0,135.0,21.44,0.0213,531.0,518.0,23.29,0.1704,1144.0,1074.0,23.14,0.0156,2384.0,2047.0,24.12,0.208,531.0,481.0,20.56,,,,,,,,
