time,open,high,low,close,volume
2011-12-09,0.795,0.814,0.795,0.797,106177232
2011-12-12,0.79,0.803,0.79,0.79,31106508
2011-12-13,0.788,0.788,0.763,0.768,96744368
2011-12-14,0.768,0.777,0.755,0.76,81609472
2011-12-15,0.755,0.764,0.747,0.752,41700500
2011-12-16,0.75,0.784,0.748,0.781,82938440
2011-12-19,0.775,0.795,0.766,0.795,106873520
2011-12-20,0.795,0.8,0.78,0.78,65199184
2011-12-21,0.786,0.791,0.766,0.766,48542544
2011-12-22,0.756,0.768,0.73,0.757,70938408
2011-12-23,0.75,0.773,0.749,0.761,101360320
2011-12-26,0.759,0.773,0.751,0.755,45685476
2011-12-27,0.75,0.754,0.727,0.729,109915968
2011-12-28,0.72,0.724,0.703,0.719,115703880
2011-12-29,0.713,0.726,0.711,0.718,33972048
2011-12-30,0.723,0.732,0.722,0.729,77257520
2012-01-04,0.735,0.739,0.708,0.708,36049352
2012-01-05,0.705,0.705,0.666,0.672,66382216
2012-01-06,0.668,0.676,0.647,0.67,138794080
2012-01-09,0.667,0.698,0.658,0.696,177847072
2012-01-10,0.696,0.722,0.691,0.72,75556136
2012-01-11,0.717,0.731,0.711,0.723,125941376
2012-01-12,0.717,0.73,0.71,0.711,79838624
2012-01-13,0.709,0.711,0.666,0.668,211204112
2012-01-16,0.656,0.66,0.635,0.635,92503552
2012-01-17,0.635,0.67,0.627,0.666,226998256
2012-01-18,0.665,0.669,0.624,0.624,87704160
2012-01-19,0.619,0.639,0.615,0.635,101084632
2012-01-20,0.634,0.653,0.634,0.648,107639896
2012-01-30,0.649,0.663,0.645,0.655,92379696
2012-01-31,0.652,0.655,0.638,0.65,62003252
2012-02-01,0.651,0.666,0.648,0.653,150784768
2012-02-02,0.654,0.67,0.653,0.67,73896736
2012-02-03,0.669,0.685,0.664,0.682,103945856
2012-02-06,0.683,0.693,0.683,0.69,129940592
2012-02-07,0.683,0.685,0.671,0.675,109232272
2012-02-08,0.677,0.697,0.671,0.696,200855440
2012-02-09,0.694,0.708,0.693,0.701,116409288
2012-02-10,0.7,0.708,0.695,0.701,113099856
2012-02-13,0.694,0.721,0.691,0.718,117284664
2012-02-14,0.715,0.719,0.708,0.715,58079240
2012-02-15,0.714,0.727,0.708,0.726,79149856
2012-02-16,0.723,0.734,0.715,0.723,50055724
2012-02-17,0.726,0.728,0.71,0.719,67987776
2012-02-20,0.725,0.734,0.722,0.723,39183956
2012-02-21,0.721,0.739,0.716,0.738,77306936
2012-02-22,0.738,0.767,0.737,0.762,193157648
2012-02-23,0.765,0.768,0.75,0.76,124234296
2012-02-24,0.758,0.768,0.755,0.764,136445088
2012-02-27,0.764,0.774,0.761,0.763,110213496
2012-02-28,0.758,0.759,0.74,0.75,93806672
2012-02-29,0.745,0.751,0.734,0.737,82783744
2012-03-01,0.733,0.75,0.733,0.743,82547416
2012-03-02,0.744,0.759,0.743,0.759,64597656
2012-03-05,0.76,0.769,0.758,0.761,47158412
2012-03-06,0.756,0.76,0.744,0.752,54151724
2012-03-07,0.743,0.761,0.74,0.749,61384480
2012-03-08,0.75,0.766,0.75,0.765,40179180
2012-03-09,0.767,0.78,0.765,0.779,122944480
2012-03-12,0.783,0.787,0.779,0.786,107803776
2012-03-13,0.787,0.794,0.783,0.793,35307492
2012-03-14,0.8,0.802,0.751,0.756,125620704
2012-03-15,0.759,0.762,0.735,0.747,129150600
2012-03-16,0.749,0.769,0.747,0.767,98307632
2012-03-19,0.764,0.783,0.763,0.78,65436560
2012-03-20,0.775,0.776,0.755,0.756,89051864
2012-03-21,0.759,0.763,0.738,0.75,68199856
2012-03-22,0.75,0.759,0.743,0.752,51353588
2012-03-23,0.75,0.752,0.735,0.74,77648840
2012-03-26,0.738,0.744,0.732,0.739,21587764
2012-03-27,0.746,0.748,0.735,0.737,37273852
2012-03-28,0.733,0.733,0.699,0.7,46298272
2012-03-29,0.698,0.698,0.678,0.686,64397460
2012-03-30,0.686,0.69,0.677,0.683,27879706
2012-04-05,0.68,0.702,0.678,0.701,64860940
2012-04-06,0.7,0.708,0.695,0.703,50509288
2012-04-09,0.701,0.705,0.691,0.691,25538368
2012-04-10,0.691,0.701,0.675,0.7,43221724
2012-04-11,0.69,0.704,0.688,0.701,40536952
2012-04-12,0.701,0.718,0.699,0.718,71346336
2012-04-13,0.719,0.728,0.716,0.722,63592248
2012-04-16,0.715,0.723,0.713,0.719,37035196
2012-04-17,0.719,0.721,0.708,0.71,35016344
2012-04-18,0.713,0.73,0.712,0.728,124734696
2012-04-19,0.726,0.732,0.724,0.728,61837904
2012-04-20,0.726,0.732,0.723,0.729,54608148
2012-04-23,0.725,0.725,0.686,0.686,141603360
2012-04-24,0.681,0.691,0.664,0.683,68260112
2012-04-25,0.681,0.688,0.676,0.684,34922140
2012-04-26,0.689,0.689,0.676,0.681,36139008
2012-04-27,0.68,0.693,0.678,0.688,44496472
2012-05-02,0.696,0.701,0.689,0.698,66155100
2012-05-03,0.697,0.704,0.694,0.703,58050456
2012-05-04,0.703,0.719,0.703,0.719,84968456
2012-05-07,0.717,0.737,0.714,0.737,96135400
2012-05-08,0.739,0.743,0.734,0.734,115937728
2012-05-09,0.729,0.733,0.722,0.724,64441568
2012-05-10,0.725,0.735,0.723,0.732,75957656
2012-05-11,0.73,0.735,0.722,0.722,58180736
2012-05-14,0.728,0.735,0.721,0.722,88465800
2012-05-15,0.718,0.725,0.713,0.724,43185328
2012-05-16,0.723,0.727,0.714,0.714,60953168
2012-05-17,0.715,0.724,0.707,0.72,51216976
2012-05-18,0.715,0.722,0.709,0.712,31018236
2012-05-21,0.712,0.717,0.703,0.708,62550840
2012-05-22,0.711,0.722,0.711,0.721,42735560
2012-05-23,0.72,0.722,0.71,0.716,19088100
2012-05-24,0.715,0.723,0.714,0.716,60866808
2012-05-25,0.718,0.72,0.705,0.706,35070004
2012-05-28,0.701,0.714,0.69,0.712,86387112
2012-05-29,0.709,0.733,0.708,0.725,57021352
2012-05-30,0.725,0.737,0.723,0.732,50587200
2012-05-31,0.73,0.747,0.728,0.74,85139504
2012-06-01,0.739,0.746,0.735,0.739,42483792
2012-06-04,0.727,0.741,0.723,0.723,39990180
2012-06-05,0.724,0.73,0.718,0.721,24605532
2012-06-06,0.723,0.729,0.716,0.72,18724092
2012-06-07,0.725,0.732,0.715,0.717,17286572
2012-06-08,0.724,0.728,0.715,0.721,60689408
2012-06-11,0.721,0.744,0.72,0.744,88951616
2012-06-12,0.74,0.746,0.738,0.741,161794368
2012-06-13,0.743,0.753,0.742,0.752,62582188
2012-06-14,0.751,0.757,0.744,0.745,57417836
2012-06-15,0.748,0.753,0.739,0.747,42084328
2012-06-18,0.755,0.763,0.751,0.759,41460876
2012-06-19,0.758,0.758,0.751,0.752,39424948
2012-06-20,0.755,0.758,0.751,0.754,79528528
2012-06-21,0.753,0.753,0.737,0.744,35010048
2012-06-25,0.74,0.742,0.729,0.73,24872658
2012-06-26,0.725,0.727,0.71,0.721,97951240
2012-06-27,0.72,0.736,0.719,0.725,53839932
2012-06-28,0.726,0.735,0.716,0.716,38871860
2012-06-29,0.713,0.734,0.712,0.734,103093480
2012-07-02,0.74,0.753,0.735,0.75,48454872
2012-07-03,0.747,0.758,0.745,0.749,41713708
2012-07-04,0.752,0.753,0.742,0.743,26566940
2012-07-05,0.741,0.741,0.726,0.728,77129888
2012-07-06,0.732,0.745,0.718,0.745,166487200
2012-07-09,0.74,0.743,0.725,0.725,67771600
2012-07-10,0.724,0.727,0.716,0.72,63100580
2012-07-11,0.719,0.726,0.713,0.726,42700396
2012-07-12,0.723,0.742,0.721,0.738,64080636
2012-07-13,0.737,0.741,0.726,0.73,43571788
2012-07-16,0.73,0.73,0.696,0.697,28504680
2012-07-17,0.688,0.702,0.688,0.702,41081540
2012-07-18,0.698,0.708,0.69,0.707,64955096
2012-07-19,0.704,0.72,0.704,0.714,71316488
2012-07-20,0.714,0.719,0.709,0.71,28183284
2012-07-23,0.701,0.714,0.701,0.711,25423084
2012-07-24,0.707,0.718,0.702,0.711,49017204
2012-07-25,0.711,0.721,0.708,0.713,37004948
2012-07-26,0.712,0.723,0.709,0.712,39628936
2012-07-27,0.715,0.716,0.704,0.709,19343650
2012-07-30,0.708,0.714,0.692,0.694,12982138
2012-07-31,0.691,0.693,0.678,0.683,139290880
2012-08-01,0.682,0.701,0.682,0.695,81192448
2012-08-02,0.694,0.7,0.689,0.695,39625856
2012-08-03,0.697,0.719,0.695,0.719,59682184
2012-08-06,0.714,0.738,0.712,0.736,84642688
2012-08-07,0.736,0.743,0.735,0.741,39016528
2012-08-08,0.741,0.741,0.728,0.735,28718712
2012-08-09,0.736,0.749,0.732,0.748,62206316
2012-08-10,0.747,0.75,0.739,0.748,26009580
2012-08-13,0.746,0.747,0.732,0.732,20254524
2012-08-14,0.73,0.743,0.717,0.742,80927152
2012-08-15,0.739,0.742,0.733,0.734,40284760
2012-08-16,0.732,0.736,0.727,0.729,17266144
2012-08-17,0.727,0.729,0.718,0.727,42804460
2012-08-20,0.719,0.738,0.717,0.736,73989320
2012-08-21,0.735,0.758,0.734,0.753,95965896
2012-08-22,0.753,0.762,0.747,0.752,69073992
2012-08-23,0.751,0.758,0.748,0.755,68160336
2012-08-24,0.753,0.756,0.739,0.739,34891508
2012-08-27,0.736,0.736,0.726,0.728,57511584
2012-08-28,0.727,0.74,0.722,0.733,104145512
2012-08-29,0.73,0.741,0.727,0.731,71466952
2012-08-30,0.727,0.734,0.697,0.707,209821632
2012-08-31,0.704,0.715,0.702,0.713,70363448
2012-09-03,0.71,0.73,0.705,0.729,91480048
2012-09-04,0.729,0.737,0.725,0.728,41094528
2012-09-05,0.724,0.738,0.722,0.736,63744296
2012-09-06,0.738,0.745,0.732,0.744,50469348
2012-09-07,0.748,0.776,0.748,0.766,131526752
2012-09-10,0.768,0.77,0.76,0.767,77966840
2012-09-11,0.764,0.768,0.76,0.766,26411000
